Era,Name,Notes,Length,Release Date,On Streaming?,Link(s),Type
Strictly 4 My R.V.I.D.X.R.Z.,"Mike Dece - Power
(feat. Denzel Curry) (prod. PXSH6XD)",Mike Dece song featuring Denzel Curry. Verse used in the famous XXL cypher.,,"Mar 18, 2012",Off Streaming,https://pillows.su/f/1de16489a14ef3463299579a71739d2a,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Kid Pac - RXVXRZE FRXXDXM
(feat. Soulja Mook, Lil Champ Fway & Denzel Curry)
(REVERSE FREEDOM)",,,"Aug 31, 2012",Off Streaming,https://pillows.su/f/884cb7578bdd70c29a8dff0938107862,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Soulja Mook - Hard AF
(feat. Denzel Curry)",Song Denzel Curry made with frequent collaborator & fellow Raider Klan member Soulja Mook.,,"Jun 16, 2012",Off Streaming,https://pillows.su/f/e7514339f9cde9c2bdcd6fc470299dfc,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Yung Raw - D'Evilz
(feat. Denzel Curry)",,,"Jun 15, 2012",Off Streaming,https://pillows.su/f/b69810c90f24b9148b211cc813f0b88e,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Lil Champ Fway - Blackland Goddess Pt. 2
(feat. Denzel Curry)","Extremely rare track, has 0 search results for it.",,"Jul 24, 2012",Off Streaming,https://lilchampfway.bandcamp.com/track/blackland-goddess-pt-2-feat-denzel-curry-prod-by-trawl,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Soulja Mook - Blvcklvnd Souljas
(feat. Denzel Curry)",Song Denzel Curry made with frequent collaborator & fellow Raider Klan member Soulja Mook.,,"Aug 11, 2012",Off Streaming,https://pillows.su/f/e471dd374ca19612e1f7ac4fab017e0f,Feature
Strictly 4 My R.V.I.D.X.R.Z.,"Chris Travis - Niggaz Ain't Shit
(with Denzel Curry & Eddy Baker)",,,"Aug 3, 2012",Off Streaming,https://pillows.su/f/5b0690df06e4787824c075e4d1d3c3c7,Feature
"Mental Vendetta
(Collaboration with Lofty305)",,,,,,,
,Mental Vendetta,,,,,,
Mental Vendetta,"Leen & Purple Females
(with Lofty305)","Track 1 off of the 2012 Denzel Curry & Lofty305 mixtape ""Mental Vendetta"".",,"Dec 31, 2012",Off Streaming,https://pillows.su/f/37cd580bede36d59fedca92ec7943fab,Mixtape Track
Mental Vendetta,"U Ma Bitch Doee
(with Lofty305)","Track 2 off of the 2012 Denzel Curry & Lofty305 mixtape ""Mental Vendetta"".",,"Dec 31, 2012",Off Streaming,https://pillows.su/f/9c70305f381df5d53c0b93f7fe9f7737,Mixtape Track
Mental Vendetta,"Tropikal Shirt
(with Lofty305)","Track 3 off of the 2012 Denzel Curry & Lofty305 mixtape ""Mental Vendetta"".",,"Dec 31, 2012",Off Streaming,https://pillows.su/f/92c45b83a2f80332ca3c9fd00d6867d0,Mixtape Track
Mental Vendetta,"GTA 666
(with Lofty305)","Track 4 off of the 2012 Denzel Curry & Lofty305 mixtape ""Mental Vendetta"".",,"Dec 31, 2012",Off Streaming,https://pillows.su/f/372bceafa1d03716e8dd10f99a57131c,Mixtape Track
Mental Vendetta,"Brainwash Pimpin
(with Lofty305)","Track 5 off of the 2012 Denzel Curry & Lofty305 mixtape ""Mental Vendetta"".",,"Dec 31, 2012",Off Streaming,https://pillows.su/f/6553a1e7dac71836452f8b1813de314e,Mixtape Track
Mental Vendetta,"Hacienda
(with Lofty305) (feat. POSHstronaut)","Track 6 off of the 2012 Denzel Curry & Lofty305 mixtape ""Mental Vendetta"".",,"Dec 31, 2012",Off Streaming,https://pillows.su/f/2c60992d6daf9a2451cbe622c6245246,Mixtape Track
Mental Vendetta,"Onnem Titties
(with Lofty305)","Track 7 off of the 2012 Denzel Curry & Lofty305 mixtape ""Mental Vendetta"".",,"Dec 31, 2012",Off Streaming,https://pillows.su/f/f44ebe48761a73fb3c080102e32b7a0f,Mixtape Track
Mental Vendetta,"Miggidy Mic Chekk
(with Lofty305)","Track 8 off of the 2012 Denzel Curry & Lofty305 mixtape ""Mental Vendetta"".",,"Dec 31, 2012",Off Streaming,https://pillows.su/f/e778686be30edfacde9e635c6bbb7e68,Mixtape Track
Mental Vendetta,"Slow Phonk Jam
(with Lofty305)","Track 9 off of the 2012 Denzel Curry & Lofty305 mixtape ""Mental Vendetta"".",,"Dec 31, 2012",Off Streaming,https://pillows.su/f/f0cd82b387bca37f15a989be713b91d7,Mixtape Track
Mental Vendetta,"Metro Zu - PXSH RVIDXRZ
(with Lofty305 & Denzel Curry)","Released as a Metro Zu song in July 2012. Track 10 off of the 10th anniversary cassette pressing of the 2012 Denzel Curry & Lofty305 mixtape ""Mental Vendetta"". Also released on Lofty305's mixtape.",,"Jul 22, 2012",Off Streaming,https://pillows.su/f/4b8fe74813a7905c46be8eceffbd9e84,Mixtape Track
"Nostalgic 64
(N64)",,,,,,,
,Nostalgic 64,,,,,,
Nostalgic 64,"Intro
(prod. Rem)","Track 1 off of Denzel Curry's debut album ""Nostalgic 64"".",,"Sep 3, 2013",Off Streaming,https://pillows.su/f/3a32a5a8cd7adcd10a6064ec8b73c19e,Album Track
Nostalgic 64,"Zone 3
(prod. RONNY J, MarkMC9 & POSHstronaut)","Track 2 off of Denzel Curry's debut album ""Nostalgic 64"". Samples ""Choky Choke"" by DJ Sound.",,"Sep 3, 2013",Off Streaming,https://pillows.su/f/90d4f0ed804e48bec907bab8febfb08d,Album Track
Nostalgic 64,"Parents
(prod. Rem)","Track 3 off of Denzel Curry's debut album ""Nostalgic 64"". Samples ""Rosa Parks"" by OutKast.",,"Sep 3, 2013",Off Streaming,https://pillows.su/f/4e8dc381a60c810416ff9de6fa677d0a,Album Track
Nostalgic 64,"Dark And Violent
(feat. J.K. The Rapper & Nell) (prod. POSHstronaut & Klvn Tyler)","Track 4 off of Denzel Curry's debut album ""Nostalgic 64"".",,"Sep 3, 2013",Off Streaming,https://pillows.su/f/5e972364803433fdc5595bf31ab38752,Album Track
Nostalgic 64,"Threatz
(feat. Yung Simmie & Robb Banks) (prod. RONNY J)","Track 5 off of Denzel Curry's debut album ""Nostalgic 64"". Single for the album.",,"Sep 3, 2013",On Streaming ,https://open.spotify.com/track/4SMx7LkOPBlTC5UfJl3zSe?si=28a7cfa7083b4e07,Album Track
Nostalgic 64,"Mystical Virus Pt. 3: The Scream
(feat. Lil Ugly Mane & Mike G) (prod. RONNY J & POSHstronaut)","Track 6 off of Denzel Curry's debut album ""Nostalgic 64"".",,"Sep 3, 2013",Off Streaming,https://pillows.su/f/4e06ab80cfdcf7e275e251029731df38,Album Track
Nostalgic 64,"Widescreen
(prod. Nuri)","Track 7 off of Denzel Curry's debut album ""Nostalgic 64"".",,"Sep 3, 2013",Off Streaming,https://pillows.su/f/99ca220e2ca04d62b77ff371bfe6e45d,Album Track
Nostalgic 64,"N64
(prod. POSHstronaut & Nuri)","Track 8 off of Denzel Curry's debut album ""Nostalgic 64"".",,"Sep 3, 2013",Off Streaming,https://pillows.su/f/3cfeec9db4dd37bfaa3c353d6373828b,Album Track
Nostalgic 64,"Like Me
(feat. Steven A. Clark) (prod. Steven A. Clark)","Track 9 off of Denzel Curry's debut album ""Nostalgic 64"".",,"Sep 3, 2013",Off Streaming,https://pillows.su/f/6de401566b06cb0a536b7573b8eb1183,Album Track
Nostalgic 64,"Talk That Shit
(prod. J GREEN)","Track 10 off of Denzel Curry's debut album ""Nostalgic 64"". Interpolates ""Versace"" by Migos, ""Strictly 4 My R.V.I.D.X.R.Z."" by Denzel Curry and ""One, Two, Buckle My Shoe"".",,"Sep 3, 2013",Off Streaming,https://pillows.su/f/a53e5b02997402056665d05519f09143,Album Track
Nostalgic 64,"Benz
(prod. Freebase)","Track 11 off of Denzel Curry's debut album ""Nostalgic 64"".",,"Sep 3, 2013",Off Streaming,https://pillows.su/f/776cdc46029d72904747e2b949ca644c,Album Track
Nostalgic 64,"Denny Cascade
(prod. Freebase, POSHstronaut & Denzel Curry)","Track 12 off of Denzel Curry's debut album ""Nostalgic 64"".",,"Sep 3, 2013",Off Streaming,https://pillows.su/f/6b1529d583299923d5019657171fd91e,Album Track
Nostalgic 64,"A Day in the Life of Denzel Curry Pt. 2
(prod. Lofty305)","Track 13 off of Denzel Curry's debut album ""Nostalgic 64"".",,"Sep 3, 2013",Off Streaming,https://pillows.su/f/56ce6cc77abaeac64a7cf1841d8dc87c,Album Track
Nostalgic 64,Live This Shit,"Song released by Denzel Curry. Contrary to popular belief this song is not an unreleased song from Nostalgic 64. This is thought because it's listed as track 14 on the MixtapeMonkey download of ""Nostalgic 64"", labelled as ""Live That Shit [Unreleased]"". However this song was intended for Nostalgic 64 at one point.",,"Jul 7, 2013",Off Streaming,https://pillows.su/f/a7900aab76a36d2adbdf426cce22e842,Album Track
,Other Versions Of Nostalgic 64,,,,,,
Nostalgic 64,N64 [Promotional CD],"Promotional CD handed out for Nostalgic 64 after his 2013 Coachella performance with Raider Klan. Contains the single ""Threatz"" and the tracks ""Dark & Violent"" & ""N64"" as well as clean versions of the 3 tracks. Released as Denzel ""AQUARiUS'KiLLV"" Curry. Missing the clean version files.",,"Apr 14, 2013",Off Streaming,https://www.discogs.com/release/10847143-Denzel-Curry-N64?srsltid=AfmBOop7gecQ9-diyv4wC9Yk3TwqRNJDNoxZxxL8DYc6_hWoZkb4o07u,Album Track
Nostalgic 64,"Nostalgic 64 (Chopped Not Slopped) [Remix Album]
(with Slim K)","Chopped, Not Slopped version of Nostalgic 64 done by Slim K.",,~2014,Off Streaming,https://soundcloud.com/denzelcurryph/sets/denzel-curry-nostalgic-64?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Album Track
,Singles/Loose Songs,,,,,,
Nostalgic 64,"Loyalty, Betrayal & Prosperity",,,,Off Streaming,https://pillows.su/f/e5b4e55fe801ead7750371e82cd6da18,Single
Nostalgic 64,If I Die Today,2013 Denzel song.,,2013,Off Streaming,https://soundcloud.com/jae-genius/denzel-curry-if-i-die-today,Single
Nostalgic 64,"Dark Tournament
(feat. Soulja Mook & K-Trip)",Throwaway released in 2012.,,"Sep 9, 2012",Off Streaming,https://pillows.su/f/4156002dff5f0622d25c0123667a674c,Single
Nostalgic 64,"66.63
(with Th7 Immortxlz)",Seemingly forgotten song by Denzel Curry. From 2013 and was pulled from Spotify.,,"Apr 30, 2013",Off Streaming,https://pillows.su/f/74c6e2537d32c2c93dc865622bed7203,Single
Nostalgic 64,"Shepherd
(feat. Nell & Sir Michael Rocks)",,,"Jun 5, 2013",Off Streaming,https://pillows.su/f/5a7080a01bc21645c4978178c24650a9,Single
Nostalgic 64,"Bitch Named Bitch
(feat. Yung Lean)",Throwaway released in 2013 featuring Yung Lean.,,"Aug 28, 2013",Off Streaming,https://soundcloud.com/denzelcurryph/denzel-curry-bitch-named-bitch,Single
,Features ,,,,,,
Nostalgic 64,"Xavier Wulf - Silence Commercial
(feat. Denzel Curry & Nell)",,,"Nov 10, 2012",Off Streaming,https://www.youtube.com/watch?v=Ki-vUINgkmc,Feature
Nostalgic 64,"JGRXXN - From the South
(feat. Denzel Curry)",,,2013,Off Streaming,https://soundcloud.com/jgrxxn/jgrxxn-ft-denzel-curry-from,Feature
Nostalgic 64,"Black Zheep Dz - 4.1.0
(feat. Denzel Curry)",,,"May 23, 2013",Off Streaming,https://www.youtube.com/watch?v=U4u6bGzSce0,Feature
Nostalgic 64,"Ruben Slikk - AMBERS FINE ASS
(feat. Denzel Curry)",,,"Jun 7, 2013",On Streaming,https://open.spotify.com/track/0fGK2ZJCNE4aCMg4zEw8MF?si=MeVyVLO_T4uYNRt5qJvQ-A,Feature
Nostalgic 64,"SDotBraddy & Pouya - IndigoB
(feat. Denzel Curry)",,,"Sep 28, 2013",Off Streaming,https://pillows.su/f/82a29ce1af88fd73982c41fa66ddfb8b,Feature
Nostalgic 64,"Black Smurf - All Black
(feat. Denzel Curry, Nell, Rell, Soulja Mook & Xavier Wulf)",,,"Nov 13, 2013",Off Streaming,https://pillows.su/f/82d6b8b89b9dbbac9a0149f9d594db25,Feature
Nostalgic 64,"SDotBraddy - Can't Tell Me Shit [Remix]
(feat. Curtis Williams, Robb Bank$, Denzel Curry & Sir Michael Rocks)","Remix of SDotBraddy's song, ""Can't Tell Me Shit"".",,"Nov 22, 2013",Off Streaming,https://pillows.su/f/88e051cb201b9e916ad1136284abc1bf,Feature
Nostalgic 64,"IndigoChildRick - Warning
(feat. Denzel Curry)",,,"Dec 28, 2013",On Streaming ,https://open.spotify.com/track/4jhXXX5XRysQoWehacNkVi,Feature
32 Zel/Planet Shrooms,,,,,,,
,32 Zel (Initial Release),,,,,,
32 Zel/Planet Shrooms,🌟 32 Ave Intro [V1],"Track 1 of the original release of 32 Zel/Planet Shrooms. Track 1 of Disc 1 ""32 Zel"". Transitions into Chief Forever.",,"Jun 9, 2015",Off Streaming,https://pillows.su/f/66d9f0c6d13776685bc5238ab7da1df5,EP Track
32 Zel/Planet Shrooms,Chief Forever [V1],"Track 2 of the original release of 32 Zel/Planet Shrooms. Track 2 of Disc 1 ""32 Zel"".",,"Jun 9, 2015",Off Streaming,https://pillows.su/f/f10c9658433a42b7c938f06a39656414,EP Track
32 Zel/Planet Shrooms,Envy Me [V1],"Track 3 of the original release of 32 Zel/Planet Shrooms. Track 3 of Disc 1 ""32 Zel"".",,"Jun 9, 2015",Off Streaming,https://pillows.su/f/aa7069530ff02137d48c1a996a3c9e42,EP Track
32 Zel/Planet Shrooms,"ULTIMATE
(Ultimate)","Track 4 of the original release of 32 Zel/Planet Shrooms. Track 4 of Disc 1 ""32 Zel"". Arguably Denzel's most successful song to date. Samples ""Sheesha Sharab Shabnam"" by Asha Bhosle.",,"Jun 9, 2015",On Streaming ,https://open.spotify.com/track/6R0GRYk2vs2XuBVemYK5YZ?si=ef6eae1cfb8c4325,EP Track
,,,,,,,
32 Zel/Planet Shrooms,Lord Vader Kush II [V1],"Track 5 of the original release of 32 Zel/Planet Shrooms. Track 5 of Disc 1 ""32 Zel"".",,"Jun 9, 2015",Off Streaming,https://pillows.su/f/5988582f57cbe7d6aca039e359760efa,EP Track
32 Zel/Planet Shrooms,"🌟 Ice Age [V1]
(feat. Mike Dece)","Track 6 of the original release of 32 Zel/Planet Shrooms. Track 6 of Disc 1 ""32 Zel"".",,"Jun 9, 2015",Off Streaming,https://pillows.su/f/838ac02930bd1edd66b787ad21e02432,EP Track
32 Zel/Planet Shrooms,"Delusional Shone [V1]
(feat. Twelve'len)","Track 7 of the original release of 32 Zel/Planet Shrooms. Track 7 of Disc 1 ""32 Zel"".",,"Jun 9, 2015",Off Streaming,https://pillows.su/f/b161c86cc51ed87fae823dd06c981f3e,EP Track
,32 Zel (Remaster),,,,,,
32 Zel/Planet Shrooms,32 Ave Intro [V2],Track 1 of the remaster of 32 Zel. Has new production.,,"Sep 22, 2017",On Streaming ,https://open.spotify.com/track/0FH7yQaW5eU7Z9gqoOCcLr?si=efa502d4678d4a13,EP Track
32 Zel/Planet Shrooms,Chief Forever [V2],Track 2 of the remaster of 32 Zel.,,"Sep 22, 2017",On Streaming ,https://open.spotify.com/track/1qgGLI0B23TxFAnGFVuIpy?si=8c2abf235caa4623,EP Track
32 Zel/Planet Shrooms,Envy Me [V2],Track 3 of the remaster of 32 Zel.,,"Sep 22, 2017",On Streaming ,https://open.spotify.com/track/2EgZ0usmUxyNpCoyiFwEGT?si=45b0905c7aec4048,EP Track
32 Zel/Planet Shrooms,"Ultimate [Remix]
(feat. Juicy J)",Track 4 of the remaster of 32 Zel. Features an insane Juicy J verse,,"Sep 22, 2017",On Streaming ,https://open.spotify.com/track/3rBEvidEbQPf5Z5RDZMGsS?si=a8e24f66f4a54d75,EP Track
32 Zel/Planet Shrooms,Lord Vader Kush II [V2],Track 5 of the remaster of 32 Zel.,,"Sep 22, 2017",On Streaming ,https://open.spotify.com/track/4Djz7O3kZKbjCpieY9cSXY?si=ad51146963cf4dd9,EP Track
32 Zel/Planet Shrooms,Ice Age [V2],Track 6 of the remaster of 32 Zel. Mike Dece's verse was likely removed due to his beef with Denzel.,,"Sep 22, 2017",On Streaming ,https://open.spotify.com/track/594suifkodzqXMkJlkKRQd?si=ffd62cb587d14424,EP Track
32 Zel/Planet Shrooms,"Delusional Shone [V2]
(feat. Twelve'len)",Track 7 of the remaster of 32 Zel.,,"Sep 22, 2017",On Streaming ,https://open.spotify.com/track/7oSBeq8I9lwJVx2vQJIW1C?si=a21dd4fc9be9462e,EP Track
,Planet Shrooms,,,,,,
32 Zel/Planet Shrooms,"Past The Wudz Intro
(feat. Big Rube)","Track 8 of the original release of 32 Zel/Planet Shrooms. Track 1 of Disc 2 ""Planet Shrooms"".",,"Jun 9, 2015",Off Streaming,https://pillows.su/f/b8737ba44d4c12cd2ea7dc56c0694735,EP Track
32 Zel/Planet Shrooms,Underwater,"Track 9 of the original release of 32 Zel/Planet Shrooms. Track 2 of Disc 2 ""Planet Shrooms"".",,"Jun 9, 2015",Off Streaming,https://pillows.su/f/217f2bfed9c44dd70cf96fac35861ea8,EP Track
32 Zel/Planet Shrooms,Captain Sea Fonk,"Track 10 of the original release of 32 Zel/Planet Shrooms. Track 3 of Disc 2 ""Planet Shrooms"". Samples ""Menace"" by Logos and ""The Moon"" by Mike Dece & Denzel Curry.",,"Jun 9, 2015",Off Streaming,https://pillows.su/f/236e732a24ec0db7364d95f6481a9aea,EP Track
32 Zel/Planet Shrooms,"Bwoii
(feat. J.K. The Reaper & Nell)","Track 11 of the original release of 32 Zel/Planet Shrooms. Track 4 of Disc 2 ""Planet Shrooms"".",,"Jun 9, 2015",Off Streaming,https://pillows.su/f/6a2ab89c82c71cc7ed04593ecfc1141a,EP Track
32 Zel/Planet Shrooms,"Planet Shrooms II
(feat. J.K. The Reaper)","Track 12 of the original release of 32 Zel/Planet Shrooms. Track 5 of Disc 2 ""Planet Shrooms"". Sequel to the KOTMS 1996 UT song.",,"Jun 9, 2015",Off Streaming,https://pillows.su/f/338e92e73736e3f9b65b2cdc6e210e25,EP Track
32 Zel/Planet Shrooms,Smoke 2049,"Track 13 of the original release of 32 Zel/Planet Shrooms. Track 6 of Disc 2 ""Planet Shrooms"".",,"Jun 9, 2015",Off Streaming,https://pillows.su/f/2f44d2c5e34a1ec3b9524b0b8e759266,EP Track
32 Zel/Planet Shrooms,"Void
(feat. ForteBowie & Leonardo Safari)","Track 14 of the original release of 32 Zel/Planet Shrooms. Track 7 of Disc 2 ""Planet Shrooms"".",,"Jun 9, 2015",Off Streaming,https://pillows.su/f/564a376835bcf64912e48cabef244a2c,EP Track
,Singles/Loose Songs,,,,,,
32 Zel/Planet Shrooms,Denz Benz Freestyle,Rare 2014 freestyle.,,2014,Off Streaming,https://pillows.su/f/7fac687d2531b493cbee5b4a66f33dd1,Single
32 Zel/Planet Shrooms,Stadium Starship,"Tribute made for Tiarra Grant, who was shot and killed, December 2013.",,"Feb 24, 2014",Off Streaming,https://soundcloud.com/denzelcurryph/denzel-curry-stadium-starship,Single
32 Zel/Planet Shrooms,"My Nig
(with Mike Dece)",2014 song from Denzel Curry & Mike Dece.,,May 2014,Off Streaming,https://pillows.su/f/db4f22e2df76252ac7b9c9679fb9470d,Single
32 Zel/Planet Shrooms,"Lord Vader Kush
(with Ruben Slikk)",Collab with Ruben Slikk released in 2014. Sequel released in 2015 for 32 Zel. Unlike the Spotify release seems the song was a collab between the 2 not a Ruben Slikk song.,,"June 6, 2014",On Streaming ,https://open.spotify.com/track/0mYwDzjTeTo0kLZl7unEj1?si=ff10f1321f204a75,Single
32 Zel/Planet Shrooms,"2055 BET HIP HOP AWARDS C9 CYPHER
(feat. J.K. The Reaper, Mike Dece & Yoshi Thompkins)",Cypher Denzel did with some friends. Not related to BET at all.,,"Oct 14, 2014",Off Streaming,https://soundcloud.com/denzelcurryph/denzel-curry-x-yoshi-thompkins-x-jk-the-reaper-x-mike-dece-bet-hip-hop-awards-c9-cypher,Single
32 Zel/Planet Shrooms,6 BILLION DOLLAR NIGGA,Throwaway Denzel released to promote his tour.,,"Jun 29, 2015",Off Streaming,https://soundcloud.com/denzelcurryph/denzel-curry-6-billion-dollar-nigga-prod-ronny-j,Single
32 Zel/Planet Shrooms,Certified,Throwaway released by Denzel in the lead up to 32 Zel/Planet Shrooms.,,"Jan 7, 2015",Off Streaming,https://soundcloud.com/denzelcurryph/denzel-curry-certified-prod-by-the-dope-boyz,Single
,Features ,,,,,,
32 Zel/Planet Shrooms,"Cashy Kesh - Heavy Toter Remix
(feat. Denzel Curry)","Remix of Cashy Kesh's song, ""Heavy Toter"".",,"Jan 13, 2015",Off Streaming,https://soundcloud.com/cashykesh/cashy-heavy-toter-remix-ft-denzel-curry,Feature
32 Zel/Planet Shrooms,"Deniro Farrar - Bow Down
(feat. Denzel Curry)",,,"Jun 20, 2014",On Streaming ,https://open.spotify.com/track/7eVVwpkBQ7iVlx48ramDQc,Feature
32 Zel/Planet Shrooms,"Caleb Stone - Gettin' Rich
(feat. Denzel Curry, Speak, Mike Dece & Sdotbraddy)",,,"Jun 25, 2015",On Streaming ,https://open.spotify.com/track/35tWhFjXbOuB5OEo1eU7lJ,Feature
32 Zel/Planet Shrooms,"Dillion Cooper - Eyes of the World
(feat. Denzel Curry & Azizi Gibson)",,,"Oct 20, 2014",Off Streaming,https://soundcloud.com/thedilloncooper/eyes-of-the-world-ft-denzel,Feature
32 Zel/Planet Shrooms,"DJ EFN - Lane 2 Lane
(feat. Denzel Curry & Gunplay)",,,"Feb 4, 2015",On Streaming ,https://open.spotify.com/track/4nbdF8LVdbyFQEBF9OTCGT,Feature
32 Zel/Planet Shrooms,"J.K. The Reaper - Underseas
(feat. Denzel Curry)",Background vocals from Denzel. Music video is on Denzel's YouTube channel.,,"Sep 16, 2014",On Streaming ,https://open.spotify.com/track/1t2z2kxNvF4whMappv2nTx,Feature
32 Zel/Planet Shrooms,"Kato On The Track - Decatur Booty
(feat. Denzel Curry, ForteBowie & Jus Nice)",,,"Feb 19, 2014",On Streaming ,https://open.spotify.com/track/5jtDfvx22xF6isQ6GZcD9g,Feature
32 Zel/Planet Shrooms,Lofty305 - 1991 Porsche 911,"Track 10 on Lofty305's album ""Intimacy 3"". Denzel is credited for writing.",,"Aug 31, 2015",On Streaming,https://open.spotify.com/track/5ig9JhaXKWj7uJSRO7V3Pz?si=qaUYoMJSRSCqfxB-XvY2qQ,Feature
32 Zel/Planet Shrooms,"Lofty305 & F1LTHY - Pray For Me
(feat. Denzel Curry)",Old collab with Lofty305 & now popular producer F1LTHY.,,"Jun 24, 2015",On Streaming ,https://open.spotify.com/track/14M53gnOd8IKk3EpZwpbJp?si=24b935c41253449d,Feature
32 Zel/Planet Shrooms,"Metro Zu - Fockkk 
(feat. Denzel Curry)",,,"Feb 26, 2014",On Streaming,https://open.spotify.com/track/7husFOkP8GjPM19pjmZrPK?si=EzAwGSxIQBi9MKSW5E3jJg,Feature
32 Zel/Planet Shrooms,"Mike Dece - The Federation
(feat. Denzel Curry)",,,"Jul 25, 2015",Off Streaming,https://pillows.su/f/2fa3cf5bd5db0c8286363f2c69d904e1,Feature
32 Zel/Planet Shrooms,"Mike G - B.M.B
(feat. Denzel Curry & Pouya)",,,"Nov 17, 2014",On Streaming ,https://open.spotify.com/track/48KruLF65pFvo8AOtoKM2V,Feature
32 Zel/Planet Shrooms,"Mikky Ekko - Mourning Doves [Suicideyear Remix]
(feat. Denzel Curry)","Remix of Mikky Ekko's song, ""Mourning Doves"".",,"Dec 15, 2014",Off Streaming,https://soundcloud.com/mikkyekko/mourning-doves-suicideyear-remix,Feature
32 Zel/Planet Shrooms,"Nell - Bust Ya Head Open
(feat. Denzel Curry, Big Bo & T-Rone)",,,"Jan 14, 2014",Off Streaming,https://soundcloud.com/n3_ll/bust-ya-head-open-feat-t-rone-big-bo-denzel-curry-prod-by-spaceghostpurrp,Feature
32 Zel/Planet Shrooms,"Pouya - Spice Girls
(feat. Denzel Curry & Sdotbraddy)",,,"Mar 25, 2015",Off Streaming,https://soundcloud.com/pouya-kevin/spice-girls-ft-denzel-curry-sdotbraddy-prodronny-j,Feature
32 Zel/Planet Shrooms,"Sdotbraddy - Darius
(feat. Denzel Curry)",,,"Oct 9, 2014",On Streaming ,https://open.spotify.com/track/1csRhIEbg04LUnd2eGkyOr,Feature
32 Zel/Planet Shrooms,"Yung Simmie - Grotto Flow 2
(feat. Denzel Curry)",,,"Jan 15, 2015",On Streaming ,https://open.spotify.com/track/6zR34a2uzIjccYlk5cQbKc,Feature
32 Zel/Planet Shrooms,"Yung Simmie - Paris
(feat. Denzel Curry)",,,"Jul 9, 2014",On Streaming ,https://open.spotify.com/track/0CosUKGQdiJtE57Yv796mS,Feature
32 Zel/Planet Shrooms,"Yung Simmie - Str8 Savage
(feat. Denzel Curry)",,,"Dec 21, 2015",On Streaming ,https://open.spotify.com/track/4bUW6dD41uuaKe9JFWKb4V,Feature
32 Zel/Planet Shrooms,"Young L - Ricky Tan
(feat. Denzel Curry & Mike Dece)",,,"Nov 30, 2015",On Streaming ,https://open.spotify.com/track/6TMMlzb1nvXMuondMwWzjA,Feature
"CUNT $WAB MAFIA
(Collaboration with Ronny J & ""friends"")",,,,,,,
,CUNT $WAB MAFIA,,,,,,
CUNT $WAB MAFIA,LEROY,Track 1 from CUNT $WAB MAFIA.,,"Oct 3, 2015",Off Streaming,https://pillows.su/f/382f6da0ab2f4d52f0b429865921e522,EP Track
CUNT $WAB MAFIA,DEATH LEAGUE,Track 2 from CUNT $WAB MAFIA.,,"Oct 3, 2015",Off Streaming,https://pillows.su/f/9ed9f35f90065aafc4bcff2e9d22f62f,EP Track
CUNT $WAB MAFIA,"VORTEX
(feat. Mike Dece)",Track 3 from CUNT $WAB MAFIA.,,"Oct 3, 2015",Off Streaming,https://pillows.su/f/3f90b6f9649e361ac0d171eec71b90d9,EP Track
,Features ,,,,,,
CUNT $WAB MAFIA,"RONNY J - Vigorous
(with Denzel Curry & Keith Ape)",CUNT $WAB MAFIA era Ronny J loosie with Denzel Curry.,,"Oct 30, 2015",Off Streaming,https://soundcloud.com/ronnyjlistenup/vigorous-ft-keith-ape-denzel-curry?in=jboum/sets/trap,Feature
Imperial,,,,,,,
,Imperial (Original Release),,,,,,
Imperial,"Narcotics
(prod. $uicideboy$)","Track 5 off of the original release of Imperial. Samples dialogue from the movie ""The Murder of Fred Hampton"", a CBS Malcolm X interview from 1964, ""Fuck Tha Police"" by N.W.A and ""Where's Da Bud"" by Three 6 Mafia. Did not make the streaming release of Imperial due to sample clearance issues.",,"Mar 9, 2016",Off Streaming,https://pillows.su/f/a4ef37113eb0b75da86c26144f39ecfc,Album Track
Imperial,Pure Enough,Track 7 off of the original release of Imperial. Unkown why this song did not make the streaming release of Imperial.,,"Mar 9, 2016",Off Streaming,https://pillows.su/f/f6c46533e085092dc33be2c11714c797,Album Track
,Imperial (Streaming Release),,,,,,
Imperial,ULT,"Track 1 off of both releases of Imperial. Samples ""Sweet Nothin's"" by Brenda Lee and ""What you will see (Heavenly Garden)"" by Bandai Namco Game Music & TEKKEN Project",,"Mar 9, 2016",On Streaming ,https://open.spotify.com/track/5BSz8sJO2YmKfNVQG7fq2J?si=cef9bc4fd77341ef,Album Track
Imperial,Gook,Track 2 off of both releases of Imperial.,,"Mar 9, 2016",On Streaming ,https://open.spotify.com/track/1T5Music videoPJE6LilJ7f73L3UDo?si=2e76010ee8b2427c,Album Track
Imperial,Sick & Tired,Track 3 off of both releases of Imperial.,,"Mar 9, 2016",On Streaming ,https://open.spotify.com/track/6a90nkg7j6GRmq6LirQixa?si=5d3489c0858b42d5,Album Track
