Era,Name,Info/Notes,Length,Leak Date,File Date,File Date,Type,"Availability
(aka Snippet Central)",Quality,Link(s)
DON'T TAP THE GLASS,Big Poe [V2] (Live Version),"Live version of 'Big Poe' played at Camp Flog Gnaw 2025. Is the same as the previous version, with an extended vocoder intro apologising for delaying CFG.",3:45,"Nov 22, 2025",,,Performance,Full,Stream,https://pixeldrain.com/u/13EfJpyt
DON'T TAP THE GLASS,Sucka Free / That Guy (Live Version),"Live version of ""Sucka Free / That Guy"" with some alernate dropouts, a transition between the two, and an alternate glitchy outro.",4:05,"Nov 22, 2025",,,Performance,Full,Stream,https://pixeldrain.com/u/X9mNGGe6
DON'T TAP THE GLASS,"Stop Playing With Me (Live Version)
(DON'T TAP THE GLASS Medley)","Live version of ""Stop Playing With Me"" with some stripped back production near the end.",0:58,"Nov 22, 2025",,,Performance,Full,Stream,https://pixeldrain.com/u/djbXAc7a
DON'T TAP THE GLASS,✨ Ring Ring Ring (Live Version),"Live version of ""Ring Ring Ring"" with an extended intro, a new interlude, alternate structure and an extended outro.",3:14,"Nov 22, 2025",,,Performance,Full,Stream,https://pixeldrain.com/u/8KVBs6zg
DON'T TAP THE GLASS,"Don't Tap The Glass (Live Version)
(DON'T TAP THE GLASS Medley)","Live version of ""Don't Tap The Glass"" meshed with Juvenile's ""Back That Azz Up"" track.",1:08,"Nov 22, 2025",,,Performance,Full,Stream,https://pixeldrain.com/u/HqEBi4Tz
DON'T TAP THE GLASS,Sugar On My Tongue (Freak Mix) (Live Version),"Live version of the ""Sugar On My Tongue (Freak Mix)"" with an some alternate production, a bonus interlude, and an extended outro. Notably performed before the freak mix released.",4:17,"Nov 22, 2025",,,Performance,Full,Stream,https://pixeldrain.com/u/vKqiBC22
Ace,Fish [V1],"Earliest known demo of ""Fish"", recorded in 2007 with different lyrics, over a completely different version of the instrumental. Rerecorded later again in 2007. Check the Fakes Tab for a more listenable version with lyrics",1:31,"Nov 20, 2025","Jun 29, 1905",2007,Song,Full,CD Quality,https://pixeldrain.com/u/5AGPfNFT
IGOR,"EARFQUAKE (Stems)
(feat. Playboi Carti)","Stems to the Fortnite Festival version of ""EARFQUAKE,"" clean.",3:17,"Nov 14, 2025",,,Stems,Full,Lossless,https://pixeldrain.com/u/oRtjtsAz
IGOR,"EARFQUAKE (Acapella)
(feat. Playboi Carti)","Clean acapella to ""EARFQUAKE"", taken from Fortnite Festival.",3:17,"Nov 14, 2025",,,Acapella,Full,Lossless,https://pixeldrain.com/u/T8Dks8w2
CHROMAKOPIA,"Sticky (Stems)
(feat. GloRilla, Sexyy Red & Lil Wayne)","Stems to the Fortnite Festival version of ""Sticky,"" clean. The 'skip the sex' line was later censored in game.",4:22,"Nov 14, 2025",,,Stems,Full,Lossless,https://pixeldrain.com/u/NsYhkHPn
CHROMAKOPIA,"Sticky (Acapella)
(feat. GloRilla, Sexyy Red & Lil Wayne)","Clean acapella to ""Sticky"", taken from Fortnite Festival. The 'skip the sex' line was later censored in game.",4:22,"Nov 14, 2025",,,Acapella,Full,Lossless,https://pixeldrain.com/u/wE6RbU15
CHROMAKOPIA,Sticky (Instrumental),"Instrumental for ""Sticky"", taken from Fortnite Festival.",4:22,"Nov 14, 2025",,,Instrumental,Full,Lossless,https://pixeldrain.com/u/ixRZtgjj
DON'T TAP THE GLASS,Ring Ring Ring (Stems),"Stems to the Fortnite Festival version of ""Ring Ring Ring,"" clean. Thought to be AI, but the original song just used samples.",3:30,"Nov 14, 2025",,,Stems,Full,Lossless,https://pixeldrain.com/u/X6CtFRkW
DON'T TAP THE GLASS,Ring Ring Ring (Acapella),"Clean acapella for ""Ring Ring Ring"", taken from Fortnite Festival.",3:30,"Nov 14, 2025",,,Acapella,Full,Lossless,https://pixeldrain.com/u/iBbsUFhD
DON'T TAP THE GLASS,Ring Ring Ring (Instrumental),"Instrumental for ""Ring Ring Ring"", taken from Fortnite Festival.",3:30,"Nov 14, 2025",,,Instrumental,Full,Lossless,https://pixeldrain.com/u/qXNyou68
Stereo-Type,✨ I Dream [V1],"Version of ""I Dream"" that was recorded on sometime in 2007, file is considered the OG File but it's been retagged to have a comment.",2:10,"Oct 24, 2025","Jun 29, 1905",2007,Song,Full,Low Quality,https://pixeldrain.com/u/7zcZthSs
Eargasm,Crikle,"Eargasm track, track 13 on the project. Known for previously being the most faked Ace beat.",3:29,"Oct 24, 2025","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/FN3FjnKH
Eargasm,Cloud High,"Instrumental to ""Cloud High"" by Jack Mushroom. Tagged as track 8 on a scrapped Eargasm tracklist",3:02,"Oct 22, 2025","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/ibCuic9v
Nilbog,Naughty,Nilbog Track.,3:38,"Oct 22, 2025","Jul 3, 1905",2011,Instrumental,Full,High Quality,https://pixeldrain.com/u/C3MtdN8k
WOLF [V2],Shitface,"Seen on a scrapped Wolf tracklist, no further information is known.",2:47,"Oct 22, 2025",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/c2Dh1Fum
Ace,"✨ Finally Something Different (Instrumental) [V1]
(casey1)","Loose instrumental, year unknown. Early version of the instrumental used by Casey Veggies on his song ""Finally Something Different"" that has some alternate instrumentation. One of Tyler's self-proclaimed best beats.",3:30,"Oct 21, 2025",,,Instrumental,Full,CD Quality,https://pixeldrain.com/u/Gm4suES4
Soundz On Acid,Dixon,"Soundz On Acid-era track, made in 2009.",2:30,"Oct 21, 2025","Jul 1, 1905",2009,Instrumental,Full,High Quality,https://pixeldrain.com/u/v5eqZ3Z1
Radio Arcade,starX,"Radio Arcade instrumental, likely made in 2008.",2:04,"Oct 15, 2025",,,Instrumental,Full,Low Quality,https://pixeldrain.com/u/qU3irh5X
CALL ME IF YOU GET LOST [V2],"Call Me [V1]
(Voicemail #3, NUMBER, NUMBER)","Instrumental to an early / extended version of ""Call Me,"" forceleaked after a failed groupbuy.",2:24,"Oct 15, 2025",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/CG2MyJGN
CALL ME IF YOU GET LOST [V2],"NUMBER, NUMBER (Instrumental)","Instrumental to an early / extended version of ""Voicemail #3.""",2:24,"Oct 15, 2025",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/CG2MyJGN
Ace,Baking Soda,"Loose instrumental made in 2007, promoted single on Myspace. Samples ""Ain't That Funny"" by Missy Elliot.",2:45,"Oct 12, 2025","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/gQip7vJy
Stereo-Type,"⭐️ Rocky's Revenge (Instrumental)
(Mead, Classic Tyler 6)","Stereo-Type track, reused on Eargasm. Released on MySpace. Track 15 on a 2007 copy of Stereo-Type & track 16 on a later tracklist. Later leaked in CDQ. Comment says ""Thanks FOR Listening Nigga"" (this is copied & pasted).",3:15,"Sep 27, 2025","Jun 29, 1905",2007,Instrumental,OG File,CD Quality,https://pixeldrain.com/u/aa474euC
Bastard,Nightmare (Instrumental) [V1],"Instrumental to ""Nightmare,"" made in 2009.",4:38,"Sep 27, 2025","Jul 1, 1905",2009,Instrumental,Full,High Quality,https://pixeldrain.com/u/HLKeWjw1
Cherry Bomb,SMUCKERS [V3],"Finished solo version of ""SMUCKERS"", has a different take from the original version and uses an instrumental similar to the final one.",,"Sep 25, 2025",,,Song,Snippet,Recording,LINK NEEDED
Stereo-Type,🏅 Waffles,"Vocal draft of Waffles, recorded in 2007 over [V2] of the instrumental.",2:27,"Sep 22, 2025",,,Song,Beat Only,Low Quality,https://pixeldrain.com/u/hbHEbWVd
Stereo-Type,Waffles (Instrumental) [V2],"Version of ""Waffles"" updated for Stereo-Type, different drum sounds, different pitch and new instrumentation. Tagged as track 9.",2:27,"Sep 22, 2025",,,Instrumental,Full,Low Quality,https://pixeldrain.com/u/hbHEbWVd
Earl,Luper (Instrumental) [V2],"Final instrumental to Luper, the edited version with instrumental breaks. Made in 2009.",1:59,"Sep 22, 2025","Jul 1, 1905",2009,Instrumental,Full,High Quality,https://pixeldrain.com/u/gTTYikGU
Ace,"Zuckerberg 
(prod. Tyler, The Creator & Left Brain)","Loose instrumental made in 2009, co produced with Left Brain.",2:46,"Sep 18, 2025","Jul 1, 1905",2009,Instrumental,Full,CD Quality,https://pixeldrain.com/u/6YyRixiq
Eargasm,Eargasm,"The title track for Eargasm, made in 2007. Released on iMeem in 2008.",5:27,"Sep 18, 2025","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/gF4TaZbz
Radio Arcade,⭐ speakerboxxX !,"Radio Arcade instrumental, made in 2008. Not related to the At Your Own Risk beat with the same name. ",3:23,"Sep 18, 2025",,,Instrumental,Full,Low Quality,https://pixeldrain.com/u/N9i4ZBoJ
Bastard,Parade (Instrumental) [V1],"Unmixed and unmastered instrumental to ""Parade""",2:22,"Sep 18, 2025","Jul 1, 1905",2009,Instrumental,Full,High Quality,https://pixeldrain.com/u/WpVcsV8o
Dreams In 3-D,✨️ 3-D [V2],"Dreams In 3-D version of ""3-D,"" made in early 2006. Has a almost completely different instrumentation but still recognizable. Track 18 on the project.",2:29,"Aug 25, 2025","Jun 28, 1905",2006,Instrumental,Full,High Quality,https://pixeldrain.com/u/DeoDbZcd
Dreams In 3-D,✨ Air Balloon [V2],"Dreams In 3-D version of ""Air Balloon,"" made in 2005. Has almost completely different instrumentation but still recognizable. Track 4 on the project.",3:09,"Aug 25, 2025","Jun 27, 1905",2005,Instrumental,Full,CD Quality,https://pixeldrain.com/u/rkP2GwV3
Dreams In 3-D,Happy Holidays [V2],"Dreams In 3-D track, made in 2005. Track 13 on the project. Not related to the bloxhead video, ""Happy Holiday Hoe.""",3:26,"Aug 25, 2025","Jun 27, 1905",2005,Instrumental,Full,CD Quality,https://pixeldrain.com/u/hgUDPeVe
Dreams In 3-D,✨ I Dream (Instrumental) [V2],"Dreams In 3-D version of ""I Dream,"" made in 2006. Has a almost completely different instrumentation but still recognizable. Track 8 on the project.",2:48,"Aug 25, 2025","Jun 28, 1905",2006,Instrumental,Full,CD Quality,https://pixeldrain.com/u/8hZq6S23
Dreams In 3-D,✨ I Keep Toys [V2],"Dreams In 3-D track, made in 2006. Track 16 on the project.",2:39,"Aug 25, 2025","Jun 28, 1905",2006,Instrumental,Full,CD Quality,https://pixeldrain.com/u/qfRVnw9p
Dreams In 3-D,Imagination [V2],"Dreams In 3-D version of ""Imagination,"" completely different from the At Your Own Risk version.",2:50,"Aug 25, 2025","Jun 28, 1905",2006,Instrumental,Full,CD Quality,https://pixeldrain.com/u/AyaQxcgh
Dreams In 3-D,⭐ La La Land... [V2],"Dreams In 3-D track, made in 2006. Track 7 on the project. ",2:56,"Aug 25, 2025","Jun 28, 1905",2006,Instrumental,Full,CD Quality,https://pixeldrain.com/u/jEScG1yq
Dreams In 3-D,✨ Music X Shows [V1],"Dreams In 3-D version of Music X Shows, made in 2006.",2:25,"Aug 25, 2025","Jun 28, 1905",2006,Instrumental,Full,High Quality,https://pixeldrain.com/u/EQiaLoe8
Dreams In 3-D,"🗑️ Pink + Blue [V1]
(Pink & Blue, Highlighter, Purple X Toys)","Dreams In 3-D version of ""Purple X Toys,"" made in 2006. Has different drums, and some other instrumentation and mixing differences, yet still easily recognizable. Track 5 on the project.",2:08,"Aug 25, 2025","Jun 28, 1905",2006,Instrumental,Full,CD Quality,https://pixeldrain.com/u/wvpwXzC6
Dreams In 3-D,Wind It Up [V2],"Dreams In 3-D track, made in 2006. Track 15 on the project.",2:06,"Aug 25, 2025","Jun 28, 1905",2006,Instrumental,Full,High Quality,https://pixeldrain.com/u/ADeuXt9M
Dreams In 3-D,"⭐ Puppy Love [V2]
(Chalk [V1], Shower [V1])","Dreams In 3-D track got turned into two separate instrumentals, Shower (Hi To Me Instrumental) & Chalk. Track 3 on the project. Not related to the bloxhead video of the same name.",2:12,"Aug 24, 2025","Jun 28, 1905",2006,Instrumental,Full,CD Quality,https://pixeldrain.com/u/aJ6zjBhe
Dreams In 3-D,We Dream In 3-D ,Dreams In 3-D title track. Track 1 on the project.,2:24,"Aug 24, 2025","Jun 28, 1905",2006,Instrumental,Full,CD Quality,https://pixeldrain.com/u/vNdJjumG
At Your Own Risk [V1],"⭐️ Lounges X Blox (Instrumental) [V2]
(Lounges And Blox)","At Your Own Risk version of ""Lounges X Blox,"" made in early 2007. Track 5 on the tracklist.",5:22,"Aug 24, 2025","Jun 29, 1905",2007,Instrumental,Full,CD Quality,https://pixeldrain.com/u/FJ2EVkNM
At Your Own Risk [V1],"12:01 (Instrumental) [V2]
(Bored Freestyle)","Instrumental to ""12:01"" used at the beginning of the Bored Freestyle.",2:38,"Aug 24, 2025","Jun 29, 1905",2007,Instrumental,Full,Low Quality,https://pixeldrain.com/d/93Mi36ZB/07%2012_01%20(Instrumental).mp3
At Your Own Risk [V1],✨ Sorry.... (Instrumental) [V1],"At Your Own Risk version of ""Sorry...."" that's pitched down, has the same drums and chords but different melody and bassline. Freestyled over in the Prototype Freestyle. Track 13 on the project, doesn't actually feature André 3000.",4:57,"Aug 24, 2025","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/d/93Mi36ZB/13%20Sorry.....mp3
Dreams In 3-D,Lounges X Blox (Instrumental) [V1],"Dreams In 3-D version of ""Lounges And Blox."" Track 9 on the project. Later reworked for At Your Own Risk, and then reworked again for Stereo-Type. Made in early 2006.",2:12,"Aug 22, 2025","Jun 28, 1905",2006,Instrumental,Full,High Quality,https://pixeldrain.com/u/YTi1U4RP
IGOR,"Kali Uchis - After The Storm / See You Again (Live Version)
(feat. Tyler, The Creator & Bootsy Collins)","Live version of ""After The Storm / See You Again"" that features some alternate production and a transition between the two songs.",> 3:57,"Aug 21, 2025",,,Performance,Full,Stream,https://pixeldrain.com/u/JRNwdnSp
At Your Own Risk [V1],7-Up Girl [V1],"Earlier version of 7-Up Girl, differences are unknown. Not lost anymore bitch.",,"Aug 17, 2025",,,Instrumental,Snippet,Low Quality,https://pixeldrain.com/u/3dfdvsNi
Ace,Loop2,"Loose instrumental made in 2008. Tagged with no name, the filename is used as a placeholder name.",3:27,"Aug 15, 2025","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/qbuooMYt
CALL ME IF YOU GET LOST [V2],"Perfect Love [Long Version] [V1]
(feat. A$AP Ferg) (prod. Tyler, The Creator)","CMIYGL-era song, meant to drop in 2023 but didn't for unknown reasons. Has Tyler singing, A$AP Ferg doing a verse, and Tyler doing 2 verses. Samples ""A Perfect Love"" by Rasa.",4:20,"Aug 15, 2025",,,Song,Full,CD Quality,LINK NEEDED
CALL ME IF YOU GET LOST [V2],"⭐️ Perfect Love [Long Version] [V2]
(feat. A$AP Ferg) (prod. Tyler, The Creator)","CMIYGL-era song, meant to drop in 2023 but didn't for unknown reasons. Has Tyler singing, A$AP Ferg doing a verse, and Tyler doing 2 verses. Samples ""A Perfect Love"" by Rasa. Has an alternate mix to the previous version.",4:20,"Aug 15, 2025",,,Song,Full,CD Quality,https://pillows.su/f/e2588544c47dca4dedc1ac931adcc7c5
CALL ME IF YOU GET LOST [V2],"Perfect Love [Short Version] [V1]
(feat. A$AP Ferg) (prod. Tyler, The Creator)
(Love)","Short version of ""Perfect Love,"" removes Tyler's second verse.",3:11,"Aug 15, 2025",,,Song,Full,CD Quality,LINK NEEDED
CALL ME IF YOU GET LOST [V2],"Love [Short Version] [V2]
(feat. A$AP Ferg) (prod. Tyler, The Creator)
(Perfect Love)","OG Filename: Love REF
Version of ""Perfect Love"" with an alternate mix.",3:11,"Aug 15, 2025",,,Song,OG File,CD Quality,LINK NEEDED
CALL ME IF YOU GET LOST [V2],"Perfect Love [Short Version] [V3]
(feat. A$AP Ferg) (prod. Tyler, The Creator)
(Love)","Version of ""Perfect Love"" with a beat pause & an alternate mix.",3:11,"Aug 15, 2025",,,Song,Full,CD Quality,LINK NEEDED
CHROMAKOPIA,Mother [V3],"OG Filename: Mother REF_01Apr2025
OG File for the version second released of ""Mother"" from CHROMAKOPIA +.",4:40,"Aug 15, 2025","Apr 1, 2025","Apr 1, 2025",Song,OG File,CD Quality,https://pixeldrain.com/u/KSf9LgFE
DON'T TAP THE GLASS,Stop Playing With Me (Show Mix),Show mix of 'Stop Playing With Me' previewed by Tyler on Instagram live.,> 0:56,"Aug 13, 2025",,,Show Mix,Partial,Recording,https://pixeldrain.com/u/QovRbCFq
CHROMAKOPIA,Noid (Live Version),Live version of 'Noid' played at Outside Lands 2025. Contains an extended outro with new freestyled lyrics.,5:38,"Aug 9, 2025",,,Performance,Full,Stream,https://pixeldrain.com/u/yxXFnQrY
CHROMAKOPIA,"Darling, I [V1] (Live Version)
(feat. Teezo Touchdown)","Live version of 'Darling, I' played at Outside Lands 2025 Contains an extended intro, and the outro is longer by like 1 second.",4:16,"Aug 9, 2025",,,Performance,Full,Stream,https://pixeldrain.com/u/2phnv1nb
CHROMAKOPIA,"Sticky (Live Version)
(feat. GloRilla, Sexyy Red & Lil Wayne)",Live version of 'Sticky' played at Outside Lands 2025 Contains an extended intro.,4:28,"Aug 9, 2025",,,Performance,Full,Stream,https://pixeldrain.com/u/Cm7ggxrR
DON'T TAP THE GLASS,Big Poe [V1] (Live Version),Live version of 'Big Poe' played at Outside Lands 2025. Has an extended intro and outro.,3:20,"Aug 9, 2025",,,Performance,Full,Stream,https://pixeldrain.com/u/S6kGn8UX
DON'T TAP THE GLASS,Sugar On My Tongue / St. Chroma [V1] (Live Version),"Live version of ""Sugar On My Tongue / St. Chroma"" played at Outside Lands 2025 with a very subtle transition between the two songs.",5:26,"Aug 9, 2025",,,Performance,Full,Stream,https://pixeldrain.com/u/DMfcZ6d8
Bodega,⭐ Coral,Track 15 on Bodega.,1:30,"Aug 4, 2025","Jun 30, 1905",2008,Instrumental,Full,CD Quality,https://pixeldrain.com/u/xiF6XfYG
Bodega,✨ Crabs,Track 14 on Bodega.,1:26,"Aug 4, 2025","Jun 30, 1905",2008,Instrumental,Full,Low Quality,https://pixeldrain.com/u/Za4vZiTm
Bodega,"✨ CV [V1]
(Networking (Instrumental) (2/2))","Earlier version of the second half instrumental of Networking by Casey Veggies, made when Tyler was 15 in 2007. Track 2 on Bodega.",2:07,"Aug 4, 2025","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/Z725D9e3
Bodega,✨ Outro,Track 16 on Bodega. Meant for affilate K Mak / Mak Milli to rap over.,2:27,"Aug 4, 2025","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/cYrKZVAn
Bodega,⭐ Yum!,Track 7 on Bodega.,2:16,"Aug 4, 2025","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/gJCSPiDa
Ace,🏅 ???,"Loose instrumental, year unknown. Snippet leaked during the Bodega groupbuy but was specifically said to not be from Bodega.",,"Aug 1, 2025",,,Instrumental,Snippet,CD Quality,"https://pixeldrain.com/u/wLR4ssmA
https://pixeldrain.com/u/L8yBiXiD"
IGOR,"A$AP Rocky - Hun 43rd [Chopped & Screwed]
(c&s. DJ Slim K) (feat. Blood Orange) (add. A$AP Twelvyy, ScHoolboy Q & Tyler, The Creator) (prod. Blood Orange)
(Hun43rd, Cradle)","OG Filename: 06 Hun 43rd (CS) - main (mastered ts)
Version of ""Hun 43rd"" with Tyler, The Creator production additions.",6:11,"Jul 28, 2025",,,Song,OG File,Lossless,https://pixeldrain.com/u/3phrKfqG
IGOR,"A$AP Rocky - ASAP Forever
(c&s. DJ Slim K) (with Tyler, The Creator) (feat. Khloe Anna, Kid Cudi, Moby & T.I.) (prod. A$AP Rocky, Hector Delgado & Jordie X)
(A$AP Forever)","OG Filename: 10 ASAP Forever (CS) - main (mastered ts)
Version of ""ASAP Forever"" with vocals from Tyler, The Creator on the intro, giving some commentary with Rocky.",4:23,"Jul 28, 2025",,,Song,OG File,Lossless,https://pixeldrain.com/u/t7RzVCMs
Ace,"✨ Midnight Hour
(You're Drunk (Instrumental))","Original instrumental to You're Drunk, pitched up & has alternate mixing. Made in 2009.",2:10,"Jul 18, 2025","Jul 1, 1905",2009,Instrumental,OG File,High Quality,https://pixeldrain.com/u/Ehgm79BE
Ace,✨ You're Drunk [V2],"Version of ""You're Drunk"" that's pitched down with alternate mixing & some new vocals, made in 2009 & played by Tyler on Ustream.",2:10,"Jul 18, 2025","Jul 1, 1905",2009,Song,OG File,High Quality,https://pixeldrain.com/u/gGgjy83F
Bodega,⭐ DNC,"Later version of the ""Non"" beat switch, made in 2007. Track 11 on Bodega. Slower in tempo & has alternate mixing.",1:44,"Jul 18, 2025","Jun 29, 1905",2007,Instrumental,Full,CD Quality,https://pixeldrain.com/u/F4ve8V1R
WOLF [V1],Toilet Milk [V2],"Later version of ""Toilet Milk"" with unpitched vocals, different instrumental break placements, different adlibs, & different vocal effects. Made in 2009 (meaning it's possible that Tyler made this song before AssMilk). On freeperm in July 2013, Tyler referred to this song as being recorded during the Goblin sessions, but it's safe to assume that Tyler said that due to him releasing WOLF earlier that year.",2:45,"Jul 18, 2025","Jul 1, 1905",2009,Song,OG File,High Quality,https://pixeldrain.com/u/ZtoueSXJ
Zombie Circus,🗑️ The Tramp 3 ,"Zombie Circus beat, made in 2009. Leaked as a bonus for a groupbuy.",1:25,"Jul 16, 2025","Jul 1, 1905",2009,Instrumental,Full,High Quality,https://pixeldrain.com/u/gQbkFmLS
At Your Own Risk [V1],✨ 7-Up Girl [V2],"At Your Own Risk track, made in 2007. Has no relation to ""7up"" from Stereo-Type & Eargasm. Track 15 on the project, doesn't actually feature John Legend.",3:52,"Jul 11, 2025","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/1YVBs79f
Dreams In 3-D,Retail Price (Instrumental) [V1],"Dreams In 3-D version of ""Retail Price,"" made in 2006. Completely different from the At Your Own Risk version. Track 12 on the project.",2:55,"Jun 29, 2025","Jun 28, 1905",2006,Instrumental,Full,CD Quality,https://pixeldrain.com/u/kGNcbbo8
Dreams In 3-D,Toys & Blox! [V2],"Dreams In 3-D track, made in 2006. Track 6 on the project.",2:15,"Jun 29, 2025","Jun 28, 1905",2006,Instrumental,Full,CD Quality,https://pixeldrain.com/u/pcka2qR4
Stereo-Type,"⭐ Promo [V2]
(Pancakes, Classic Tyler 8)","Version of ""Promo"" that's a higher quality but the vocals lead into the beat.",1:18,"Jun 29, 2025",,,Instrumental,Full,CD Quality,https://pixeldrain.com/u/nRjvdbrg
Rolling Papers,"Steamroller (2/2) (Instrumental)
(add. Frank Ocean)","Instrumental to the second half of ""Steamroller"" by Domo Genesis.",2:21,"Jun 29, 2025",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/N4Q53ngm
Stereo-Type,⭐ Gloomy Radio (Instrumental) [V2],"Track 1 of Stereo-Type, originally thought to be the instrumental now known as ""Celery Sticks"" from Eargasm. Posted on Imeem in 2008, made in 2007.",4:27,"Jun 20, 2025",,,Instrumental,Full,CD Quality,https://pixeldrain.com/u/9tAxeeYC
Dreams In 3-D,✨ MusiC LoVe [V2],"Dreams In 3-D track, made in 2006. Track 14 on the project.",2:45,"Jun 18, 2025","Jun 28, 1905",2006,Instrumental,Full,CD Quality,https://pixeldrain.com/u/NKsj7MYn
WOLF [V1],"Half/Half (Instrumental) [V1]
(Illegal Civ 2, Half N Half)",Rough draft of the outro from Half/Half [V2].,0:36,"Jun 14, 2025",,,Instrumental,Full,CD Quality,https://pixeldrain.com/u/YWPj7An2
Ace,Loop11,"Loose instrumental, year unknown. Tagged with no name, the filename is used as a placeholder name.",,"Jun 7, 2025",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/HeumzUQZ
At Your Own Risk [V1],Speakerboxx [V1],"At Your Own Risk track, recorded on sometime in 2007. Has 50 seconds of vocals. Later rerecorded and repurposed for Stereo-Type later on. Track 16 on the project, doesn't actually feature Wale or JAY-Z.",,"Jun 7, 2025",,,Song,Snippet,High Quality,https://pixeldrain.com/u/uFN4yZL3
The Recipe,Burtono - ???,"Unknown song played by Burtono and recorded by Pac, any other information is unknown. Confirmed to be had.",,"Jun 7, 2025",,,Other / Unknown,Snippet,Recording,"https://pixeldrain.com/u/Pku7Ki3H
https://pixeldrain.com/u/EN3QsBqJ"
The OF Tape Vol. 1,"🏅 A Milli (Freestyle) [V1]
(prod. Bangladesh)
(A Millie)","Original version of ""A Milli Freestyle"" without pitched vocals, meant to be on the Odd Future Tape. Released onto Hypebeast for download. Confirmed to be had.",,"Jun 7, 2025",,,Song,Snippet,High Quality,https://pixeldrain.com/u/PUhXwJeY
Ace,⭐ Splat,Loose instrumental made in 2007.,2:00,"May 25, 2025","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/xQogaAr4
At Your Own Risk [V1],"✨ Purple X Toys [V2]
(Highlighter, Pink + Blue)","At Your Own Risk version of ""Pink + Blue"" made in 2007. Later reworked for Radio Arcade under the name ""Highlighter"" Track 14 on the project, doesn't actually feature André 3000.",3:10,"May 9, 2025","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/qt5dZwJa
CALL ME IF YOU GET LOST [V1],"CRACK ERA [V7]
(feat. Maxo Kream)
(Cracc Era, Krakk Era)","Version of ""CRACK ERA"" with an alternate Maxo Kream verse, one that sounds more similar to Tyler's, is longer and has worse mixing and uses the Are U Super Cereal as release. Leaked tagged on Jul 1st, 2024 and leaked untagged May 1st, 2025.",3:37,"May 1, 2025",,,Song,Full,CD Quality,https://pixeldrain.com/u/CEBXu7F2
Ace,Something [V2],"Later version of Something, made in 2008.",,"Apr 26, 2025",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/J3h5TGde
Ace,🏅 Pixie [V2],"Reworked version of ""Pixie"", made in 2010. Differences unknown.",,"Apr 26, 2025",,,Instrumental,Snippet,Low Quality,https://pixeldrain.com/u/pohQscRi
Ace,Spazz,Loose instrumental made in 2007.  Same chord progression as the fake Radiolove. Might've been given to rapper Spazz from Skoolie's circle.,1:20,"Apr 24, 2025","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/RDGD9rrt
Ace,"Jam [V1]
(prod. Tyler, The Creator & Syd)",Loose instrumental made in 2009 co-produced with Syd.,0:43,"Apr 24, 2025","Jul 1, 1905",2009,Instrumental,Full,High Quality,https://pixeldrain.com/u/iZPfrj5T
Ace,"Jam [V2]
(prod. Tyler, The Creator & Syd)","Version of ""Jam"" that's longer.",2:10,"Apr 24, 2025","Jul 1, 1905",2009,Instrumental,Full,High Quality,https://pixeldrain.com/u/vr5UWLNX
Ace,Loop4,"Loose instrumental, year unknown. Tagged with no name, the filename is used as a placeholder name.",4:05,"Apr 18, 2025",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/QFFJV7b3
Eargasm,"Annie [V1]
(Classic Tyler 2)","Eargasm track, made in 2007. Initially leaked ages ago (July 6, 2012 is the first example I could find), and was acknowledged by Tyler on twitter. Higher quality version leaked later. Later reworked in 2009 for Wolf [V1].",3:57,"Apr 6, 2025","Jun 29, 1905",2007,Instrumental,Full,CD Quality,https://pixeldrain.com/u/5ZZoQy79
The Senioritis Tape,Fucking Lame (Instrumental),"Instrumental to ""Fucking Lame"" off of The Odd Future Tape, Vol.1. Missing sound effects from the final version.",2:31,"Apr 5, 2025",,,Instrumental,Full,Low Quality,https://pixeldrain.com/u/cjAvK4FR
Stereo-Type,✨ Gloomy Radio (Instrumental) [V1],"Earlier version of Gloomy Radio that's shorter, with many more differences. Made in 2007 but tagged as 08 as that was when Tyler planned to release Stereo-Type. Tagged as track 1 on Stereo-Type.",3:40,"Apr 4, 2025",,,Instrumental,Full,Low Quality,https://pixeldrain.com/u/ccN9cptR
