Era,Name,Notes,Length,"Release
Date",Type,Streaming,Link(s),Alternate Link(s)
Man On The Moon II,"The End
(prod. Blended Babies) (feat. GLC, Chip Tha Ripper, & Nicole Wray)","Track 14 from Kid Cudi's 2010 album MOTM II: The Legend of Mr. Rager. Written By Scott Mescudi, Charles Worth, Leonard Harris, Nicole Wray, Rich Perry, Jonathan Keller, Skip Mahoney, & James Purdie. Recorded by Rich Perry, Leonard Harris, Chip Tha Rip, & Anthony Kilhoffer. Mixed by Anthony Kilhoffer. Contains a sample of ""I Need Your Love"" by Skip Mahoney & The Casuals, & ""Soul Chicken"" by Bobby Allen & The Exceptions. Mastered by Vlado Meller, & Assisted by Mark Santangelo. Executive produced by: Kid Cudi, Plain Pat, & Emile. Co-executive produced by: Sylvia Rhone.",4:21,Nov 2010,Album Track,Yes,https://open.spotify.com/track/69D34snjPbZYGNwmIjmsZG?si=a3bd610de2cb47ef,
Man On The Moon II,"All Along
(prod. Emile)","Track 15 from Kid Cudi's 2010 album MOTM II: The Legend of Mr. Rager. Written By Scott Mescudi, & Emile Haynie. Recorded by Andrew Wright. Mixed by Manny Marroquin. Assisted by Christian Plata, & Erik Madrid. Strings Arranged and Conducted by Larry Gold. Mastered by Vlado Meller, & Assisted by Mark Santangelo. Executive produced by: Kid Cudi, Plain Pat, & Emile. Co-executive produced by: Sylvia Rhone.",3:23,Nov 2010,Album Track,Yes,https://open.spotify.com/track/5gNdqHSdG9eTbnvp8sZwUD?si=6d29b1ff7c5843b9,
Man On The Moon II,"Ghost!
(prod. Emile)","Track 16 from Kid Cudi's 2010 album MOTM II: The Legend of Mr. Rager. Written By Scott Mescudi, Emile Haynie, Rusty Evans, V Pike, & T Randazzo. Recorded by Emile Haynie, & Ryan West. Mixed by Manny Marroquin. Assisted by Christian Plata, & Erik Madrid. Engineered by Brent Kolatalo. Guitar, Bass, & Keys by Ken Lewis. Contains elements of ""My Rainbow Life"" by The Freak Scene. Mastered by Vlado Meller, & Assisted by Mark Santangelo. Executive produced by: Kid Cudi, Plain Pat, & Emile. Co-executive produced by: Sylvia Rhone.",4:49,Nov 2010,Album Track,Yes,https://open.spotify.com/track/7aAEJfIzJUUSRXQNz2JzfO?si=5ed674958067404d,
Man On The Moon II,"Trapped In My Mind
(prod. Kid Cudi, & Dot Da Genius)","Track 17 from Kid Cudi's 2010 album MOTM II: The Legend of Mr. Rager. Written By Scott Mescudi, & Oladipo Omishore. Recorded by Dot Da Genius, & Emile Haynie. Mixed by Dot Da Genius, & Ryan West. Guitar by Mike Dean. Additional Keyboards by Emile Haynie. Mastered by Vlado Meller, & Assisted by Mark Santangelo. Executive produced by: Kid Cudi, Plain Pat, & Emile. Co-executive produced by: Sylvia Rhone. Recorded at Scott's crib.",3:34,Nov 2010,Album Track,Yes,https://open.spotify.com/track/3fV84Z6UdxxHqfGIMmuSKg?si=c5ed7e43d3c442aa,
Man On The Moon II,"Maybe
(prod. Dot Da Genius, & Rami Beatz)","iTunes Pre Order Bonus Track from Kid Cudi's 2010 album MOTM II: The Legend of Mr. Rager. Written By Scott Mescudi, & Oladipo Omishore. Streaming available on Apple Music. Purchase on iTunes.",2:51,Nov 2010,Album Track,Yes,https://music.apple.com/us/album/man-on-moon-vol-ii-legend-mr-rager-bonus-track-version/1440796408,
Man On The Moon II,"Kanye West - Gorgeous
(prod. Kanye West, No I.D., & Mike Dean) (feat. Kid Cudi, & Raekwon)","Track 2 from Kanye West's 2010 album My Beautiful Dark Twisted Fantasy. Features guitar from Mike Dean and Ken Lewis. Features bass and organ from Ken Lewis. Features cello from Chris ""Hitchcock"" Chorney. Features keyboards and drum programming from Brent Kolatalo. Mixed by Anthony Kilhoffer. Mastered by Vlado Meller. Engineered by Mike Dean, Andrew Dawson, Anthony Kilhoffer, Noah Goldstein, Christian Mochizuki, Phil Joly, and Pete Bischoff. Samples the song ""You Showed Me"" by The Turtles. Interpolates the songs ""The struggle"" by Reezusfreecookies and ""The World Is Filled..."" by The Notorious B.I.G..",5:58,Nov 2010,Feature,Yes,https://open.spotify.com/track/23SZWX2IaDnxmhFsSLvkG2?si=5c351b8b21554339,
Man On The Moon II,"Kanye West - All Of The Lights
(prod. Kanye West, Jeff Bhasker, & Tommy D.) (feat. Kid Cudi, Alicia Keys, John Legend, The-Dream, Drake, Fergie, Elton John, Ryan Leslie, Charlie Wilson, Tony Williams, La Roux, Alvin Fields, Ken Lewis, & Rihanna)","Track 5 from Kanye West's 2010 album My Beautiful Dark Twisted Fantasy. Features keyboards from Jeff Bhasker and Mike Dean. Features brass and woodwinds from Ken Lewis, Danny Flam, and Tony Gorruso. Features piano from Elton John. Features cello from Chris ""Hitchcock"" Chorney and Rosie Danvers. Features trumpet from Mike Lovatt, Simon Finch, and Andy Gathercole. Features french horn from Tim Anderson, Tom Rumsby, and Richard Ashton. Features trombone from Mark Frost and Philip Judge. Features flue from Chloe Vincent. Features violin from Kotono Sato and Jenny Sacha. Features viola from Rachel Robson. Mixed by Anthony Kilhoffer. Mastered by Vlado Meller. Engineered by Mike Dean, Andrew Dawson, Anthony Kilhoffer, Noah Goldstein, Christian Mochizuki, Phil Joly, Pete Bischoff, Brent Kolatalo, and Marcos Tovar.",5:00,Nov 2010,Feature,Yes,https://open.spotify.com/track/22L7bfCiAkJo5xGSQgmiIO?si=d5169434142d42bc,
Man On The Moon II,"T.I. - Welcome To The World
(prod. Kanye West) (feat. Kid Cudi, & Kanye West)","Track 1 from T.I.'s 2010 album No Mercy. Written by Clifford Harris, Kanye West, & Scott Mescudi. Recorded by Elliot Carter, Anthony Kilhoffer, & Andrew Dawson. Additional Recording by Noah Goldstein. Assisted by Kevin Wilson. Mixed by Anthony Kilhoffer. Executive produced by T.I.P., & Jason Geter. Co-executive produced by Gee Roberson. Mastered by Chris Gehringer.",4:14,Dec 2010,Feature,Yes,https://open.spotify.com/track/0puFmcIvB53ZUtvVP78o0e?si=d4e1dbc907eb483c,
,A Man Named Scott,"(01/26/2011) (Kid Cudi announces the mixtape on Twitter)
(08/21/2011) (Kid Cudi tweets the mixtape is scrapped)
(2011)",,,"In January of 2011, Cudi would announce a mixtape on Twitter that was to serve as a sequel to 'A Kid Named Cudi' named 'A Man Named Scott.' The mixtape was created as a sort of companion piece to 'WZRD'. the rock album collaboration album with producer Dot Da Genius, as Cudi expressed that Wizard wouldn't be rap focused at all, and that fans of his rapping should stay tuned for 'A Man Named Scott' instead. In August of 2011, Cudi would again take to Twitter to announce that the mixtape had been cancelled in order to focus on 'WZRD' and 'Man On The Moon III'.",,,
A Man Named Scott,"No One Believes Me
(prod. Kid Cudi & Dot Da Genius)","Single Written by Scott Mescudi, & Oladipo Omishore. Recorded by Oladipo Omishore. Mixed by Oladipo Omishore. Engineered by Oladipo Omishore, & Ricardo Gutierrez. Guitar By Kid Cudi. Bass by Dot Da Genius. Keyboards by Dot Da Genius. Drums by Dot Da Genius. Mastered by Ricardo Gutierrez.",5:02,Jan 2011,Single,Yes,https://open.spotify.com/track/3VPnMpm9RVFVvBNSQH0yMD?si=e4a622c531b6469e,
A Man Named Scott,"Bryan Greenberg - You Can Run
(prod. Bryan Greenberg) (feat. Kid Cudi)","Track 1 from Bryan Greenberg's 2011 album We Don't Have Forever. Written by Bryan Greenberg, & Scott Mescudi.",3:17,Jan 2011,Feature,Yes,https://open.spotify.com/track/5lt2cMmHxKMpc0LsWzTyGw?si=fbcd453fa73b4b3d,
A Man Named Scott,"Dia Frampton - Don't Kick The Chair
(prod. Greg Kurstin) (feat. Kid Cudi)","Track 1 from Dia Frampton's 2011 album Don't Kick The Chair. Written by Dia Frampton, Julie Frost, Scott Mescudi, & Michael Busbee. Recorded by Greg Kurstin. Mixed by Manny Marroquin. Engineered by Jesse Shatkin. Mastered by Ted Jensen.",3:34,Jan 2011,Feature,Yes,https://open.spotify.com/track/6YCAhzuOqzDk9fBHE06AyB?si=6560231c728442a8,
A Man Named Scott,"Travis Barker - Cool Head
(prod. Travis Barker, Kid Cudi & Edit) (feat. Kid Cudi)","Track 9 from Travis Barker's 2011 album Give The Drummer Some. Written by Travis Barker, Scott Mescudi, & E Ma. Recorded by Edit, James Ingram. Mixed by Neal Pogue. Assisted by Graham Stan Hargrove, & Jeremiah ""J Hop"" Olvera. Guitar by Kid Cudi. Percussion by Travis Barker. Drums & Drum Programming by Travis Barker. Additional Programming by Edit. Mastered by Brian ""Big Bass"" Gardner.",4:39,Jan 2011,Feature,Yes,https://open.spotify.com/track/68pegrzvkoKDQfIFFgvb4Y?si=8b8bad014ddd4542,
,"WZRD
(Collaboration with Dot Da Genius)
(Wizard, 2 Be Continuum)","(01/27/2011) (Kid Cudi announces 'WZRD' on Twitter)
(02/28/2012) ('WZRD' officially releases)
(2011-2012)",,,"""WZRD"" is the debut studio album by American alternative rock duo WZRD, composed of musicians Dot da Genius and Kid Cudi. It was released on February 28, 2012, via Universal Republic Records and GOOD Music, as well as Cudi's newly found label imprint, Wicked Awesome Records. The album was supported by the singles ""Brake"" and ""Teleport 2 Me, Jamie."" For the project Cudi went sober from everything and used it as inspiration for the album.",,,
WZRD,"Perfect Is The Word
(prod. WZRD)",Released more as a Blog/Twitter promotional single. Confirmed to be the first song they worked on for WZRD.,2:58,May 2011,Single,No,https://krakenfiles.com/view/GtkWWKkvSm/file.html,
WZRD,"The Ruler and The Killer
(prod. Greg Wells, Kid Cudi, & T Bone Burnett) (Performed by Kid Cudi)","Track 5 from The Hunger Games Soundtrack. Written by Scott Mescudi, Greg Wells, & T Bone Burnett. Recorded by Ian McGregor. Mixed by Mike Piersante. Keyboards by Keefus Green. Guitar by Kid Cudi, Greg Wells, & T-Bone Burnett. Drums by, Greg Wells, & Jay Bellerose. Bass Guitar by Greg Wells. Mastered by Gavin Lurssen.",4:33,Jan 2012,Single,Yes,https://open.spotify.com/track/3ZWkh8WkXzp4HoMqhQaU7H?si=da479386a962498a,
WZRD,"Dose Of Dopeness (2012 Release)
(prod. Kid Cudi, & Dot Da Genius)","Released by Kid Cudi and Dot Da Genius. Written by Scott Mescudi, & Oladipo Omishore. To hold off the fans for another week before WZRD's release Kid Cudi and Dot Da Genius finished this song which was previously just a Youtube video of Kid Cudi performing the first verse. Mostly recorded in 2007. Kid Cudi mentioned this was to originally be on MOTM I. He also mentioned it being a bonus track for WZRD.",3:57,Feb 2012,Single,No,https://krakenfiles.com/view/cauW8380cK/file.html,
WZRD,"Dennis, Hook Me Up With Some More Of This Whiskey!
(prod. Kid Cudi)","Premiered on Hot 97 by Funkmaster Flex and later released by Kid Cudi. Samples the song ""Ghost"" by Kid Cudi. Samples dialogue of John Boyega, & Alex Esmail from the film ""Attack the Block"" as well as an audio clip of Barack Obama at a fundraiser at the Apollo Theater in New York.",2:50,Apr 2012,Single,No,https://krakenfiles.com/view/lBSbBwtSra/file.html,
WZRD,"Brake
(prod. WZRD)","First single from WZRD's 2012 album WZRD. Written by Scott Mescudi, & Oladipo Omishore. Mixed by Noah Goldstein. Recorded by Oladipo Omishore. Mastered by Howie Weinberg. Recorded at Scott's Crib. Mastered by Chris Gehringer. Keyboard, Percussion, & Drums by Kid Cudi, & Dot Da Genius. Bass by Dot Da Genius.",5:06,Nov 2011,Single,Yes,https://open.spotify.com/track/5n2TFACP0VNIPe0eBHfmeE?si=84b4129a21be4e39,
WZRD,"Teleport 2 Me, Jamie
(prod. WZRD)
(feat. Desire)","Second single from WZRD's 2012 album WZRD. Written by Scott Mescudi, Oladipo Omishore, & John Padgett. Mixed by Noah Goldstein. Recorded by Oladipo Omishore, & Noah Goldstein. Recorded at Scott's Crib. Mastered by Chris Gehringer. Keyboard, Percussion, & Drums by Kid Cudi, & Dot Da Genius. Bass by Dot Da Genius. Samples Desire's cover of the song ""Under Your Spell"" by John Padgett.",3:58,Jan 2012,Single,Yes,https://open.spotify.com/track/5xKvxwXINUs2dsyvDJ8Gjs?si=f97014e74b024d25,
WZRD,"The Arrival
(prod. WZRD)","Track 1 from WZRD's 2012 album WZRD. Written by Scott Mescudi, & Oladipo Omishore. Mixed by Noah Goldstein. Recorded by Oladipo Omishore. Recorded at Scott's Crib. Mastered by Chris Gehringer. Strings Arranged and Conducted by Larry Gold. Keyboard, Percussion, & Drums by Kid Cudi, & Dot Da Genius. Bass by Dot Da Genius.",2:53,Feb 2012,Album Track,Yes,https://open.spotify.com/track/0gBhyQ07eMpB40xeEqqwZa?si=5302e47b99e943d0,
WZRD,"High Off Life
(prod. WZRD)","Track 2 from WZRD's 2012 album WZRD. Written by Scott Mescudi, & Oladipo Omishore. Mixed by Noah Goldstein. Recorded by Oladipo Omishore. Recorded at Wildman's Tour Bus. Mastered by Chris Gehringer. Keyboard, Percussion, & Drums by Kid Cudi, & Dot Da Genius. Bass by Dot Da Genius.",5:13,Feb 2012,Album Track,Yes,https://open.spotify.com/track/3ihCshzaKi3hpWr3Piux2D?si=fc5c6bfd998b4065,
WZRD,"The Dream Time Machine
(prod. WZRD)","Track 3 from WZRD's 2012 album WZRD. Written by Scott Mescudi, & Oladipo Omishore. Mixed by Noah Goldstein. Recorded by Noah Goldstein. Recorded at Scott's Crib. Mastered by Chris Gehringer. Keyboard, Percussion, & Drums by Kid Cudi, & Dot Da Genius. Bass by Dot Da Genius. Sound Design by Luke Steele, & Nick Littlemore of Empire of the Sun.",4:47,Feb 2012,Album Track,Yes,https://open.spotify.com/track/1rv1Q7ORRfiDVbVoHJsnTl?si=f9c50ac6d291474e,
WZRD,"Love Hard
(prod. WZRD)","Track 4 from WZRD's 2012 album WZRD. Written by Scott Mescudi, & Oladipo Omishore. Mixed by Noah Goldstein. Recorded by Oladipo Omishore. Recorded at Scott's Crib. Mastered by Chris Gehringer. Keyboard, Percussion, & Drums by Kid Cudi, & Dot Da Genius. Bass by Dot Da Genius.",4:38,Feb 2012,Album Track,Yes,https://open.spotify.com/track/1SRBwCNFlinAW8J1O6QjkC?si=9d99f70664604d6c,
WZRD,"Live & Learn
(prod. WZRD)","Track 5 from WZRD's 2012 album WZRD. Written by Scott Mescudi, & Oladipo Omishore. Mixed by Noah Goldstein, & Dot Da Genius. Recorded by Oladipo Omishore. Recorded at Scott's Crib. Mastered by Chris Gehringer. Keyboard, Percussion, & Drums by Kid Cudi, & Dot Da Genius. Bass by Dot Da Genius.",4:34,Feb 2012,Album Track,Yes,https://open.spotify.com/track/3r3KuzJcST2dPsnpdr1M32?si=4c90395d20e545bd,
WZRD,"Brake
(prod. WZRD)","Track 6 from WZRD's 2012 album WZRD. Written by Scott Mescudi, & Oladipo Omishore. Mixed by Noah Goldstein. Recorded by Oladipo Omishore. Mastered by Howie Weinberg. Recorded at Scott's Crib. Mastered by Chris Gehringer. Keyboard, Percussion, & Drums by Kid Cudi, & Dot Da Genius. Bass by Dot Da Genius.",5:04,Feb 2012,Album Track,Yes,https://open.spotify.com/track/5n2TFACP0VNIPe0eBHfmeE?si=e8c1c07d562740dc,
WZRD,"Teleport 2 Me, Jamie
(prod. WZRD) (feat. Desire)","Track 7 from WZRD's 2012 album WZRD. Written by Scott Mescudi, Oladipo Omishore, & John Padgett. Mixed by Noah Goldstein. Recorded by Oladipo Omishore, & Noah Goldstein. Recorded at Scott's Crib. Mastered by Chris Gehringer. Keyboard, Percussion, & Drums by Kid Cudi, & Dot Da Genius. Bass by Dot Da Genius. Samples Desire's cover of the song ""Under Your Spell"" by John Padgett.",3:58,Feb 2012,Album Track,Yes,https://open.spotify.com/track/5xKvxwXINUs2dsyvDJ8Gjs?si=9568c1ba82c540c8,
WZRD,"Where Did You Sleep Last Night?
(prod. WZRD)","Track 8 from WZRD's 2012 album WZRD. Influenced by Nirvana's rendition. Mixed by Noah Goldstein. Recorded by Oladipo Omishore. Recorded at Scott's Crib. Mastered by Chris Gehringer. Keyboard, Percussion, & Drums by Kid Cudi, & Dot Da Genius. Bass by Dot Da Genius. Additional Guitar by Sean F. Martin. Kid Cudi's rendition of ""Where Did You Sleep Last Night"" by Leadbelly/Nirvana.",4:15,Feb 2012,Album Track,Yes,https://open.spotify.com/track/4dbtEvnNTw4VOPVH12lJU0?si=66800953f54e439a,
WZRD,"Efflictim
(prod. WZRD)","Track 9 from WZRD's 2012 album WZRD. Written by Scott Mescudi, & Oladipo Omishore. Mixed by Noah Goldstein, & Dot Da Genius. Recorded by Oladipo Omishore. Recorded at Scott's Crib. Mastered by Chris Gehringer. Keyboard, Percussion, & Drums by Kid Cudi, & Dot Da Genius. Bass by Dot Da Genius.",4:28,Feb 2012,Album Track,Yes,https://open.spotify.com/track/79zXPYRWFbxFXL4J7jG23M?si=a523001c2c9a4583,
WZRD,"Dr. Pill
(prod. WZRD)","Track 10 from WZRD's 2012 album WZRD. Written by Scott Mescudi, & Oladipo Omishore. Mixed by Dot Da Genius. Recorded by Oladipo Omishore. Recorded at Scott's Crib. Mastered by Chris Gehringer. Keyboard, Percussion, & Drums by Kid Cudi, & Dot Da Genius. Bass by Dot Da Genius.",4:12,Feb 2012,Album Track,Yes,https://open.spotify.com/track/3HVXDrymEMBLphTlZ4mbNa?si=fb32a6bbda784675,
WZRD,"Upper Room
(prod. WZRD)","Track 11 from WZRD's 2012 album WZRD. Written by Scott Mescudi, Oladipo Omishore, Pete Brown, & Jack Bruce. Mixed by Noah Goldstein. Recorded by Oladipo Omishore. Recorded at Scott's Crib. Mastered by Chris Gehringer. Keyboard, Percussion, & Drums by Kid Cudi, & Dot Da Genius. Bass by Dot Da Genius. Samples the song ""White Room"" by Cream.",3:12,Feb 2012,Album Track,Yes,https://open.spotify.com/track/6nSQpWKzw4IiY70iNHJMGc?si=5e4c6d27910d4dd3,
WZRD,"The Knux - Run
(prod. The Knux) (feat. Kid Cudi)","Track 6 from The Knux's 2011 album Eraser. Written by Kentrell Lindsey, Alvin Lindsey, & Scott Mescudi. Recorded by Krispy, & Alec Dixon. Mixed by Robert Orton. Mixing Assistant by Seth Waldmann. Drums by Tyler ""Tycoon' Coomes.",3:48,Sep 2011,Feature,Yes,https://open.spotify.com/track/3OVqNSAxYNHgmhFLzOZpK2?si=cc00f290b40442cc,
WZRD,"Wale - Focused
(prod. Kore) (feat. Kid Cudi)","Track 7 from Wale's 2011 album Ambition. Written by Olubowale Akintimehin, Scott Mescudi, Djamel Fezari, & Walker Johnson. Mixed by Fabian Marasciullo. Assisted by Ghazi Hourani. Additional Engineering by Ghazi Hourani. Background Vocals by Tre. Mastered by Tal Miller. Executive produced by Rick Ross, & Wale Folarin.",3:32,Nov 2011,Feature,Yes,https://open.spotify.com/track/4w27lZ9zcceZp6rumzGCBx?si=30984cecea1940f9,
WZRD,"Consequence - On My Own
(prod. Kanye West) (feat. Kid Cudi)","Track 6 from Consequence's 2011 mixtape Curb Certified. Hosted by Superstar Jay and DJ Love Dinero. Mixed by Abainz, Billy Gastfield, Ed Roc, & Ryan West. Contains a sample of the song ""Nao Identificado"" by Gal Costa. Tagless.",3:05,Dec 2011,Feature,No,https://krakenfiles.com/view/jVDTLMA9TZ/file.html,
WZRD,"Chip Tha Ripper - GloryUs
(prod. Hi-Tek) (Performed by The Almighty GloryUs)","Track 10 from Chip Tha Ripper's 2012 mixtape Tell Ya Friends. Written by Charles Worth, & Scott Mescudi. Mixed by Chip Tha Ripper, Ramibeatz, & Woodrow Skillson. Mastered by Chip Tha Ripper, Ramibeatz, & Woodrow Skillson.",2:49,Jan 2012,Feature,Yes,https://open.spotify.com/track/2sNveyAGVNFZAL8yRMwTN0?si=793680774acb4a5b,https://krakenfiles.com/view/kBFXrXPW26/file.html
WZRD,"Chip Tha Ripper - Ride 4 U
(prod. Dot Da Genius) (feat. Kid Cudi, & Far East Movement)","Track 20 from Chip Tha Ripper's 2012 mixtape Tell Ya Friends. Written by Charles Worth, Scott Mescudi, & Far East Movement. Mixed by Chip Tha Ripper, Ramibeatz, & Woodrow Skillson. Mastered by Chip Tha Ripper, Ramibeatz, & Woodrow Skillson.",3:23,Jan 2012,Feature,No,https://krakenfiles.com/view/JODkSgjeHS/file.html,
WZRD,"Chip Tha Ripper - Ride 4 U (Alternate)
(prod. Dot Da Genius) (feat. Kid Cudi, & Far East Movement)","Unmastered alternate version with a Far East Movement verse before Chips. Written by Charles Worth, Scott Mescudi, & Far East Movement. Mixed by Chip Tha Ripper, Ramibeatz, & Woodrow Skillson. Mastered by Chip Tha Ripper, Ramibeatz, & Woodrow Skillson.",4:26,Jan 2012,Feature,No,https://krakenfiles.com/view/ptFHdu595N/file.html,
WZRD,"Steve Aoki - Cudi The Kid
(prod. Steve Aoki) (feat. Kid Cudi)","Track 10 from Steve Aoki's 2012 album Wonderland. Written by Steve Aoki, Scott Mescudi, Travis Barker, & Justin Bates. Engineered by Justin Baites. Recorded at Wonderland Studio. Mastered by Steve Aoki.",4:47,Jan 2012,Feature,Yes,https://open.spotify.com/track/3O4zbQKRVsGE8vUyHAiLR6?si=b8b5156de0bc474e,
WZRD,"Hit-Boy - Old School Caddy
(prod. Hit-Boy ) (feat. Kid Cudi)","Track 4 from Hit-Boy's 2012 mixtape HITstory. Samples the song ""Keep On Doin' It"" by The New Birth.",3:44,Aug 2012,Feature,No,https://krakenfiles.com/view/3dxZvCMoKV/file.html,
,INDICUD,"(06/05/2012) (Kid Cudi announces 'INDICUD' on Twitter, dedicated to Ben Breedlove)
(04/16/2013) ('INDICUD' officially releases)
(2012-2013)",,,"""INDICUD"" is the third studio album by American rapper and singer Kid Cudi, released on April 12, 2013. The album marked a departure from Cudi's earlier style, as he took on a more prominent role in production and instrumentation. The album features a mix of introspective, personal lyrics, and a darker, more experimental sound, and includes guest appearances from artists such as Kendrick Lamar, A$AP Rocky, and Michael Bolton. 'Indicud' was well-received by fans and critics alike, with many praising Cudi's growth as an artist and the album's innovative sound. The lead single from the album, ""Just What I Am,"" was a commercial success and helped to solidify Cudi's position as a unique and influential voice in hip-hop and alternative music.",,,
INDICUD,"Pursuit Of Happiness (Steve Aoki Remix)
(prod. Steve Aoki)",Single Remix by Steve Aoki.,6:14,May 2012,Single,Yes,https://open.spotify.com/track/5PX4uS1LqlWEPL69phPVQQ?si=dac76f54c6b74022,
INDICUD,"Just What I Am
(prod. Kid Cudi) (feat. King Chip)","Lead single from Kid Cudi's 2013 album INDICUD. Written by Scott Mescudi, & Charles Worth. Mixed by Iain Findlay. Assisted by Bradford Smith. Recorded by Iain Findlay. Assisted by Cesar Loza. Executive produced by Dennis Cummings. Mastered by Chris Gehringer. Drums by Kid Cudi. Keyboards by Kid Cudi. Trombone by Frank Lacy. Programming by Kid Cudi.",3:48,Oct 2012,Single,Yes,https://open.spotify.com/track/662g7QCw7JFvwEGHQ05y7J,
INDICUD,"King Wizard
(prod. Kid Cudi)",Second single Kid Cudi's 2013 album INDICUD. Written by Scott Mescudi. Mixed by Iain Findlay. Recorded by Iain Findlay. Executive produced by Dennis Cummings. Mastered by Chris Gehringer. Drums by Kid Cudi. Guitar by Kid Cudi. Keyboards by Kid Cudi. Programming by Kid Cudi.,4:17,Dec 2012,Single,Yes,https://open.spotify.com/track/4bFOo0IbTRXQBXNWEpGxXX?si=b5578a39b1cb467a,
INDICUD,"Girls
(prod. Kid Cudi) (feat. Too $hort)","Third single from Kid Cudi's 2013 album INDICUD. Written by Scott Mescudi. Mixed by Iain Findlay. Assisted by Cesar Loza. Recorded by Iain Findlay. Assisted by Cesar Loza, & Christian Humphreys. Executive produced by Dennis Cummings. Mastered by Chris Gehringer. Drums by Kid Cudi, & Dot Da Genius. Keyboards by Kid Cudi, & Dot Da Genius. Programming by Kid Cudi. This composition embodies portions of ""Bitches Reply"" by DJ Jimi. This composition also embodies portions of ""Pretty Girls"" by The Kids of Widney High.",4:27,Apr 2013,Single,Yes,https://open.spotify.com/track/7akq5eDflgN6sRCeeGk12g?si=48bd592585464eee,
INDICUD,"The Resurrection of Scott Mescudi
(prod. Kid Cudi)","Track 1 from Kid Cudi's 2013 album INDICUD. Written by Scott Mescudi. Mixed by Iain Findlay. Assisted by Bradford Smith. Recorded by Iain Findlay. Assisted by Cesar Loza. Executive produced by Dennis Cummings. Mastered by Chris Gehringer. Drums by Kid Cudi. Keyboards by Kid Cudi. Programming by Kid Cudi. Contains use of audio from the motion picture ""The Good Son"" courtesy of Twentieth Century Fox.",2:41,Apr 2013,Album Track,Yes,https://open.spotify.com/track/5qf1Fn46TzMNQ8vpyJSU4P?si=bf5bc87675464143,
INDICUD,"Unfuckwittable
(prod. Kid Cudi)","Track 2 from Kid Cudi's 2013 album INDICUD. Written by Scott Mescudi. Mixed by Iain Findlay. Assisted by Bradford Smith. Recorded by Iain Findlay. Assisted by Cesar Loza. Executive produced by Dennis Cummings. Mastered by Chris Gehringer. Drums by Kid Cudi. Guitar by Kid Cudi. Keyboards by Kid Cudi. Programming by Kid Cudi. Contains use of audio from the motion picture ""The Good Son"" courtesy of Twentieth Century Fox.",4:36,Apr 2013,Album Track,Yes,https://open.spotify.com/track/0jUie9UEhrUFWo683TC3KW?si=b69bc6e02ef24686,
INDICUD,"Just What I Am
(prod. Kid Cudi) (feat. King Chip)","Track 3 from Kid Cudi's 2013 album INDICUD. Written by Scott Mescudi, & Charles Worth. Mixed by Iain Findlay. Assisted by Bradford Smith. Recorded by Iain Findlay. Assisted by Cesar Loza. Executive produced by Dennis Cummings. Mastered by Chris Gehringer. Drums by Kid Cudi. Keyboards by Kid Cudi. Trombone by Frank Lacy. Programming by Kid Cudi.",3:48,Apr 2013,Album Track,Yes,https://open.spotify.com/track/20bJBbPapGQ4bqs0YcA9xY?si=214b1563ad9e4876,
INDICUD,"Young Lady
(prod. Kid Cudi) (feat. Father John Misty)","Track 4 from Kid Cudi's 2013 album INDICUD. Written by Scott Mescudi, & Joshua Tillman. Mixed by Iain Findlay. Assisted by Bradford Smith. Recorded by Iain Findlay. Assisted by Cesar Loza. Executive produced by Dennis Cummings. Mastered by Chris Gehringer. Drums by Kid Cudi. Guitar by Kid Cudi. Keyboards by Kid Cudi. Programming by Kid Cudi. Background vocals by Father John Misty, & Ayanna Collazo. The composition embodies portions of ""Hollywood Forever Cemetery Sings"" by Father John Misty.",4:25,Apr 2013,Album Track,Yes,https://open.spotify.com/track/0vLAUpYj7YuO9BpQd6Bg25?si=5d2d70ca73b34fcf,
INDICUD,"King Wizard
(prod. Kid Cudi)",Track 5 from Kid Cudi's 2013 album INDICUD. Written by Scott Mescudi. Mixed by Iain Findlay. Recorded by Iain Findlay. Executive produced by Dennis Cummings. Mastered by Chris Gehringer. Drums by Kid Cudi. Guitar by Kid Cudi. Keyboards by Kid Cudi. Programming by Kid Cudi.,4:16,Apr 2013,Album Track,Yes,https://open.spotify.com/track/4bFOo0IbTRXQBXNWEpGxXX?si=42e705a608c04a51,
INDICUD,"Immortal
(prod. Kid Cudi)","Track 6 from Kid Cudi's 2013 album INDICUD. Written by Scott Mescudi. Mixed by Iain Findlay. Assisted by Bradford Smith. Recorded by Iain Findlay. Assisted by Cesar Loza. Executive produced by Dennis Cummings. Mastered by Chris Gehringer. Drums by Kid Cudi, & Dot Da Genius. Guitar by Kid Cudi. Keyboards by Kid Cudi, & Dot Da Genius. Programming by Kid Cudi. This composition embodies portions of ""Congratulations"" by MGMT. Contains use of audio from the motion picture ""Billy Madison"" courtesy of Universal Studios. Contains use of audio from the motion picture ""The Good Son"" courtesy of Twentieth Century Fox.",5:02,Apr 2013,Album Track,Yes,https://open.spotify.com/track/4fHRUyNTNVD0HRe4YPYA4m?si=69c6f1379bd74756,
