Era,Name,Notes,Copy Length,File Date,Available Length,Quality,Link(s)
God's Country,JESUS IS LORD,"OG Filename: JIL - Singers
Album copy seen in a leaked selling list. 'Singers' presumably refers to reference tracks that are sung rather than rapped.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: JIL - Writers Refs
Album copy seen in a leaked selling list. Likely a curated copy of reference tracks taken from a variety of different artists that have their own 'Writer Refs' folders.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: Cody Ideas
Album copy seen in a leaked selling list. Presumably a copy of freestyles made when Kanye went back to his Wyoming ranch in mid-2020.",,,Confirmed,Not Available,
God's Country,"JESUS IS LORD
(prod. FROMDABUNKA)","OG Filename: D E A N
Another FROMDABUNKA album copy. Presumably made when he went back to the Wyoming ranch with Ye in mid-2020. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: - JIL - 200507 Ye
Album copy seen in a leaked selling list.",,"May 7, 2020",Confirmed,Not Available,
God's Country,"JESUS IS LORD
(exec. prod. Bu Thiam)","OG Filename: JIL - Bu
Album copy seen in a leaked selling list. Likely a tracklist curated by Bu Thiam, Kanye's manager at the time.",,,Confirmed,Not Available,
God's Country,"JESUS IS LORD
(exec. prod. Bu Thiam)","OG Filename: Nu Bu 200509
Second Bu copy, seen in a leaked selling list.",,"May 9, 2020",Confirmed,Not Available,
God's Country,JESUS IS LORD,"OG Filename: JIL - Travis
Copy with something involving Travis Scott, likely production. Unknown if it's the same as the UTOPIA freestyles copy. Last copy to use the title JESUS IS LORD. Seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,God's Country,"OG Filename: - Gods Country -
Album copy seen in a leaked selling list.",,,Confirmed,Not Available,
God's Country,God's Country,"OG Filename: - Gods Country - 200522
Album copy seen in a leaked selling list.",,"May 22, 2020",Confirmed,Not Available,
God's Country,God's Country,"OG Filename: - Gods Country - 200522 2
Album copy seen in a leaked selling list.",,"May 22, 2020",Confirmed,Not Available,
God's Country,God's Country,"OG Filename: Gods Country - Table
Album copy seen in a leaked selling list. Unknown what 'Table' in the filename is referring to.",,,Confirmed,Not Available,
God's Country,God's Country,"OG Filename: Play For Ye
Album copy seen in a leaked selling list. Presumably a playlist of songs meant to be played for Ye to get his feedback. Unknown when it is from.",,,Confirmed,Not Available,
God's Country,God's Country,"OG Filename: Playlist
Album copy seen in a leaked selling list. Unknown when it is from.",,,Confirmed,Not Available,
God's Country,God's Country,"OG Filename: Playlist 2
Album copy seen in a leaked selling list. Unknown when it is from.",,,Confirmed,Not Available,
God's Country,"God's Country
(exec. prod. Consequence)","OG Filename: Cons Picks 200621
Album copy curated by Consequence. Seen in a leaked selling list.",,"Jun 21, 2020",Confirmed,Not Available,
God's Country,God's Country,"OG Filename: 200629 Ye List
Likely a copy of songs curated by Ye himself. Seen in a leaked selling list.",,"Jun 29, 2020",Confirmed,Not Available,
God's Country,God's Country,"OG Filename: - Gods Country - 200704
Album copy seen in a leaked selling list.",,"Jul 4, 2020",Confirmed,Not Available,
God's Country,"God's Country
(prod. E.VAX)","E.VAX-produced copy from July 5th, 2020. Tracklist order is unknown.",42:01,"Jul 5, 2020",OG File,Lossless,https://pillows.su/f/9ed5e56f7a660788c440a09d53107df3
God's Country,JetCountry,"OG Filename: - - JetJetJet
Copy with all the JetCountry freestyles. Seen in a leaked selling list.",,"Jul 10, 2020",Confirmed,Not Available,
God's Country,JetCountry,"OG Filename: - - JetJetJet inst
Copy with the instrumentals for every JetCountry freestyle. Seen in a leaked selling list.",,"Jul 10, 2020",Confirmed,Not Available,
God's Country,"Travis Scott - UTOPIA [Album]
(exec. prod. Kanye West)","A 17-track Kanye copy of Utopia, from 2020. Ye claimed in an interview with DJ Akademiks that 4 songs he did in Wyoming eventually ended up on Travis Scott's album. Only two snippets were previously shown to prove this copy exists, On May 3rd 2025, snippets of the other 15 songs leaked. Full copy leaked on September 27th, 2025, after a groupbuy.",30:58,"May 14, 2020",OG File,CD Quality,https://pillows.su/f/24e9734d95a223e8be6cb9c311574a81
,"JESUS IS KING: The Dr. Dre Version
(Collaboration with Dr. Dre)
(JESUS IS KING II, JESUS IS LORD)","(10/25/2019) (JESUS IS KING officially releases)
(09/24/2020) (Dem Jointz reveals that Kanye is no longer focused on the project)",,,"The release of JESUS IS KING was met with mixed reviews from fans and critics. Kanye then took to Twitter to announce that he was working on a new album with Dr. Dre. Initially conceived as a remix album, it eventually grew to incorporate mainly unreleased material. During the #WESTDAYEVER campaign, Kanye did on Twitter in 2020, it was supposed to release officially, but never did. It ended up being scrapped sometime in 2020, as stated by producer Dem Jointz. Kanye posted the cover in 2022, which is assumed to be for the album.",,
JESUS IS KING: The Dr. Dre Version,JESUS IS KING: The Dr. Dre Version,"OG Filename: - DR Album -
Album copy seen in a leaked selling list. Unknown when it is from. Possibly the version intended to release around June 26th, 2020, for Kanye's ""WestDayEver"" campaign.",,,Confirmed,Not Available,
JESUS IS KING: The Dr. Dre Version,JESUS IS KING: The Dr. Dre Version,"OG Filename: - DR Album - 200711
Album copy seen in a leaked selling list.",,"Jul 11, 2020",Confirmed,Not Available,
JESUS IS KING: The Dr. Dre Version,JESUS IS KING: The Dr. Dre Version,"OG Filename: - DR Album - 200713
Album copy seen in a leaked selling list.",,"Jul 13, 2020",Confirmed,Not Available,
JESUS IS KING: The Dr. Dre Version,JESUS IS KING: The Dr. Dre Version,"OG Filename: - DR Album - 200714
Album copy seen in a leaked selling list.",,"Jul 14, 2020",Confirmed,Not Available,
JESUS IS KING: The Dr. Dre Version,JESUS IS KING: The Dr. Dre Version,"OG Filename: - DR Album - 200714 AM
Album copy seen in a leaked selling list. 'AM' likely refers to 'Apple Music', which Kanye was using to store local file copies of projects in 2020. Could potentially be the copy below as it was intended to be uploaded to streaming services.",,"Jul 14, 2020",Confirmed,Not Available,
JESUS IS KING: The Dr. Dre Version,JESUS IS KING: The Dr. Dre Version,"Fully finished copy of JESUS IS KING: The Dr. Dre Version from mid July 2020. Has 10 tracks, with features from Anderson .Paak, Dr. Dre, Snoop Dogg, Eminem, Travis Scott, and more.",34:52,Jul 2020,OG File,High Quality,https://pillows.su/f/9b48bc6fc71750b9653e4a5a181e975e
,"DONDA [V1]
(DONDA: WITH CHILD, DND WTH CHLD, DND, God's Country, The First Born Donda)","(07/18/2020) (Kanye announces his new album titled DONDA) 
(03/07/2021) (CyHi confirms that Kanye has resumed work on the album)",,,"With new inspiration to work on an album dedicated to his mother, Kanye continued working on previous demos and new ideas. The music of this era reflects Donda's impact on Kanye in a colorful sound while reflecting his mania and the stress he was going through focusing on his businesses while also running for President. With multiple failed release dates for the album, Kanye went into silence in early 2021, finishing up tracks until the album morphed into something very different.",,
DONDA [V1],"Donda: With Child
(With Child Continous)","OG Filename: With Child_Continous 7.23.20
Copy of Donda: With Child from July 23rd, 2020. Rather than being a zip folder of files, this copy is actually one mp3. Contains many tracks considered throughout July 2020. The full tracklist is in the tracklists section.",1:02:59,"Jul 23, 2020",OG File,CD Quality,https://pillows.su/f/6ab3f25d7b784747be764f74a93f411f
DONDA [V1],DONDA,"OG FIlename: DONDA KWLP - 07.31.20
Version of Donda: With Child from July 31st, 2020. 13 tracks long, with ""Life Of The Party"" included in the zip as well.",38:58,"Jul 31, 2020",OG File,CD Quality,https://pillows.su/f/efcaefeac6adfa8302b4957780d0d8d1
DONDA [V1],Donda: With Child [Visual Album],"Album copy used for the Donda: With Child visual album. The visual album contains video footage promoting YZY Gap, footage of the scenery of the ranch as well as shots with Kanye himself. Audio rip also linked. Contains the following tracks:

1. Pray 4 Me
2. 12,000 Acres
3. Wolves
4. Follow The Light
5. Off The Grid
6. 24
7. Hurricane
8. Alien
9. Keep My Spirit Alive
10. God's Country
11. Future Sounds
12. I Know God Breathed On This
13. With Child
14. Crash Landing",34:29,"Aug 10, 2020",OG File,CD Quality,"https://pillows.su/f/46c9d288435820eb9837511d0eedd724
https://pillows.su/f/8cbeb5f2f0fdf5d0fa88819f90d4b329"
DONDA [V1],Donda,"OG Filename: Donda for Todd
Copy of Donda: With Child sent to Todd Rundgren on December 7th, 2020.",55:39,"Dec 7, 2020",OG File,CD Quality,https://pillows.su/f/68db3d900e8a7c58f727244b6709f2bd
DONDA [V1],Donda,Short copy of Donda from January 2021. Primarily features Ojivolta versions of songs with Justin Austin vocals.,21:40,Jan 2021,Full,CD Quality,https://pillows.su/f/cf681aba1c9bd79a965b4c12415cc47b
,Donda [V3],"(07/09/2021) (Malik Yusef posts about a change in sound direction for the album)
(08/29/2021) (Donda officially releases)
(11/15/2021) (Donda (Deluxe) officially releases)",,,"Almost a year after the initial announcement of Donda, a Beats by Dre ad revealed that a listening party would take place at the Mercedes-Benz Stadium in Atlanta. It happened, but the album didn't drop. Kanye moved into the stadium and lived there until the second listening event two weeks later. Once again, the album did not release. Ye later announced a third listening party at Soldier Field in Chicago, with the album coming the next day. It didn't. The album ended up releasing on August 29th, 2021 at 8AM EST, almost two days after the final listening party.",,
Donda [V3],Donda,"OG Filename: Archive
Leaked 2/25/24. Has songs as early as 2020 and as late as July 2021. From Pierre-Louis Auvrey.",45:05,Jul 2021,OG File,CD Quality,https://pillows.su/f/a3477576fa3aaa00873f950f6f43bf56
Donda [V3],Donda,"OG Filename: Album 10
Copy of the album from July 13th, 2021.",58:31,"Jul 13, 2021",OG File,CD Quality,https://pillows.su/f/9669bc61467ee0fe764026795bda1bd5
Donda [V3],Donda,"OG Filename: Album 11 Rev 1
OG Password: JamesDean
Another copy of the album from July 13th, 2021.",47:40,"Jul 13, 2021",OG File,CD Quality,https://pillows.su/f/29d2168eafdedc690df9c211473cfd6b
Donda [V3],Donda,"OG Filename: Whiteboard Playlist 210715
OG Password: 101520
Copy of the album from July 15th, 2021.",32:25,"Jul 15, 2021",OG File,CD Quality,https://pillows.su/f/93a898811b71b778c89059e060e33dbe
Donda [V3],Donda,"OG Filename: 03 July 13
Copy of the album from around July 16th, 2021. Labeled as from July 13th, but contains files from July 14th-16th.",57:33,"Jul 16, 2021",OG File,CD Quality,https://pillows.su/f/c44fa85b804308fb7799a54cb6ac7f63
Donda [V3],Donda,"OG Filename: Sequence 7 18 21
OG Password: 101520
Copy of the album from July 18th, 2021, identical to the copy above.",57:33,"Jul 18, 2021",OG File,CD Quality,https://pillows.su/f/e40384c6cd56fc030bd51bdf3c9dde82
Donda [V3],Donda,"OG Filename: Album 10 - playlist - 210719
OG Password: 101520
Copy of the album from July 19th, 2021.",1:27:35,"Jul 19, 2021",OG File,CD Quality,https://pillows.su/f/187b7c27e179d55516a13054aea1db55
Donda [V3],Donda,"OG Filename: Album 10 - 210721 update
OG Password: 101520
Copy of the album from July 21st, 2021.",37:36,"Jul 21, 2021",OG File,CD Quality,https://pillows.su/f/b921bbc065f466649aed7e463b522bb5
Donda [V3],Donda,"OG Filename: 07 Donda as of Sat July 24
Copy of the album from July 24th, 2021. Contains full MIKE DEAN mixes of the album, with identical and similar files to versions played at the LP1 listening party.",43:34,"Jul 24, 2021",OG File,CD Quality,https://pillows.su/f/2cfe74b335fa85478326488b49cc5fc5
Donda [V3],Donda,"OG Filename: 08 Donda as of Aug 19
Copy of the album from August 19th, 2021.",1:28:59,"Aug 19, 2021",OG File,CD Quality,https://pillows.su/f/4d71661a2675523ed6f3f2adf1a41436
Donda [V3],Donda,"OG Filename: 09 Donda as Aug 21
Copy of the album from August 21st, 2021.",1:28:19,"Aug 21, 2021",OG File,CD Quality,https://pillows.su/f/383cd2adb2ed551f4eb61a849147a2b3
Donda [V3],Donda,"OG Filename: 10 Donda as of Aug 23
Copy of the album from August 23rd, 2021.",1:35:38,"Aug 23, 2021",OG File,CD Quality,https://pillows.su/f/eb1d34dc935059d44a940facb039fbcb
Donda [V3],Donda,"OG Filename: 11 Donda as of Aug 25
Copy of the album from August 25th, 2021.",1:30:19,"Aug 25, 2021",OG File,CD Quality,https://pillows.su/f/6c50b73e2a8c328cb2e89282efa3e16a
,"Donda 2
(For The Children, Donda 2: 4 Da Kidz)","(11/15/2021) (Ye releases Donda (Deluxe))
(10/03/2022) (Ye wears the White Lives Matter shirt)",,,"Donda 2 was announced by Ye via Instagram, being executive produced by Future. Ye then proceeded to get into many significant controversies. He hosted a listening party for it in Miami, in which many of the tracks were unfinished. It was released on the Stem Player a few days later, but it was still incomplete. Months later, Ye got into even more controversies, making him get dropped by Adidas, buy the social media Parler, and lose his billionaire status following his proclaiming ""White Lives Matter"" at Yeezy Season 9.",,
Donda 2,Donda 2,"OG Filename: 2022 Hide away
Earliest known copy of Donda 2 from February 4, 2022. File metadata says files were copied/rebounced on February 15th. Includes a folder of ""PICKED"" songs.",1:35:15,"Feb 4, 2022",OG File,CD Quality,https://pillows.su/f/7bf656f3069c21d1524af9aed7013926
Donda 2,Donda 2,"OG Filename: - PICKED
""Picked"" songs from the above copy, about 10 songs were excluded.",50:35,"Feb 4, 2022",OG File,CD Quality,https://pillows.su/f/a547cfc2e121d4fae331ea01d6033a3e
Donda 2,"Donda 2
(prod. Beach House)","OG Filename: Beach House - All Versions of Songs
Copy with all Beach House versions of songs made on February 11th, 2026. Leaked February 18th, 2026.",,"Feb 11, 2022",OG File,CD Quality,https://imgur.gg/f/Gkz6OrB
Donda 2,Donda 2,"OG Filename: TRACKLIST 2022-02-13
Copy of Donda 2 from February 13th, 2022. Contains mostly Digital Nas and Beach House alts. Length includes all files. Tracklist meant for this copy of the album also included ""City of Gods"" and ""Wait 4 U"", though they're not included in this copy of the album.",1:11:24,"Feb 13, 2022",OG File,CD Quality,https://pillows.su/f/cc7762402dd23790a593e755e1e6aebc
Donda 2,"Donda 2
(prod. will.i.am)","OG Filename: YE.i.am
Folder with six songs containing alternate production from will.i.am.",,"Feb 19, 2022",OG File,CD Quality,https://imgur.gg/f/d1GQpJR
Donda 2,Donda 2,"Copy of Donda 2 put together via files found in a mass leak, so some extra possible files that might have been considered for this copy are in a folder inside the linked zip. Length does not include the extra possible files.",1:01:49,Feb 2022,OG File,CD Quality,https://pillows.su/f/71e8c9aa77a4a82866851fd63358dde3
Donda 2,Donda 2 (Album.08),"OG Filename: Donda 2 Tracklist (Album.08)
Album copy based off the handwritten February 18th tracklist, including ""Jesse"" as an extra track. Has a mixture of HQ, CDQ, and lossless files. Leaked February 18th, 2026.",,"Feb 18, 2022",OG File,CD Quality,https://imgur.gg/f/Ke6iJso
Donda 2,Donda 2 (Album.09),"OG Filename: Donda 2 Tracklist (Album.09)
Later copy based off the handwritten February 18th tracklist, now using later on versions of some songs. Has a mixture of HQ, CDQ, and lossless files. Leaked February 18th, 2026.",,"Feb 21, 2022",OG File,CD Quality,
Donda 2,Donda 2 (Album.09 New Writer References),"OG Filename: Donda 2 Tracklsit (Album.09) - New Refs
Copy with 4 writer's references meant to correlate with the mumble Album.09 versions (the file for ""Security"" is duplicated). Leaked February 18th, 2026.",,"Feb 21, 2022",OG File,CD Quality,https://imgur.gg/f/IlRclUg
Donda 2,Donda 2 (Album.02 Writer References),"OG Filename: Donda 2 Tracklist (Album.02 Writer References)
Copy of Donda 2 from around February 20th - February 22nd, 2022. Has a similar order to tracklists posted on Kanye's Instagram, and contains files reused for the pre-LP tracklist posted by Quavo.",1:16:15,Feb 2022,OG File,CD Quality,https://pillows.su/f/3ebe3ccb537066c71fd35b5d7e9b9bd9
Donda 2,"Donda 2
(prod. BoogzDaBeast)","OG Filename: Boogz - All Versions of Songs
Copy with every song BoogzDaBeast worked on. Confirmed to exist through a leaked folder that had all its files removed.",,,Confirmed,Not Available,
Donda 2,Donda 2: For The Children,"OG Filename: Mike Dean - All Versions of Songs
Copy made the day before Donda 2's intended release of 2/22/22. With the exception of ""Flowers"", every song has added production and/or mixing from MIKE DEAN. Snippet pack leaked November 8th, 2024, with the full copy leaking November 21st.",2:15:37,"Feb 21, 2022",OG File,CD Quality,https://pillows.su/f/dc9ed68f5906e07cfaaf2a9300f8a46c
Donda 2,Donda 2 (2.22.22 V1),"OG Filename: DONDA 2 - 2-22-22 V1
Earlier copy intended to be played at the Miami LP. Uses slightly earlier versions of ""Flowers"", ""Sci-Fi"", ""Security"", and ""Too Easy"" compared to the final setlist. Leaked February 18th, 2026.",,"Feb 22, 2022",OG File,CD Quality,
Donda 2,Donda 2 (2.22.22 V2),"OG Filename: DONDA 2 - 2-22-22 V2
Copy played at the Miami LP for Donda 2. Leaked February 18th, 2026.",,"Feb 22, 2022",OG File,CD Quality,
Donda 2,Donda 2 [Stem Player],"OG files for the most recent Donda 2 stem player copy except for the updated ""Flowers"" from late 2022. ""True Love"", the latest bounced song, is dated February 25th.",47:27,"Feb 25, 2022",OG File,Lossless,https://pillows.su/f/b28e958ee69e0da5facec1e2e3903fc8
Donda 2,Donda 2,"OG Filename: Donda 2 Tracklist - 2022-03-21
Copy of Donda 2 from March 21st, 2022. Very similar to the released Stem Player copy, with finished/updated versions of songs added as well as slight tracklist restructures.",55:17,"Mar 21, 2022",OG File,CD Quality,https://pillows.su/f/917a46edce33cf45b56af613ef334285
Donda 2,2022 GOOD Fridays,"OG Filename: GF Mixes from Mike Dean
In April 2022, Kanye planned to do another series of G.O.O.D. Fridays single releases. Songs considered for the release were ""True Love,"" ""530,"" ""We Did It Kid"", and ""Pablo,"" all mixed by MIKE DEAN.",11:12,"Apr 11, 2022",OG File,CD Quality,https://pillows.su/f/dbadb069730220294297fd138b1968db
,"WAR
(Collaboration with James Blake)
(Donda 3)","(04/01/2022) (The project is conceived)
(??/??/2023) (The album is scrapped)",,,"A collaborative project between Ye and James Blake. Sessions for the project began around April 2022. On his third Drink Champs interview, Ye referred to these sessions as work for ""their album"". Three songs from the project were played at a party featured on Naomi Campbell's Instagram, with the song ""What I Would Have Said At Virgil's Funeral"" being previewed in full at YZY Season 9 shortly thereafter. The project was presumably scrapped in the wake of Ye's numerous antisemitic comments.",,
WAR,WAR,"According to dondasvault, there is ""a copy of roughly 10 tracks + stems, freestyles and refs"". This album copy apparently has ""several finished songs"", however info from the seller is inconsistent.",,,Rumored,Not Available,"https://ibb.co/BnS1nnh
https://ibb.co/m6XN7nG"
WAR,WAR,October 2022 copy of WAR bought track-by-track in a series of charity fundraisers.,32:47, Oct 2022,Full,CD Quality,https://imgur.gg/f/icnPtB8
,"VULTURES 1
(Collaboration with Ty Dolla $ign as ¥$)
(Vultures)","(10/28/2023) (The name of the project is changed from BBPB to VULTURES 1)
(02/10/2024) (VULTURES 1 officially releases)",,,"After the album's name change from Bad Bitch Playbook Vol. 1 to VULTURES 1, four listening parties were scheduled between December 12th, 2023, and February 9h, 2024. In 2024, Ye announced that VULTURES would be a trilogy, with the first installment dropping on February 9th, followed by the second and third albums in March and April. VULTURES 1 would end up being released on February 10tth, the day after the final listening party.",,
VULTURES 1,"VULTURES
(prod. will.i.am)","According to Ty in an interview, a copy of VULTURES produced by will.i.am exists. Unknown what songs are present besides ""Everybody"" and ""So Good"".",,,Confirmed,Not Available,
VULTURES 1,Vultures Vol. 1,"Early version of Vultures. Leaked July 31st, 2024. The files fade out due to being the OG iTunes uploads that were placeholders. ""Unlock"" (""Talking"") and ""Drunk"" (""Forever Rollin'"") are just incorrent names.",39:25,"Dec 15, 2023",OG File,Lossless,"https://pixeldrain.com/u/zBxsRJZU
https://pillows.su/f/7bb922989576ea68e7b29f319daafaaf"
VULTURES 1,VULTURES VOL.1/2,"OG Filename: VULTURES VOL.1/2
Combined 39-track copy of songs from VULTURES 1 & 2. Folder posted to SHDØW's Instagram Story.",,"Dec 18, 2023",Confirmed,Not Available,https://ibb.co/rGQxNXW1
VULTURES 1,VULTURES 1,"Copy of VULTURES 1 sent through email after purchasing the digital download. Identical to the initial release except for the slightly different tagging, though some files have leftover metadata from when they were exported.",55:33,"Feb 10, 2024",OG File,Lossless,https://pixeldrain.com/u/URSZdNkS
VULTURES 1,VULTURES 1,"OG Filename: Vultures Mastering upload Revised
Post-release of VULTURES 1 with updated mixes from London on da Track. Leaked October 17th, 2024. Has file dates ranging from February 8th to February 12th.",56:00,"Feb 12, 2024",OG File,Lossless,https://pillows.su/f/218ad166342e8cbdbfc0dce5c4ce2d3b
VULTURES 1,VULTURES 1,"OG Filename: New Masters
Later copy with updated mixes from London on da Track. Leaked October 17th, 2024. Has new mixes for ""BACK TO ME"", ""BEG FORGIVENESS"", ""CARNIVAL"", ""HOODRAT"", ""KING"", and ""PAID"". Has file dates ranging from February 12th to March 3rd.",34:42,"Mar 3, 2024",OG File,Lossless,https://pillows.su/f/2ddc4d578d02c678ecf1a3ca06688d52
,"VULTURES 2
(Collaboration with Ty Dolla $ign as ¥$)
(Vultures Vol. 2)","(02/10/2024) (VULTURES 1 officially releases)
(08/03/2024) (VULTURES 2 officially releases)
(11/10/2024) (VULTURES 2 receives its last update)",,,"VULTURES 2 was announced alongside 2 other volumes of VULTURES, and was meant to release on March 8th, 2024, and then May 3rd, 2024. This album would've became the first release exclusive to the YZYAPP. The cover shows Ty Dolla $ign holding a portrait of his brother Big TC, who is currently in prison. After the album failed to drop on May 3rd, 2024, the direction of the project completely shifted, and was to be censored. The album failed to drop August 2nd and then dropped August 3rd with questionable mixing/songs.",,
VULTURES 2,VULTURES 2,"Phoenix LP copy for VULTURES 2. Was missing track 4, which is ""PAY PER VIEW"". Leaked October 21st, 2024, with ""PAY PER VIEW"" later leaking November 3rd, 2024.",23:22,"Mar 10, 2024",OG File,Lossless,https://pillows.su/f/736944f30f968451097710cd94892623
VULTURES 2,VULTURES 2,Wes Singerman & taydex Copy of VULTURES 2.,,,Confirmed,Not Available,
VULTURES 2,VULTURES 2 [Release V1],Release day one copy of VULTURES 2. Terrible excuse for an album.,51:13,"Aug 3, 2024",Full,Lossless,https://pillows.su/f/9a50e801b9811c67eeb6e64b9f0bc990
VULTURES 2,VULTURES 2 [Release V1.1],"Has some mixing changes to a couple songs and a name change for ""MAYBE"" to now be ""FOREVER"", it is also shorter. ""SKY CITY"" also has a new mix and less AI isolated drums / Ty vocals. ""FRIED"" & ""FIELD TRIP"" now also have new mixes. Full changelog here.",50:26,"Aug 4, 2024",Full,Lossless,https://pillows.su/f/1b872976de1807b1efa5ea832ff858a9
VULTURES 2,VULTURES 2 [Release V1.2],"""530"" now is CDQ and has a new mix with chimpunk vocals on the beatswitch. ""RIVER"" now also has the cash sound effect removed, Pierre drums again at Thug's part and a new mix. ""FRIED"" also has new unmixed adlibs. ""FIELD TRIP"" has a new mix and so does ""DEAD"". ""SKY CITY"" also has the AI vocals mixed better with better reverb and delay. Full changelog here.",50:25,"Aug 5, 2024",Full,Lossless,https://pillows.su/f/c52fbf12c698d0b7375ea9f37232640c
VULTURES 2,VULTURES 2 [Release V1.3],"Has changes to ""DEAD"" and ""FRIED"".",50:25,"Aug 5, 2024",Full,Lossless,https://pillows.su/f/ad77a706571fe1a0af3cd25f423883a0
VULTURES 2,VULTURES 2 [Release V1.4],"Changes ""MY SOUL"" and ""FRIED"". Full changelog here.",50:19,"Aug 6, 2024",Full,Lossless,https://pillows.su/f/38b486dc7c1457628c74a89b50c14aec
VULTURES 2,VULTURES 2 [Release V1.5],"""MY SOUL"" has a rearranged order of verses, vocals are no longer panned to the left and production is different on outro.",50:19,"Aug 6, 2024",Full,Lossless,https://pillows.su/f/17f2aa6158a0bf25e06721a511eb06f7
VULTURES 2,VULTURES 2 [Release V1.6],"Part of the VULTURES 2 DIGITAL DELUXE 1. Adds ""TAKE OFF YOUR DRESS"" as Track 17.",53:45,"Aug 7, 2024",Full,Lossless,https://pillows.su/f/0fab4228fa5de340dd11af8cf05a19aa
VULTURES 2,VULTURES 2 [Release V1.7],"Clean version with mix updates for every song apart from ""BOMB"" and a new tracklist order. Also removes ""HUSBAND"" and ""ISABELLA"" off of ""LIFESTYLE"".",48:44,"Aug 8, 2024",Full,Lossless,https://pillows.su/f/15009c62f240f9ff6bdc04a754d12f6a
VULTURES 2,VULTURES 2 [Release V1.8.1],"Part of the VULTURES 2 DIGITAL DELUXE 2. Adds ""BELIEVER"" as Track 17.",53:32,"Aug 8, 2024",Full,Lossless,https://pillows.su/f/6e688041cbced2b14c7129da5f2c3c93
VULTURES 2,VULTURES 2 [Release V1.8.2],"Part of the VULTURES 2 DIGITAL DELUXE 3. Adds ""DRUNK"" as Track 17.",53:29,"Aug 8, 2024",Full,Lossless,https://pillows.su/f/152b63e7b3816a356e522beecfc651a1
VULTURES 2,VULTURES 2 [Release V1.8.3],"Part of the VULTURES 2 DIGITAL DELUXE 4. Adds ""GUN TO MY HEAD"" as Track 17.",52:35,"Aug 8, 2024",Full,Lossless,https://pillows.su/f/b5a3315dfffc1507fa9f7b7d0f6d24e9
VULTURES 2,VULTURES 2 [Release V1.8.4],"Part of the VULTURES 2 DIGITAL DELUXE 5. Adds ""CAN U BE"" as Track 17.",53:46,"Aug 9, 2024",Full,Lossless,https://pillows.su/f/a5c0242d921caa420c0b3ece4d827eae
VULTURES 2,VULTURES 2 [Release V1.9],"Part of the VULTURES 2 DIGITAL DELUXE 5. Adds an updated ""CAN U BE"" with an updated mix, alternate Ty$ lyrics, and new AI Kanye vocals that replace most of the Ty$ near the end of the song. Track 17.",53:46,"Aug 9, 2024",Full,Lossless,https://pillows.su/f/a3e784a1bbfc1e3067a035b73c8f6c55
VULTURES 2,VULTURES 2 [Release V1.10],"Tracklist updated to match V1.7, however still has the old versions without the newest mixes. ""LIFESTYLE"" is still unfixed and has ""HUSBAND"" and ""ISABELLA"".",50:07,"Aug 9, 2024",Full,Lossless,https://pillows.su/f/5740c4cbbc347fe1b05b1f8548f2dd4c
VULTURES 2,VULTURES 2 [Release V1.11],"Has updated mixes by IRKO and the fixes from V1.7. ""FOREVER"" now has AI Kanye vocals.",49:49,"Aug 16, 2024",Full,Lossless,https://pillows.su/f/35756e900b8853c5ca3d6f9e01cd91e3
VULTURES 2,VULTURES 2 [Release V1.12],"YouTube Music version of the Deluxe. ""RIVER"" and ""MY SOUL"" are shorter, and ""FIELD TRIP"" has more on time Carti vocals. Also has some of the deluxe tracks.",58:11,"Oct 16, 2024",Full,CD Quality,https://pillows.su/f/869a121b08228e605e845e2705cd888c
VULTURES 2,VULTURES 2 [Release V2.0],"This is the current version on streaming, for both clean and explicit.

""TIME MOVING SLOW"" - Cruza drums removed
""FIELD TRIP"" - Playboi Carti verse is now on beat
""530"" - Mumble replaced with an AI verse and Ty punch-ins.
""BOMB"" - Yuno Miles feature added
""RIVER"" - Outro shortened
""MY SOUL"" - Slight mix changes

[Huge shoutouts to ben3759 and son! for helping with all these archived versions]",49:02,"Nov 11, 2024",Full,Lossless,https://open.spotify.com/album/5RV2TNyjylqWJNxQyHBTeJ?si=CtVZjxcTTlO6SnRDkGAvmg
,BULLY [V1],"(11/??/2023) (YEBU is shelved in favor of Vultures)
(03/18/2025) (Ye leaks the BULLY visual albums and says he will record over the AI)",,,"On September 3rd, 2024, the CEO of Channel Candy, Ye's new touring company, confirmed that work on a new solo Ye album had began after the South Korea Vultures listening experience. On September 28th, 2024, on the second Haikou listening event, Ye confirmed that the album name is Bully, which references the movie with the same name that he posted on his Instagram story a few days prior to the event. On January 2nd, 2025, Ye announced the album would have AI on it after months of speculation, and that it could help AI become used more in music. After the release of Bully V1, Ye confirms his intention to re-record the AI on Bully, and stated it was being mixed.",,
BULLY [V1],BULLY,"October copy of the album. Has alternate reference tracks. The only real vocals–excluding those used on other copies–are an unused hook for ""Can't Hurry Love"".",20:25,"Oct 18, 2024",OG File,CD Quality,https://pillows.su/f/dbe0a5c3b9e9cc88d419e3a634bacd3e
BULLY [V1],BULLY,November copy of the album.,21:47,"Nov 12, 2024",Full,CD Quality,https://pillows.su/f/7c7dc3b681d278723b96b26087527fea
