Era,Name,Notes,Track Length,Release Date,Type,Streaming,Link(s)
Endless,"Rushes
(prod. Frank Ocean & SebastiAn)","Track 18 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",3:26,"Aug 19, 2016",Album Track,No,https://pillows.su/f/da52c9ff40def30217d8d071920c516c
Endless,"Rushes To
(prod. Frank Ocean, TROY NōKA, Vegyn & Michael Uzowuru)","Track 19 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",2:11,"Aug 19, 2016",Album Track,No,https://pillows.su/f/af6949ebda400ea1c3772383a1aad2f9
Endless,"Higgs
(prod. Frank Ocean & SebastiAn)","Track 20 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016.",3:39,"Aug 19, 2016",Album Track,No,https://pillows.su/f/1894bd4c090b3683bf22734311eac7d22
Endless,Mitsubishi Sony,"Track 21 from Frank Ocean's album ""Endless (Visual)"". Released on August 19th, 2016. The outro is absent.",2:11,"Aug 19, 2016",Album Track,No,https://pillows.su/f/c0efc3aff0be92dc7362c078ebcfa03e
Endless,"Wolfgang Tillmans - Device Control (Reprise)
(prod. Wolfgang Tillmans, Tim Knapp & Kyle Combs)","Track 22 from Frank Ocean's album ""Endless (Visual)."" Released on August 19th, 2016. It plays during the end credits on the visual version.",7:06,"Aug 19, 2016",Album Track,No,https://pillows.su/f/0774a68b2d17dc6354cea082ef1c528f
Endless,Endless (Visual Album) [2017 Cyber Monday Release DVD Copy],"Full ALAC 48Khz/16BIT DVD Version rip of Frank Ocean's ""Endless (Visual)."" Video was uploaded onto Apple iTunes right after the livestream ended. Visual mastered is only exclusive on VHS, DVD and Apple Music currently.",45:52,"Aug 19, 2016",Album,Limited,"https://music.apple.com/us/music-video/endless/1143705097
https://pillows.su/f/232bcedd9918a52b820db7fdeebc2e96"
,Album Tracks
Endless,"At Your Best (You Are Love)
(prod. Frank Ocean)
(You Are Luhh)","Track 1 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",5:20,"Nov 27, 2017",Album Track,No,https://pillows.su/f/648e15a5e607785c6d8c7e5ace91d7a3 <https://pillows.su/f/583006df1fdb34d4233bdee4e25aee6d>
Endless,"Alabama
(prod. Frank Ocean)","Track 2 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",1:24,"Nov 27, 2017",Album Track,No,https://pillows.su/f/8384bf0c692069824bb9db955ade721d
Endless,"Mine
(prod. Arca & Frank Ocean)","Track 3 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",0:32,"Nov 27, 2017",Album Track,No,https://pillows.su/f/2a7e929bf0fdd2c13a71b217fb449775
Endless,"Unity
(prod. Stwo, Ging & Frank Ocean)
(U-N-I-T-Y)","Track 4 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",2:54,"Nov 27, 2017",Album Track,No,https://pillows.su/f/de4f14e9390006f9f820156f8ff57d47
Endless,"A Certain Way (Ambience 001)
(prod. Arca & Frank Ocean)","Track 5 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",0:11,"Nov 27, 2017",Album Track,No,https://pillows.su/f/ff34392f1bf16ea71b4494af51c5e2e7
Endless,"Comme Des Garçons
(prod. Frank Ocean, TROY NōKA & Vegyn)","Track 6 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",0:58,"Nov 27, 2017",Album Track,No,https://pillows.su/f/eed82a7298805f6aa554685f06c7f120
Endless,"Xenons
(prod. Frank Ocean & Vegyn)","Track 7 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",0:31,"Nov 27, 2017",Album Track,No,https://pillows.su/f/5173436eaf2becd8c9fe4e871d7c7c7b
Endless,"Honeybaby (Ambience 002)
(feat. Gal Costa) (prod. Frank Ocean)","Track 8 from Frank Ocean's album ""Endless."" Features Gal Costa. Released on November 27th, 2017.",0:09,"Nov 27, 2017",Album Track,No,https://pillows.su/f/31bd339b195e111808bd0c8f7095d260
Endless,"Wither
(feat. Jazmine Sullivan) (prod. Frank Ocean)","Track 9 from Frank Ocean's album ""Endless."" Features Jazmine Sullivan. Released on November 27th, 2017.",2:33,"Nov 27, 2017",Album Track,No,https://pillows.su/f/f2ebe29618f078425d3e78a16cc00bc8
Endless,"Hublots
(feat. Jazmine Sullivan & Lil Flip) (prod. 88-Keys & Frank Ocean)","Track 10 from Frank Ocean's album ""Endless."" Features Jazmine Sullivan and Lil Fip. Released on November 27th, 2017.",1:48,"Nov 27, 2017",Album Track,No,https://pillows.su/f/e8cccc069aabda0027d54c54ade3dd5f
Endless,"In Here Somewhere
(prod. Frank Ocean, TROY NōKA & Vegyn)","Track 11 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",1:44,"Nov 27, 2017",Album Track,No,https://pillows.su/f/7a96da6ad59696d786d51958370afc86
Endless,"Slide On Me
(prod. Frank Ocean, Vegyn & SebastiAn)","Track 12 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",3:06,"Nov 27, 2017",Album Track,No,https://pillows.su/f/305f53a4af8488e73d0f50de6c378174
Endless,"Sideways
(prod. Frank Ocean, Nolife & Vegyn)","Track 13 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",1:53,"Nov 27, 2017",Album Track,No,https://pillows.su/f/1f1e4266eb803cb11806b721575635c6
Endless,"Florida
(prod. Frank Ocean)","Track 14 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",1:15,"Nov 27, 2017",Album Track,No,https://pillows.su/f/f3c822f3f510775f8b1dee721e617daf
Endless,"Impietas + Deathwish (ASR)
(prod. Frank Ocean, TROY NōKA & Vegyn)","Track 15 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",1:55,"Nov 27, 2017",Album Track,No,https://pillows.su/f/45e120d3c330c059b3f43628299af473
Endless,"Rushes
(prod. Frank Ocean & SebastiAn)","Track 16 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",3:25,"Nov 27, 2017",Album Track,No,https://pillows.su/f/4ebd61933f5593f30028b3cf06eec51c
Endless,"Rushes To
(prod. Frank Ocean, TROY NōKA, Vegyn & Michael Uzowuru)","Track 17 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",2:12,"Nov 27, 2017",Album Track,No,https://pillows.su/f/e7ac3de2ea50770b4e6f5ea51e3767ff
Endless,"Higgs
(prod. Frank Ocean & SebastiAn)","Track 18 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",3:38,"Nov 27, 2017",Album Track,No,https://pillows.su/f/947859ddcf91c88c5dec9e12bccda39e
Endless,"Mitsubishi Sony
(prod. Frank Ocean & Vegyn)","Track 19 from Frank Ocean's album ""Endless."" Released on November 27th, 2017.",2:50,"Nov 27, 2017",Album Track,No,https://pillows.su/f/dbb3117fadf9efd122d6fe8f2ae33b0c
Endless,Endless (Album) [2017 Cyber Monday Release CD Copy],"Full FLAC 44Khz/16BIT CD version rip of Frank Ocean's ""Endless."" Contains a different master. More polished.",39:58,"Apr 10, 2018",Album,No,https://pillows.su/f/232bcedd9918a52b820db7fdeebc2e96
Endless,Endless (Album) [2017 Cyber Monday Release Vinyl Copy],"Full FLAC 48Khz/24BIT vinyl version rip of Frank Ocean's ""Endless."" Contains a different master. More polished.",40:31,"Apr 10, 2018",Album,No,https://pillows.su/f/f8c08364cf6e3145c597d1bb08299840
"20 Album Tracks
0 Singles
15 Features
0 Productions
0 Removed
0 Remixes
0 Other","blonde
(blond, Boys Don't Cry)","(July 10th, 2012) Channel Orange is released.
(August 19th, 2016) Endless is released.
(August 20th, 2016) blonde is released.",,"In 2013, Ocean confirmed that his follow up to Channel Orange would be another concept album. Initially known as Boys Don't Cry and teased for a July 2015 release, the album suffered several delays and was the subject of widespread media anticipation leading up to its release. Beginning in 2013 and ending in 2016, recording for the album took place at New York's Electric Lady Studios and, after a period of writer's block, in London at Abbey Road Studios and in Los Angeles' Henson Recording Studios."
,Album Tracks
blonde,"Nikes
(prod. Malay, Om’Mas Keith & Frank Ocean)","Track 1 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",5:14,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/19YKaevk2bce4odJkP5L22?si=b61b01d043fc4f5d
blonde,"Ivy
(prod. Om’Mas Keith, Frank Ocean & Rostam)","Track 2 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",4:09,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/2ZWlPOoWh0626oTaHrnl2a?si=5b9f3248c74b406d
blonde,"Pink + White
(prod. Frank Ocean & Pharrell Williams)","Track 3 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016. Features additional vocals from Beyoncé.",3:05,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/3xKsf9qdS1CyvXSMEid6g8?si=5202c9cf196c460e
blonde,"Be Yourself
(prod. Buddy Ross)","Track 4 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",1:27,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/1IdZvb2XK8NmsovQlV6CPn?si=c19b74f4156e4817
blonde,"Solo
(feat. Jazmine Sullivan) (prod. James Blake & Frank Ocean)","Track 5 from Frank Ocean's album ""Blonde."" Features Jazmine Sullivan as the backing vocals, she's not credited. Released on August 20th, 2016.",4:17,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/35xSkNIXi504fcEwz9USRB?si=a0f184ad7bb14ed2
blonde,"Skyline To
(prod. Tyler, The Creator, Om’Mas Keith, Malay & Frank Ocean)","Track 6 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",3:05,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/4xR3MAscflQ262kMeiKshQ?si=29ab248ac7014a27
blonde,"Self Control
(prod. Malay, Jon Brion, Frank Ocean & The Influence)","Track 7 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",4:10,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/5GUYJTQap5F3RDQiCOJhrS?si=e550da46328f4412
blonde,"Good Guy
(prod. Frank Ocean & Buddy Ross)","Track 8 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",1:07,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/2JUqYobT8NvARdPmc4ES2x?si=2afb935f0e9c41fd
blonde,"Nights
(prod. Frank Ocean, Vegyn, Michael Uzowuru & Buddy Ross)","Track 9 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",5:07,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/7eqoqGkKwgOaWNNHx90uEZ?si=f9307dca58d14dcb
blonde,"Solo (Reprise)
(prod. Jon Brion, Frank Ocean & MIKE DEAN)","Track 10 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",1:19,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/2qtoRFCOEL1gRn5q9DJC7F?si=e8a058a232ab472d
blonde,"Pretty Sweet
(prod. Om’Mas Keith, Malay & Frank Ocean)","Track 11 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",2:38,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/17yrCsl1Ai6CZLBmGj6d6p?si=9b0b36eff0074037
blonde,"Facebook Story
(prod. Buddy Ross)","Track 12 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",1:09,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/73D5hBkiVZkopZrmBZTBWf?si=b532d467ca994e26
blonde,"Close To You
(prod. Francis and the Lights, Frank Ocean & Buddy Ross)","Track 13 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",1:26,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/1VZLEW5ZfcAbKZ94XQiSZF?si=ebae92d273b343f6
blonde,"White Ferrari
(prod. Om’Mas Keith, Jon Brion, Frank Ocean & The Influence)","Track 14 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",4:09,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/2LMkwUfqC6S6s6qDVlEuzV?si=c9a66b445c42432b
blonde,"Seigfried
(prod. Malay & Frank Ocean)","Track 15 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",5:35,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/1BViPjTT585XAhkUUrkts0?si=abdedce4d39b419f
blonde,"Godspeed
(prod. Om’Mas Keith, Malay, James Blake & Frank Ocean)","Track 16 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",2:58,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/34xTFwjPQ1dC6uJmleno7x?si=15cc0a8609c14bc4
blonde,"Futura Free
(prod. Om’Mas Keith, Malay, Buddy Ross & Frank Ocean)","Track 17 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016.",9:24,"Aug 20, 2016",Album Track,Yes,https://open.spotify.com/track/5k8LB57xOq8UUNVaKWSqrf?si=da4fa46f05f34d2e
blonde,"Nikes [CD Version]
(feat. KOHH) (prod. Malay, Om’Mas Keith & Frank Ocean)","Track 1 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016. CD version featuring Japanese rapper KOHH. A lossless version does not exist due to the CD not being a traditional Audio CD and was instead a CD-R with MP3 files.",6:09,"Aug 20, 2016",Album Track,No,https://pillows.su/f/6ebf7ad1d340ab5dac2970d8c70c7a72
blonde,"Pretty Sweet [CD Version]
(prod. Om’Mas Keith, Malay & Frank Ocean)","Track 11 from Frank Ocean's album ""Blonde."" Released on August 20th, 2016. CD version featuring alternate intro. A lossless version does not exist due to the CD not being a traditional Audio CD and was instead a CD-R with MP3 files.",2:38,"Aug 20, 2016",Album Track,No,https://pillows.su/f/23dee6fff643e0813fc79b43de3a77ab
blonde,blonde [2022 Reissue Vinyl Copy],"A copy of blonde 2022 vinyl. It was re-released on vinyl on December 17th, 2022. Contains a different master.",1:00:15,"Dec 17, 2022",Album Track,No,https://pillows.su/f/99c73fee8f0d4dada208ee24087cb530
,Features
blonde,"MellowHype - Astro
(feat. Frank Ocean) (prod. MellowHype)","Song by MellowHype on his album ""Numbers."" Released October 9th, 2012. Features Frank Ocean.",4:20,"Oct 9, 2012",Feature,Yes,https://open.spotify.com/track/6cl9b8FcmiCo1Bxf5cvHbI?si=2c1fd65fac0848f5
blonde,"Alicia Keys - One Thing
(prod. Malay)","Song by Alicia Keys on her album ""Girl on Fire."" Released November 12th, 2012. Has writing credits by Frank Ocean, likely fully written by Frank due to the producer being common Frank collaborator, Malay.",4:08,"Nov 12, 2012",Feature,Yes,https://open.spotify.com/track/5oBaKT5xC8Qjr1E5xIGQGa?si=fa1e3665f2f443b0
blonde,"Tyler, The Creator - Awkward
(prod. Tyler, The Creator)","Song by Tyler, The Creator on his album ""Wolf."" Released April 1st, 2013. Features uncredited vocals from Frank Ocean.",3:47,"Apr 1, 2013",Feature,Yes,https://open.spotify.com/track/6c7l5gpEyCNGr86jsWneGy?si=b8e40e0f0f844611
blonde,"Tyler, The Creator - Slater
(feat. Frank Ocean) (prod. Tyler, The Creator)","Song by Tyler, The Creator on his album ""Wolf."" Released April 1st, 2013. Features Frank Ocean.",3:53,"Apr 1, 2013",Feature,Yes,https://open.spotify.com/track/5wTpnBRTx1HSGQVDZQ2VSh?si=e2fcec22c98f4ff6
blonde,"Tyler, The Creator - 48
(prod. Tyler, The Creator)","Song by Tyler, The Creator on his album ""Wolf."" Released April 1st, 2013. Features uncredited vocals from Frank Ocean.",4:07,"Apr 1, 2013",Feature,Yes,https://open.spotify.com/track/2wK7y55bzry7tUDmDqYaz7?si=99915bff15fb4014
blonde,"Tyler, The Creator - Partyisntover / Campfire / Bimmer
(feat. Frank Ocean & Lætitia Sadier) (prod. Tyler, The Creator)","Song by Tyler, The Creator on his album ""Wolf."" Released April 1st, 2013. Features Frank Ocean.",7:18,"Apr 1, 2013",Feature,Yes,https://open.spotify.com/track/04QTBqa3IA4ZAKEuqRPzEH?si=ad887d34276749af
blonde,"Mann - Bend Ya
(feat. Frank Ocean & Kendrick Lamar) (prod. Fingazz)","Song by Mann on his album ""FreshMann On Varsity"" featuring Frank Ocean and Kendrick Lamar. Released May 17th, 2013. At the time, speculated whether or not it was real due to Mann being completely unkown, but confirmed to be real by Kendrick on his Twitter.",3:46,"May 17, 2013",Feature,Yes,https://open.spotify.com/track/4FItdNoOT2CpVhSJy87hTz?si=d295c9473a0e4652
blonde,"Kanye West - New Slaves
(feat. Frank Ocean) (prod. Kanye West, Noah Goldstein, MIKE DEAN, Hudson Mohawke, Travis Scott, Che Pope, Sham Joseph, Arca & Teachers)","Song by Kanye West on his album ""Yeezus."" Released June 28th, 2013. Features Frank Ocean.",4:16,"Jun 28, 2013",Feature,Yes,https://open.spotify.com/track/4cAgkb0ifwn0FSHGXnr4F6?si=20b404ac25804d8b
blonde,"JAŸ-Z - Oceans
(feat. Frank Ocean) (prod. Pharrell Williams)","Song by JAŸ-Z on his album ""Magna Carta... Holy Grail."" Released July 4th, 2013. Features Frank Ocean.",3:57,"Jul 4, 2013",Feature,Yes,https://open.spotify.com/track/3VeW0pO2pae144rAX2oXPP?si=a30dcd547d8348c1
blonde,"Earl Sweatshirt - Sunday
(feat. Frank Ocean) (prod. RandomBlackDude & Frank Ocean)","Song by Earl Sweatshirt on his album ""Doris."" Released August 16th, 2013. Features Frank Ocean.",3:25,"Aug 16, 2013",Feature,Yes,https://open.spotify.com/track/0fAehaneUJdlSlWXYe1KZp?si=5073954f130b46dc
blonde,"Earl Sweatshirt - Hoarse
(feat. Frank Ocean) (prod. RandomBlackDude & Frank Ocean)","Song by Earl Sweatshirt on his album ""Doris."" Released August 16th, 2013. Frank Ocean is not credited on this track.",3:52,"Aug 16, 2013",Feature,Yes,https://open.spotify.com/track/49aTv96mDjvlDb74XvVSc9?si=a6b6531a670c4e21
blonde,"John Mayer - Wildfire
(feat. Frank Ocean) (prod. Frank Ocean & John Mayer)","Song by John Mayer on his album ""Paradise Valley."" Released August 20th, 2013. Features Frank Ocean.",1:27,"Aug 20, 2013",Feature,Yes,https://open.spotify.com/track/4wOYt5nULk1Cu8pwJWk26m?si=5bfe3177dc374303
blonde,"Beyoncé - Superpower
(feat. Frank Ocean) (prod. Pharrell Williams)","Song by Beyoncé on her self-titled album ""BEYONCÉ."" Produced by Pharrell Williams. Released December 13th, 2013. Features Frank Ocean.",4:36,"Dec 13, 2013",Feature,Yes,https://open.spotify.com/track/49sXkAcR5LvOrtq5Qcn5cf?si=deee037e258a49de
blonde,"Hero
(feat. Mick Jones, Paul Simonon & Diplo) (prod. Diplo)","Single released by Frank Ocean on March 10th, 2014, features Mick Jones, Paul Simonon, Diplo & the West Los Angeles Children’s Choir (uncredited).",2:45,"Mar 10, 2014",Feature,Yes,https://open.spotify.com/track/4hKGICUB890arImAdWRaHQ?si=49a02cba81494315
blonde,"Kanye West - Frank's Track
(feat. Frank Ocean) (prod. Kanye West, Kevin Smith, Robert Bisel, Ricardo Kim, Cashmere Cat & Sinjin Hawke)","Song by Kanye West on his album ""The Life Of Pablo."" Released on March 13th, 2016. Was originally combined with ""Wolves"" on original mixes of the album but was later split into its own song.",0:38,"Mar 13, 2016",Feature,Yes,https://open.spotify.com/track/20r94xA0bsYNLtYSiOE6r3?si=81e6b1708b844ac4
"0 Album Tracks
6 Singles
8 Features
0 Productions
0 Removed
1 Remixes
0 Other",blonded radio,"(August 20th, 2016) blonde is released.
(Feburary 14th, 2018) Last loosie single is released.",,"After the release of Blonde, Frank decided to host a radio show, where he would show off his and other's music. In the first run of Blonded Radio, the first episode aired February 2017, and the last in May 2017. No other episodes aired until GTA 5 added the radio station, ""blonded Los Santos 97.8 FM."" This was mainly a playlist of music and showed off no new tracks. On November 6, 2018, 3 episodes aired encouraging viewers to vote during the midterm elections. This would be the last of Blonded Radio until the rollout of Frank's next project."
,Single Tracks
blonded radio,"Chanel
(prod. Michael Uzowuru, Jake Oh, Ging, Rami Dawod & Frank Ocean)","Single released by Frank Ocean on March 10th, 2017.",3:30,"Mar 1, 2017",Single,Yes,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh?si=68839dc9573041cd
blonded radio,"Biking
(feat. JAŸ-Z & Tyler, The Creator) (prod. Caleb Laven, Jarami & Ging)","Single released by Frank Ocean on April 7th, 2017. Featuring JAŸ-Z & Tyler, The Creator.",4:37,"Apr 1, 2017",Single,Yes,https://open.spotify.com/track/2q0VexHJirnUPnEOhr2DxK?si=705e9da2d3bf412a
blonded radio,"Lens
(prod. Vegyn, MIKE DEAN, Jarami, Caleb Laven & Ging)","Single released by Frank Ocean on April 22nd, 2017.",3:47,"Apr 1, 2017",Single,Yes,https://open.spotify.com/track/371H6HjS4SXGbQ9IVfFUIL?si=26dc019d35a04608
blonded radio,"Biking (Solo)
(prod. Caleb Laven, Jarami & Ging)","Single released by Frank Ocean on May 17th, 2017.",3:32,"May 1, 2017",Single,Yes,https://open.spotify.com/track/6gtNiLJNLBcV0P6Juenstp?si=85679bd244f1489e
blonded radio,"Provider
(prod. Jarami, Caleb Laven & Vegyn)","Single released by Frank Ocean on August 27th, 2017.",4:03,"Aug 1, 2017",Single,Yes,https://open.spotify.com/track/6R6ihJhRbgu7JxJKIbW57w?si=375abcc9d56242a9
blonded radio,"Moon River
(prod. Frank Ocean & Buddy Ross)","Single released by Frank Ocean on February 14th, 2018.",3:08,"Feb 1, 2018",Single,Yes,https://open.spotify.com/track/41cpvQ2GyGb2BRdIRSsTqK?si=2c335465d7e44f1d
blonded radio,"Nights (Sango Remix)
(prod. Sango, Frank Ocean, Vegyn, Michael Uzowuru & Buddy Ross)","Sángo published his remix of Frank Ocean’s “Nights” via SoundCloud on May 13th, 2018, and later premiered the mix at Ocean’s PrEP+ nightlife event in New York City on October 17th, 2019, and on episode 008 of blonded RADIO on October 20th, 2019. Originally titled “Nightz (Sango Bounced It),” the track premiered on blonded RADIO as “Nights (Sango Remix).”",2:10,"May 13, 2018",Remix,No,https://pillows.su/f/f4e9fea6c686cb4cd8abf83617e1e744
,Features
blonded radio,"Calvin Harris - Slide
(feat. Frank Ocean & Migos) (prod. Calvin Harris)","Song by Calvin Harris on his album ""Funk Wav Bounces Vol.1."" Released February 23rd, 2017. Features Frank Ocean & Migos.",3:50,"Feb 23, 2017",Feature,Yes,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk?si=ed6fa4eaa3bb4137
blonded radio,"A$AP Mob - RAF
(feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean) (prod. Dun Deal)","Song released by A$AP Mob on their album ""Cozy Tapes Vol. 2: Too Cozy."" Released May 15th, 2017. Features A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean.",4:15,"May 15, 2017",Feature,Yes,https://open.spotify.com/track/6kl1qtQXQsFiIWRBK24Cfp?si=7f88d41e2acd43ff
blonded radio,"JAŸ-Z - Caught Their Eyes
(feat. Frank Ocean) (prod. No I.D.)","Song by JAŸ-Z on his album ""4:44."" Released June 30th, 2017. Features Frank Ocean.",3:26,"Jun 30, 2017",Feature,Yes,https://open.spotify.com/track/71oM9w2BbJxzTpxzWIE0lw?si=e625d4c364b64ff2
blonded radio,"Tyler, The Creator - Where This Flower Blooms
(feat. Frank Ocean) (prod. Tyler, The Creator)","Song by Tyler, The Creator on his album ""Flower Boy."" Released July 21st, 2017. Features Frank Ocean.",3:14,"Jul 21, 2017",Feature,Yes,https://open.spotify.com/track/6KuXb26rHuRy3ZDse1VRmx?si=5e7d791f1da447e7
blonded radio,"Tyler, The Creator - 911 / Mr. Lonely
(feat. Frank Ocean & Steve Lacy) (prod. Tyler, The Creator)","Song by Tyler, The Creator on his album ""Flower Boy."" Released July 21st, 2017. Features Frank Ocean and Steve Lacy.",4:15,"Jul 21, 2017",Feature,Yes,https://open.spotify.com/track/4bEcoz1OcfMgUbp2ft8ieQ?si=1082da2d302e46cc
blonded radio,"A$AP Rocky - Purity
(feat. Frank Ocean) (prod. FNZ, Dean Blunt, A$AP Rocky & Hector Delgado)","Song by A$AP Rocky on his album ""TESTING."" Released May 25th, 2018. Features Frank Ocean.",4:22,"May 25, 2018",Feature,Yes,https://open.spotify.com/track/2MF4HtZHBoUliOi9nOAbS0?si=e93800213cc3494f
blonded radio,"A$AP Rocky - Brotha Man
(feat. French Montana) (prod. D’Town Tha Great, Hector Delgado, Rico Love & A$AP Rocky)","Song by A$AP Rocky on his album ""TESTING."" Released May 25th, 2018. Features French Montana and has background vocals by Snoop Dogg and Frank Ocean.",3:36,"May 25, 2018",Feature,Yes,https://open.spotify.com/track/6MmtDonkpvSoRx9ACwrGDu?si=a8fba840674c44f5
blonded radio,"Travis Scott - CAROUSEL
(feat. Frank Ocean) (prod. MIKE DEAN, Rogét Chahayed & Hit-Boy)","Song by Travis Scott on his album ""ASTROWORLD."" Released August 3rd, 2018. Features Frank Ocean.",3:00,"Aug 3, 2018",Feature,Yes,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI?si=9c4226d63ba44d99
"0 Album Tracks
4 Singles
1 Features
0 Productions
0 Removed
4 Remixes
0 Other","Look At Us, We're In Love
(PACO, PrEP+)","(Feburary 14th, 2018) Last loosie single is released
(Feburary 8th, 2020) Ryan Breaux passes away",,"""Look At Us, We're In Love"" was an unreleased, house-and-techno-inspired Frank Ocean project. Rather than a traditional album, it was designed as a series of singles for listeners to playlist, with several tracks dropping between 2019 and 2020. The project was shelved in 2020 due to the pandemic (which canceled his tour) and the tragic death of his brother, Ryan Breaux. However, recent promotional posters hint that Ocean is interested in making albums again."
,Single Tracks
"Look At Us, We're In Love","DHL
(prod. Daniel Aged, Noah Goldstein, John Carroll Kirby, Boys Noize & Frank Ocean)","Single released by Frank Ocean on October 19th, 2019",4:28,"Oct 19, 2019",Single,Yes,https://open.spotify.com/track/2INhKpUdzh7v0j041gZNsz?si=66a4737f5da04adc
"Look At Us, We're In Love","In My Room
(prod. Sango, Frank Ocean & Michael Uzowuru)","Single released by Frank Ocean on November 2nd, 2019.",2:13,"Nov 2, 2019",Single,Yes,https://open.spotify.com/track/4S4Mfvv03M1cHgIOJcbUCL?si=25de217e98e54d81
"Look At Us, We're In Love","In My Room (BennY RevivaL Remix)
(feat. BennY RevivaL) (prod. Sango, Frank Ocean & Michael Uzowuru)","Single released by Frank Ocean, featuring BennY RevivaL. Released on November 2nd, 2019.",3:40,"Nov 2, 2019",Remix,Yes,https://pillows.su/f/d286be9071b312486e1ae6a4ada44948
"Look At Us, We're In Love","Cayendo
(prod. Daniel Aged, El Guincho & Frank Ocean)","Single released by Frank Ocean on March 25th, 2020.",3:22,"Mar 25, 2020",Single,Yes,https://open.spotify.com/track/72794Eag03xdy7TO0KNuid?si=1c565bab05dd4e55
"Look At Us, We're In Love","Cayendo (Sango Remix)
(prod. Sango, Daniel Aged, El Guincho & Frank Ocean)","Remix released by Frank Ocean and Sango on March 25th, 2020. Features vocals not found in the original version.",2:34,"Mar 25, 2020",Remix,Limited,"https://music.apple.com/us/song/cayendo-sango-remix-mixed/1601319661
https://pillows.su/f/25464317afd41f80de079cd85e2d24ed
https://pillows.su/f/30ccd934a4b8abff6d5c7b1fb97c70b5"
"Look At Us, We're In Love","Dear April
(prod. Daniel Aged, El Guincho & Frank Ocean)","Single released by Frank Ocean on March 25th, 2020.",3:51,"Mar 25, 2020",Single,Yes,https://open.spotify.com/track/62ljuuXo0zrcrtJnnOhfxT?si=679bd9b6d1af4b13
"Look At Us, We're In Love","Dear April (Justice Remix)
(prod. Justice, Daniel Aged, El Guincho & Frank Ocean)","Remix released by Frank Ocean and Justice on March 25th, 2020.",4:11,"Mar 25, 2020",Remix,No,"https://pillows.su/f/c8cae616649fa5ab5fa534daa6922498
https://pillows.su/f/6b7479a1dd1a4c25a9c9e23d0b6de9ad"
