Era,Name,"Notes
Join our discord server here  (LINK RE-UPd)
And our telegram channel here",Track Length,Release Date,Type,Streaming,Link(s)
,"MUSIC [V3]
(I AM MUSIC)","(August 2023) Switch of sound; Carti experiments with a ""darker"" theme
(Jan 5, 2024) MUSIC supposedly is meant to drop, it does not
(Nov 22, 2024) MUSIC fails top drop after Carti says he would drop it
(Dec 15, 2024) A partial LP for the album is held at Rolling Loud, with another failed launch date between Dec 25 and January 2025
(March 14, 2025) MUSIC is released.",,,,,
MUSIC [V3],"Travis Scott - FE!N [ATMOS Version]
(feat. Playboi Carti & Sheck Wes) (prod. Travis Scott & Jahaan Sweet)","Updated version with different mix and adlibs, exclusive for Apple Music.",3:11,"Sep 23, 2023",Feature,Exclusive,https://krakenfiles.com/view/1Bl753l5Dl/file.html
MUSIC [V3],"Westside Gunn & DJ Swamp Izzo - MR EVERYTHING
(feat. Jeezy & Playboi Carti) (prod. FOREVEROLLING, TooDope, BeatsByJuko & NFE Paris)","Contains adlibs of Carti saying ""Swamp motherfucking Izzo"" and ""SWAMP IZZO"".",2:45,"Oct 13, 2023",Adlibs,Yes,https://www.youtube.com/watch?v=lXPd8gojUWA 
MUSIC [V3],"⭐ DIFFERENT DAY
(prod. KP Beats, Ambezza & Nikki3k)","The lead single for music, uploaded to Carti's opium_00pium IG account. Was given the fan name UR THE MOON, as King Bob said that was the name of the song before it dropped, but was later deemed never to be the name of the song by Carti himself.",2:48,"Dec 8, 2023",Single,No,https://www.instagram.com/p/C0nT7y_Ic4O/
MUSIC [V3],"DIFFERENT DAY [V2]
(feat. DJ Swamp Izzo) (prod. KP Beats, Ambezza & 
Nikki3k)","Rumored OG Filename: pbc 11-11-23 2 KP IZZO
Alt version featuring Swamp Izzo adlibs throughout the song was published by the videographer Yung Tacc on the same day. Has like 15 extra seconds of silence at the end for no reason.",2:32,"Dec 8, 2023",Single,No,https://www.instagram.com/p/C0nVECEg28y/
MUSIC [V3],"⭐ 2024 [V1]
(prod. OjiVolta, Earlonthebeat & Ye) ","OG Filename: pbc 12-10-23 2 oji
Released exclusively on YouTube, as the second single from the rollout.",2:39,"Dec 15, 2023",Single,No,https://www.youtube.com/watch?v=YG3EhWlBaoI
MUSIC [V3],"⭐️H00DBYAIR [V2]
(prod. Cardo Got Wings)
(HBA, Tundra)","A single dropped on Carti's opium_00pium IG as the third single of the rollout. High bitrate rip of H00DBYAIR. Was originally used by Nardo Wick for the soundtrack to ""Candyman"" (via Cardo) that was set to release in 2021. However, after Cardo's version of the soundtrack got scrapped, the instrumental was later given to Carti.",3:33,"Dec 20, 2023",Single,No,https://www.instagram.com/p/C1DqmxPIncy/
MUSIC [V3],"✨ BACKR00MS [V2]
(feat. Travis Scott) (prod. OjiVolta & Cardo Got Wings)","Released on YouTube, as the fourth single from the rollout.",2:40,"Jan 1, 2024",Single,No,https://www.youtube.com/watch?v=ftaXMKV3ffE
MUSIC [V3],"EVILJ0RDAN [V2]
(feat. DJ Swamp Izzo) (prod. Cardo Got Wings, 
Johnny Juliano & Ojivolta)
(EVIL J0RDAN, Ms. Jackson, Moving The Molly)","Rumored OG Filename: pbc 12-6-23 6 CARDO IZZO
Released on opium_00pium IG, and would see an official release later.",2:05,"Jan 14, 2024",Single,No,https://www.instagram.com/p/C2JNo-loVk3/
MUSIC [V3],"The Weeknd - Popular (Sped Up)
(feat. Playboi Carti, Madonna & xxtristanxo) (prod. Metro Boomin, The Weeknd & MIKE DEAN)",Released via the Popular Pack.,3:07,"Jan 26, 2024",Feature,Yes,https://open.spotify.com/intl-it/album/0p0FGxiCrl3afABenvtWbQ
MUSIC [V3],"The Weeknd - Popular (Slowed)
(feat. Playboi Carti, Madonna & xxtristanxo) (prod. Metro Boomin, The Weeknd & MIKE DEAN)",Released via the Popular Pack.,4:18,"Jan 26, 2024",Feature,Yes,https://open.spotify.com/intl-it/album/0p0FGxiCrl3afABenvtWbQ
MUSIC [V3],"The Weeknd - Popular (ACAPELLA)
(feat. Playboi Carti & Madonna) (prod. Metro Boomin, The Weeknd & MIKE DEAN)",Released via the Popular Pack.,3:35,"Jan 26, 2024",Feature,Yes,https://open.spotify.com/intl-it/album/0p0FGxiCrl3afABenvtWbQ
MUSIC [V3],"✨¥$ - CARNIVAL
(feat. Playboi Carti & Rich The Kid) (prod. TheLabCook, Ojivolta, Digital Nas, Mike Dean & Ye)",Track 12 on VULTURES 1.,4:24,"Feb 10, 2024",Feature,Yes,https://open.spotify.com/intl-it/track/2McT2fkH0VDqPsbiB9HWPq?si=d6249160317644da
MUSIC [V3],"¥$ - FUK SUMN
(feat. Playboi Carti & Travis Scott) (prod. Ye, Timbaland, Hubi, SHDØW, VEYIS, Digital Nas & JPEGMAFIA)",Track 10 on VULTURES 1.,3:29,"Feb 10, 2024",Feature,Yes,https://pillows.su/f/89ef330ac80f046cc3f011a2648279a8
MUSIC [V3],"¥$ - CARNIVAL (ACAPELLA)
(feat. Playboi Carti & Rich The Kid)",Released via the CARNIVAL PACK. ,4:24,"Feb 15, 2024",Feature,Yes,https://pillows.su/f/2f0c51055a3153a6849476816e008423
MUSIC [V3],"¥$ - CARNIVAL [Updated Mix, Clean Version]
(feat. Playboi Carti & Rich The Kid) (prod. TheLabCook, Ojivolta, Digital Nas, Mike Dean & Ye)","Updated mix for Carnival, clean version",4:22,"Feb 16, 2024",Feature,Yes,https://pillows.su/f/5518f5298fb768811c34017f05a297d6
MUSIC [V3],"¥$ - CARNIVAL [Music Video Version]
(feat. Playboi Carti & Rich The Kid) (prod. TheLabCook, Ojivolta, Digital Nas, Mike Dean & Ye)","OG Filename: CARNIVAL_YExRAFMAN_4.5
Updated mix and has a sample of a fan screaming Y PURO PINCHE CARNIVAL Y NO MAMADAS before Ye's verse. Used by ¥$ whenever performing the song.",4:21,"Mar 11, 2024",Feature,Yes,https://www.youtube.com/watch?v=pEskP0ulPlA
MUSIC [V3],"KETAMINE
(prod. Cardo Got Wings, Twisco & Ojivolta)
(K POP)",The sixth single dropped on carti's opium_00pium IG.,1:54,"Mar 12, 2024",Single,No,https://www.instagram.com/opium_00pium/reel/C4b5vOtAeze/
MUSIC [V3],"⭐ Future & Metro Boomin - Type Shit
(feat. Playboi Carti & Travis Scott) (prod. D. Rich, MIKE DEAN & Metro Boomin)",Track 4 on WE DON'T TRUST YOU,3:48,"Mar 22, 2024",Feature,Yes,https://open.spotify.com/track/28drn6tQo95MRvO0jQEo5C?si=bf903d7e891344d7
MUSIC [V3],"✨ Camlla Cabello - I LUV IT
(feat. Playboi Carti) (prod. El Guincho & Jasper Harris)",A single for Camila Cabello's album.,2:54,"Mar 27, 2024",Feature,Yes,https://open.spotify.com/track/4whmRFV7KJSOETZQikzKwm?si=7a6f39d449784e71
MUSIC [V3],"¥$ - FIELD TRIP [V1]
(feat. Playboi Carti, Don Toliver & Kodak Black)",Track 3 on VULTURES 2. Removes most the original song and has AI Kanye vocals.,2:47,"Aug 3, 2024",Feature,No,https://pillows.su/f/a0ec701925bf877ca02b91f4c08325de
MUSIC [V3],"¥$ - FIELD TRIP [V2]
(feat. Playboi Carti, Don Toliver & Kodak Black)",Version with an updated mix. Still has the AI Kanye verse.,2:47,"Aug 4, 2024",Feature,No,https://pillows.su/f/ffad1c638fd7930a37909f421bb18018
MUSIC [V3],"¥$ - FIELD TRIP [V3]
(feat. Playboi Carti, Don Toliver & Kodak Black)",Version with an updated mix. Still has the AI Kanye verse.,2:47,"Aug 5, 2024",Feature,No,https://pillows.su/f/1579d5485d83b36ace4eede5ff204315
MUSIC [V3],"¥$ - FIELD TRIP [V4]
(feat. Playboi Carti, Don Toliver & Kodak Black)","Updated mix, new tracklist, and clean. Still has the AI Kanye verse.",2:47,"Aug 8, 2024",Feature,Yes,https://pillows.su/f/c7e9e3780d11d534cfbe84fa6f0794b5
MUSIC [V3],"¥$ - FIELD TRIP [V5]
(feat. Don Toliver, Playboi Carti & Kodak Black) (prod. EJ PARIS, Wheezy, Dez Wright, Chrishan, The Legendary Traxster, AyoAA & IRKO)"," OG Filename: Field trip MIX MSTR_01
IRKO updated mixes. Has one Kodak bar censored at 2:07. Still has the AI Kanye verse.",2:43,"Aug 15, 2024",Feature,No,https://pillows.su/f/14f857a5d3c0356335a65563ed5024fd
MUSIC [V3],"🗑️ Drake - No Face [V1]
(feat. Playboi Carti) (prod. O Lil Angel, London Cyr, Connor Sewer & DJ LEWIS)","OG Filename: No Face - Drake
Released by Drake on his burner Instagram account 'plottttwistttttt'. Has Carti doing the whistle adlibs and saying No Face 8 times after Drake's hook. OG file leaked a day later. Would release on streaming services without Playboi Carti's additions.",2:32,"Aug 23, 2024",Feature,No,https://pillows.su/f/1b07104e3dd074b32c94b74249f40cf2
MUSIC [V3],"⭐ Travis Scott - Houdini
(feat. Playboi Carti) (prod. Pi'erre Bourne)
(WHOUDINI)","OG Filename: WHOUDINI MIKE DEAN MASTER
Released as the fourth digital deluxe for Days Before Rodeo. Features Mike Dean mix.",1:54,"Aug 30, 2024",Feature,No,https://pillows.su/f/9c852a249e94ba9ddb9bc15b6701d966
MUSIC [V3],"⭐ ALL RED
(prod. F1LTHY, Lukrative, Lucian, Ojivolta & Twisco)","Seventh single for MUSIC, as well as the first single released on streaming.
Despite being played alongside FOMDJ, 'All Red' only released due to the immense fan and label pressure, combined with the album being delayed again.",2:28,"Sep 13, 2024",Single,Yes,https://www.youtube.com/watch?v=0age3DSgqQk
MUSIC [V3],"⭐️🤖 ¥$ - FIELD TRIP [V6]
(feat. Playboi Carti, Don Toliver & Kodak Black) (prod. EJ PARIS, Wheezy, Dez Wright, Chrishan, The Legendary Traxster, AyoAA & IRKO)",Updated mix that was uploaded on all streaming services on October 17th 2024. Carti's vocals are now on beat and it STILL has the AI Kanye verse. Was taken off of DSP's because of the beef between Kanye West & Don Toliver. It is unknown on when it'll be back up.,2:47,"Oct 17, 2024",Feature,No,https://pillows.su/f/e7a43790e305547f8ca1be64ad480457
MUSIC [V3],"✨ DP Beats - 400 Degrees (1600 Block)
(feat. Lil Uzi Vert & Playboi Carti) (prod. DP Beats)
(Swag Disease)","Released by DP Beats on DP ON THE BEAT VOLUME 5 on Soundcloud after the song leaked. The official name of the song is Swag Disease, unknown why DP uploaded it as 400 Degrees",2:47,"Nov 2, 2024",Feature,No,https://soundcloud.com/dp-beatss/1600block?in=dp-beatss/sets/dp-on-the-beat-vol-5&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
MUSIC [V3],"🤖 The Weeknd - Timeless [V1]
(prod. Pharrell Williams, Ojivolta, Twisco & Mike Dean)","First previewed by The Weeknd & Carti on September 7th during a show in São Paulo, Brazil. Carti kept the AI ref track verse. Mix was updated in November.",4:16,"Sep 27, 2024",Feature,No,https://krakenfiles.com/view/4ipn1e6qfS/file.html
MUSIC [V3],"🤖  The Weeknd - Timeless [V2]
(prod. Pharrell Williams, Ojivolta, Twisco & Mike Dean)","Updated mix, Carti's vocals are still AI. AI model was trained on MUSIC v2 songs from early-mid 2023",4:16,"Sep 27, 2024",Feature,Yes,https://open.spotify.com/album/2IRxVVqbSbqHJo8Zx50LYn
MUSIC [V3],"🤖 The Weeknd - Timeless [ATMOS Mix]
(prod. Pharrell Williams, Ojivolta, Twisco & Mike Dean)",Apple Music-exclusive mix.,4:16,"Sep 27, 2024",Feature,Exclusive,https://pillows.su/f/c10c694f695702119ea8cb66cc86c603
MUSIC [V3],"✨ Tyler, The Creator - Thought I Was Dead [First Pressing Version]
(feat. Playboi Carti & Santigold) (prod. Tyler, The Creator)","Old demo of Tyler's ""Thought I Was Dead"" from CHROMAKOPIA that features an unheard verse from Playboi Carti. His verse was later replaced by ScHoolboy Q on the album's official release. This version released through the album's first test pressing vinyl.",3:27,"Oct 28, 2024",Feature,No,https://krakenfiles.com/view/gX36nBNOuM/file.html
MUSIC [V3],"Kap G - M's
(feat. Gunna, Lil Durk & Playboi Carti)",Die Lit era track leaked in 2018. Abruptly removed from streaming.,4:41,"Oct 30, 2024",Feature,No,https://www.youtube.com/watch?v=pxQpGe1OUl4&list=OLAK5uy_lsJCdxugxOjGmus6zhxL_1QehDINtLzvU&index=4
MUSIC [V3],"✨ PLAY THIS
(prod. Roark Bailey & V-Ron)","Released on Nov 21, 2024 on IG by Carti due to the album being delayed oncer again. Allegedly was a replacement for another single that was supposed to drop.",1:24,"Nov 21, 2024",Single,No,https://pillows.su/f/b3b9d3ccacaeffe6c9fb807c30f252dc
MUSIC [V3],"✨ Latto - Blick Sum [V3]
(feat. Playboi Carti & DJ Swamp Izzo) (prod. Kid Hazel, Ricci Riera, Evil Nani & W$Kharri)",Single released by Latto on January 28th. Different mix than the one with Swamp Izzo adlibs & no Carti adlibs.,3:12,"Jan 28, 2025",Feature,Yes,https://open.spotify.com/track/3PAvwFSVQ4K4hMo7yJLv0I
MUSIC [V3],"⭐ POP OUT [V3]
(prod. DY Krazy, SLOWBURNZ & DJH)
(POP, P0P 0UT, P0P)","OG Filename: POP OUT volta master v.2
Track 1 on ""MUSIC""
Does not have the live guitars from when it was performed, and has some intro lines. According to Swamp Izzo, the track was worked on and updated all the way up to just a few hous prior to the release of the album, where the outro and Playboi Carti's ""Swerve"" adlibs were added last minute.",2:41,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/3j3SfV4hAcR4XjCvW393Gr?si=c8eb1433dce140f3
MUSIC [V3],"POP OUT [V4]
(prod. DY Krazy, SLOWBURNZ & DJH)
(POP)","OG Filename: 01. POP OUT (post release) [2025-03-16 185635]
CD version with an updated mix. Has the outro removed. OG File surfaced on March 1, 2026",2:15,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/b3065fec636448ccf3763b8ab60d1130
MUSIC [V3],"CRUSH [V2]
(with Travis Scott) (prod. F1LTHY, Travis Scott, Jahaan Sweet & Ojivolta)","OG Filename: 2CRUSH
Track 2 on ""MUSIC""
Features added production compared to the inital Rolling Loud perfomance in which the track was played for the first time.",2:53,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/3VdooJLOy4tLxKpnn46SMP?si=815cb7394481401a
MUSIC [V3],"CRUSH [V3]
(with Travis Scott) (prod. F1LTHY, Travis Scott, Jahaan Sweet & Ojivolta)","OG Filename: 02. CRUSH (Ft. Travis Scott) (post release)
CD version of CRUSH with a slightly different mix & earlier cutoff. OG File exported incorrectly by Interscope for the post release was leaked by Raahim on March 1, 2026.",2:51,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/2584edd3c1e0e0222fbe12b39180da67
MUSIC [V3],"⭐ K POP [V1]
(prod. Cardo Got Wings, Ojivolta & Twisco)
(KETAMINE)","OG Filename: 3K POP
Track 3 on ""MUSIC""
No noticable differences have been made from the initial 2024 release other than the tracks name, which was originally KETAMINE. 
Yes the file uploaded to DSPs is an M4A (File was most likely transferred through iMessage, where Audio Files get compressed to 125-128kbps M4As) ",1:52,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/00iLTetTLAeImmBlh6jOJh?si=77eee1aa690b41b3
MUSIC [V3],"K POP [V2]
(prod. Cardo Got Wings, Ojivolta & Twisco)
(KETAMINE)",CD version with an updated mix.,1:53,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/f51233f58e92a868bf0dbd8a1ed60a83
MUSIC [V3],"✨ EVIL J0RDAN [V3]
(prod. Cardo Got Wings, Johnny Juliano & Ojivolta)
(EVILJ0RDAN, Ms. Jackson, Moving The Molly)","OG Filename: 4EVIL J0RDAN
Track 4 on ""MUSIC""
Changes in production compared to the IG release, including the intro that was first previewed during his Summer Smash 2024 performance. Samples ""Popular (feat. Madonna & Playboi Carti)"" by The Weeknd.",3:03,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/6iycYUk3oB0NPMdaDUrN1w?si=174aa203195b402f
MUSIC [V3],"EVIL J0RDAN [V4]
(feat. DJ Swamp Izzo) (prod. Cardo Got Wings, 
Johnny Juliano & Ojivolta)","Rip of EVILJ0RDAN from the CDs for MUSIC. Still has the intro, but no gunshot.",3:04,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/ddd8b10ee326fa29bc4c91fb3cfe16c9
MUSIC [V3],"MOJO JOJO [V2]
(feat. Kendrick Lamar) (prod. Cardo Got Wings & 
Johnny Juliano)
(M0J0 J0J0, MOJO, SH0T)","OG Filename: Mojo
Track 5 on ""MUSIC""
Features differences in production from the leaked 2023 version including adlibs from Kendrick Lamar throughout the whole song.",2:36,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/3WRUvGqySBZC6RkB5c2w1S?si=e5d83efca61a43cf
MUSIC [V3],"PHILLY
(with Travis Scott) (prod. Cardo Got Wings & Johnny Juliano)","OG Filename: 6.Philly
Track 6 on ""MUSIC""
Track samples ""You're My Chocolate"" by Savages (2008)",3:05,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/5SIvP6TdWc9DNvKbENjnYc?si=8e6636c7281441ed
MUSIC [V3],"✨ RADAR [V2]
(prod. Metro Boomin)
(JIGSAW, Walk)","OG Filename: 7RADAR METRO
Track 7 on ""MUSIC""
Mentioned by King Bob's account by the name 'JIGSAW' when he was talking about songs he wish made the album, later realized that it dropped. Features a different mix from the Rolling Loud 2024 version.",1:47,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/3lAEHk0eZzMKtCUFLXz8Ln?si=60d0d718431946ee
MUSIC [V3],"⭐🤖 RATHER LIE [V3]
(with The Weeknd) (ref. Keith Lawson ?) (prod. F1LTHY, MIKE DEAN, Twisco, Ramzoid & Ojivolta)
(LIE, LOSE YOU, I RATHER)","OG Filename: 8RATHERLIE
Track 8 on ""MUSIC""
Carti's vocals are performed by a writer and ran through an AI filter to replicate Carti's voice. The adlibs are real.",3:29,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/68qeaZhtMZ6abrJCYt6nQn?si=309eb0e0a6684e78
MUSIC [V3],"🗑️🤖 FINE SHIT [V1]
(ref. BBYKOBE) (prod. Cash Cobain, Keanu Beats, Ojivolta & 99hurts)","OG Filename: 9FINE SHIT
Track 9 on ""MUSIC""
The first verse and following chorus are both most likely performed by BBYKOBE and ran through an AI filter to replicate Carti's voice, similarly to the track before it, ""Rather Lie"". Second verse features real Carti vocals.",1:46,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/79mFFAOYcG8ZF6AN1JecAL?si=5763712b76a84752
MUSIC [V3],"🤖 FINE SHIT [V2]
(ref. BBYKOBE) (feat. Playboi Carti) (prod. Cash Cobain, Keanu Beats & Ojivolta)","CD version, alt mix, second verse is still real Carti vocals",1:46,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/beb722f9824dea38e49c3401fde3648d
MUSIC [V3],"✨ BACKD00R [V2]
(feat. Kendrick Lamar & Jhené Aiko) (prod. Keanu Beats, Ojivolta, Ye, Twisco, Nagra & Darius Rameshni)","OG Filename: Backdoor
Track 10 on ""MUSIC""
Features uncredited production from Ye, due to his activities during this time. Samples ""Mutual Feeling"" by Beverly Knight.",3:10,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/0rNgWFQJtfttOYIHfDOHCg?si=cb578280741646a1
MUSIC [V3],"BACKD00R [V3]
(feat. Kendrick Lamar & Jhené Aiko) (prod. Keanu Beats, Ojivolta, Twisco, Nagra & Darius Rameshni)",CD version with an updated mix.,3:09,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/f13241f5786d21f3fcc2d9c97fbba6ba
MUSIC [V3],"⭐ TOXIC
(with Skepta) (prod. Cardo Got Wings, Dez Wright, Mu Lean & Stoopid Lou)","OG Filename: 12 TOXIC MASTER FINAL
Track 11 on ""MUSIC""
Confirmed to be from 2021 and apart of the original Narcissist tracklist",2:15,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/4evMMKc2HD6fV9slMfgkMx?si=a87e978ff19d4923
MUSIC [V3],"TOXIC [V2]
(feat. Skepta) (prod. Cardo Got Wings, Dez Wright, Mu Lean & Stoopid Lou)",CD version with an updated mix. 808s sound is different / mixed differently.,2:15,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/a6d958217071923147b66ae2fd882c1c
MUSIC [V3],"MUNYUN [V1]
(prod. F1LTHY, Keanu Beats, Ojivolta & DJH)
(DEMONSLURK, FORBES)"," OG Filename: DEMONSLURK / 13 FORBES volta master v.2
Track 12 on ""MUSIC""
Samples ""Lay My Head on Your Shoulder"" by Bill Robinson & The Quails. Features lyrics that are seemingly censored at random, with some words appearing completely uncensored and reappearing muted just three lines later.",2:34,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/2JJFJEvFSWyQ59Pwl2gqSF?si=8bfb79e4f4324561
MUSIC [V3],"MUNYUN [V2]
(prod. F1LTHY, Keanu Beats, Ojivolta & DJH) 
(FORBES, DEMONSLURK)","Updated mix with the outro cut, ripped from the CD",2:05,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/34fbb88c80035bca947fcbcff1b67635
MUSIC [V3],"⭐ CRANK [V2]
(prod. Cardo Got Wings, Yung Exclusive & Johnny Juliano)
(DEEPHOLE)","OG Filename: 14 DEEPHOLE MASTER
Track 13 on ""MUSIC""
Had a music video shot for it in January of 2024. Samples ""FVCK TVYLXR GVNG"" by SpaceGhostPurrp.",2:27,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/7xAvtuHf8nGi5OtXVPYgb3?si=096f83b844134d7c
MUSIC [V3],"CRANK [V3]
(prod. Cardo Got Wings, Yung Exclusive & Johnny Juliano)
(DEEPHOLE)",CD version with an updated mix.,2:27,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/946bc982ee856f71a7d9815bbc17dd9d
MUSIC [V3],"CHARGE DEM HOES A FEE [V2]
(with Future & Travis Scott) (prod. Southside, Wheezy, Dez Wright, Car!ton, Smatt Sertified & Juke Wong)
(CHARGE A FEE)","OG Filename: 14 CHARGE A FEE volta master v.2
Track 14 on ""MUSIC""
There appears to be an open verse right after Future's verse with only a few mumble takes to occupy it.",3:45,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/21aDVa64pWR8SYQ7wBRMkd?si=580fdb2931da45f8
MUSIC [V3],"✨ CHARGE DEM HOES A FEE [V3]
(with Future & Travis Scott) (prod. Southside, Wheezy, Dez Wright, Car!ton, Smatt Sertified & Juke Wong)
(CHARGE A FEE)","OG Filename: 14_CHARGE_DEM_HOES_A_FEE_Ft_Future_&_Travis_Scott_post_release
CD rip of CHARGE DEM HOES A FEE which cuts out the open/mumble Future verse. Version used whenever Playboi Carti performs the song. The released version on streaming was supposed to be updated to this one, but for unknown reasons never has. OG File leaked by Raahim as a bonus to the Push Up buy.",2:40,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/f26bb032c703da52b90eb7326864f22b
MUSIC [V3],"⭐ GOOD CREDIT [V2]
(with Kendrick Lamar) (prod. Cardo Got Wings)","OG Filename: GC
Track 15 on ""MUSIC""
The third and final collaboration between Carti & Kendrick Lamar on MUSIC.",3:10,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/2n9fC0A4ptmWqYeMXEVaok?si=6d277d015abd4708
MUSIC [V3],"GOOD CREDIT [V3]
(with Kendrick Lamar) (prod. Cardo Got Wings)",CD version with an updated mix.,3:10,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/195bd9f8f0b61f71d09208ff437eff0d
MUSIC [V3],"⭐ I SEEEEEE YOU BABY BOI [V2]
(prod. KP Beatz, Lucian & DJ Moon)
(LIE TO ME, I SEE YOU, I CAN SEE YA, YOUNG VAMP LOVE, Young Vamp Life, YVL)","OG Filename: 16 I SEE YOU MASTER INTRO FIX
 Track 16 on ""MUSIC""
Seemingly features different production features and different structure from the previewed version.",2:38,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/2ydagYqcyFfRtQPzKc5E8l?si=caeb6e03670f49d1
MUSIC [V3],"I SEEEEEE YOU BABY BOI [V3]
(prod. KP Beatz, Lucian & DJ Moon)
(LIE TO ME, I CAN SEE YA, I SEE YOU, YOUNG VAMP LOVE, Young Vamp Life, YVL)","CD version with an updated mix. Everything sounds quieter, especially the beat.",2:39,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/36646c1f13fa617a16111a74d3b4c383
MUSIC [V3],"✨ WAKE UP F1LTHY [V2]
(with Travis Scott) (prod. F1LTHY, BNYX® & Wonder1x)
(WAKE UP, Different Hoes, Racks Up)","OG Filename: 14.Wake Up Ft Travis
Track 17 on ""MUSIC""
Rework of a 2022 throwaway that features a reworked Carti verse, different vocal takes from Carti on the chorus, an extended Travis Scott verse and less adlibs from Travis Scott in general as well.",2:49,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/1pzN8bCzy017iK3vWzkk6Z?si=fac99bbe680e4cad
MUSIC [V3],"OFF DRUGS [V1]
(with Lil Uzi Vert) (prod. F1LTHY, BL$$D & Ethan Scott)
(JUMPIN)","OG Filename: 18 OFF DRUGS volta master v.1
Track 18 on ""MUSIC"". 
Track #18 on ""MUSIC"". Recorded in 2021, during the same session as ""Two Out"". Was released on SoundCloud, a few seconds before the official release, on accident. The page of that release confirmed it's original name (this one is now disactivated). It samples Young Thug's ""Halftime"". Has F1LTHY and BL$$D's tags, and lacks a few adlibs.",1:32,"Mar 14, 2025",Album Track,No,https://soundcloud.com/playboicarti/off-drugs
MUSIC [V3],"✨ JUMPIN [V2]
(with Lil Uzi Vert) (prod. F1LTHY, BL$$D & Ethan Scott)
(OFF DRUGS)","OG Filename: 18 JUMPIN volta master v.2
Track 18 on ""MUSIC"". 
Recorded in 2021, during the same session as ""Two Out"". For some reason the intro, including F1LTHY and BL$$D's tags are cut. It samples Young Thug's ""Halftime"".",1:32,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/7oZOCPjlLpHZtIebTXhlfZ?si=3e7e60dfb0e34a29
MUSIC [V3],"TRIM [V3]
(with Future) (prod. TM88, Akachi, Sonickaboom, C$D Sid & Macnificent)
(Really I'm Trim)","OG Filename: 19.Trim Swamp
Track 19 on ""MUSIC"". 
Carti's verse has been completely reworked and changes have been made in the production. The song was orginally on the tracklist for Future's ""MIXTAPE PLUTO"", and is said to originally have a verse from Travis Scott that isn't seen here.",3:13,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/4qvsNsA4gQKC9HLrmPC2Vx?si=51bb3cd003a84180
MUSIC [V3],"⭐️ COCAINE NOSE
(prod. F1LTHY, 100yrd & Brak3)","OG Filename: 20. COCAINE NOSE
Track 20 on ""MUSIC""
Samples ""Only U"" by Ashanti.",2:31,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/4rXxjHSAglOynjIF8Z34dx?si=6e2dc76fcd9d428a
MUSIC [V3],"WE NEED ALL DA VIBES [V3]
(with Young Thug, Gunna & Ty Dolla $ign) (prod. Wheezy, Dez Wright & BBYKOBE)
(Vibing, Vibin, South Atlanta)","Version of the song from when the album's released. This one included adlibs done by Gunna, from the original version from 2021. The song got later updated, removing said adlibs, and giving minor fixes and changes to the mix.",3:01,"Mar 14, 2025",Album Track,No,https://mega.nz/file/wu13gAKS#9NJG96LvvgTGuha94YwDlOXXYZpt0TvkDLdQAiUETik
