Era,Name,Notes,Track Length,Release Date,Type,Streaming,Link(s)
"To view only songs that are not on streaming, right-click the G column and click ""Sort sheet A to Z""!
DON'T do this if you are an Editor!",,,,,,,
"0 Album Track(s)
2 Single(s)
0 Feature(s))
0 Mixtape Track
0 EP Track","Jori Xeric
(burgersdead)","(Jul 30, 2001) (Bobby Wardell Sandimanie III is born in Atlanta, Georgia)
(2014) (Bobby starts making music)
(Nov 10, 2015) (Lone's first known song releases under the name 'Jori Xeric')
(Feb 23, 2016) (Lone starts releasing music under various names other than Jori Xeric)
(July 7, 2016) (Lone lies in an interview saying that he 'dropped my first song 3 months ago')
",,,,"There are only three known songs from this era, which we know from promotional tweets that Lone made in late 2015. Gorgeousrecords, a record label that promoted Lone's music in 2016, posted a screenshot of an interview on July 7, 2016 in which Lone lied saying 'I dropped my first song like 3 months ago.'",
,Singles,,,,,,
Jori Xeric,"escort me out
(prod. greaf)","One of Destroy Lonely's oldest known songs. Promoted in a tweet from Lone on November 10, 2015 with the now-deleted SoundCloud link attached. Currently lost",,"Nov 10, 2015",Single,Lost,https://soundcloud.com/burgersdead/escort-me-out-prodgreaf
Jori Xeric,"bedroom trap shit dash dash
(prod. ???)","One of Destroy Lonely's oldest known songs, released only a day after the single in the entry above. Promoted in a tweet from Lone on November 11, 2015 with the now-deleted SoundCloud link attached. Currently lost",,"Nov 11, 2015",Single,Lost,https://soundcloud.com/burgersdead/bedroom-trap-shit-dash-dash
Jori Xeric,"everybodygttnshot - father(jori mix hoe)
(prod. / ft. Destroy Lonely)","Lost remix to Father's 'Everybody In The Club Gettin Shot' off of his 2015 album 'Who's Gonna Get Fucked First?', promoted in a tweet from Lone on November 24, 2015 with the now-deleted SoundCloud link attached. It's unknown if Lone did vocals for the track or only production. A day after release, Lone tagged Father on Twitter asking him to listen to the remix.

""@father can you check my remix of gahdamn Everybody in the club getting shot""",,"Nov 24, 2015",Remix,Lost,https://soundcloud.com/burgersdead/everybodygttnshot-fatherjori-mix-hoe
"0 Album Track(s)
18 Single(s)
0 Feature(s))
0 Mixtape Track
0 EP Track","Tundra Boy Lonely
(Slim AU, racelonely, Glory Boi, Lil Gamo Belt, free lonely, Yung Gorgeous, Lil Citgo, Lil3x, Lil Fuck Yo Bitch Yung Gorgeous)","(Feb 23, 2016) Lone starts releasing music under various names other than Jori Xeric)
(Early 2017) (Bobby starts releasing music under the 'Destroy Lonely' name)",,,,"Bobby Wardell Sandimanie III was born on July 30, 2001. He has two younger half sisters and an older half brother. His father is the rapper I-20, who was part of Ludacris' record label Disturbing tha Peace. He was homeschooled starting in sixth grade then got enrolled back into public school in 9th and 10th grade, where he recalls abusing the drug Xanax. He cites his feeling that his substance abuse was destroying him as the origin of the ""Destroy"" part of his stage name. He spent his adolescent years in solitude which he cites as the origin of the ""Lonely"" part of his stage name.",
,Singles,,,,,,
Tundra Boy Lonely,"then im off
(prod. meltycanon)","OG Filename: then im off (2)
A single released by Destroy Lonely as a SoundCloud exclusive. The song was previously lost until it resurfaced on Sep 16, 2023 in OG quality. The song is still streamable on SoundCloud with the private link that was discovered on Aug 28, 2025. Destroy Lonely enabled direct downloads on the track which is how the OG file was found.",2:27,"May 11, 2016",Single,SoundCloud,"https://soundcloud.com/destroylonely/lonely-then-im-off-gorgeous-guy-music/s-37OYI 
https://pillows.su/f/32818103e0d3499662a3a2effdb4f1a8"
Tundra Boy Lonely,"THEN IM OFF (Alternate Version)
(prod. meltycanon)",Alternate version of 'then im off' uploaded to the producer's Youtube Music page over six years later. It has since been unlisted and is now lost.,,"Apr 23, 2022",Single,Lost,https://www.youtube.com/watch?app=desktop&v=hvSHDXp5x2k
Tundra Boy Lonely,"ggi
(prod. Overxted)
(Go Get It)","OG Filename: ggi
A single released by Destroy Lonely as a SoundCloud exclusive. The song was previously lost until it resurfaced on Sep 16, 2023 in OG quality. The OG filename is unknown because SoundCloud renamed the file to be random characters. The song is still streamable on SoundCloud with the private link that was discovered on Aug 28, 2025.",3:20,"Apr 14, 2017",Single,SoundCloud,https://soundcloud.com/destroylonely/free-lonely-ggiprod-overxted/s-1KG6p
Tundra Boy Lonely,"Lovely Flex 2
(prod. ???)",The song was previously lost.,2:24,19 May 2016,Single,No,https://pillows.su/f/3c15f9ff75ffb9cdf4cc98130f77082d
Tundra Boy Lonely,"Drexler
(prod. JiggyBeats)",Destroy Lonely was 14-15 when he released this song.,1:23,"Jul 7, 2016",Single,No,https://pillows.su/f/7bd7e887ece395c2b3e37affa2017ad9
Tundra Boy Lonely,"✨ ON GO
(prod. Whoisnydel)","Allegedly was the first ever song Lone released, this is unconfirmed though.",2:00,"Jul 8, 2016",Single,No,https://pillows.su/f/a16c892513077146640057492a1235fb
Tundra Boy Lonely,"In My Zone
(prod. Idkcletus)",The song was uploaded on SoundCloud but since been taken down.,2:40,"Aug 12, 2016",Single,No,https://pillows.su/f/227cc7cc49e99e67a8698784dfe00b9b
Tundra Boy Lonely,"WHO TF! WHY TF!
(prod. Byou$)",The song was uploaded on SoundCloud but since been taken down.,2:42,Date needed,Single,No,https://pillows.su/f/ac1f5e54c2db004b09d6324244a01286
Tundra Boy Lonely,"Seph HD - Beep
(feat. Destroy Lonely & RewindRaps)",The song was uploaded on SoundCloud but since been taken down.,4:49,2016,Single,No,https://pillows.su/f/25c1464a565ec50c5259a24a38ed4456
Tundra Boy Lonely,"alone
(prod. Kankan)",The song was uploaded on SoundCloud but since been taken down.,1:47,Date needed,Single,No,https://pillows.su/f/33351a225ec149fc2d69ed39558d75ac
Tundra Boy Lonely,By Myself,One of the first songs Destroy Lonely made.,3:05,Date needed,Single,No,https://soundcloud.com/badplan3t/free-lonely-by-myself
Tundra Boy Lonely,"me
(prod. Jeff Gordan & Juicee)",One of the first songs Destroy Lonely made.,2:24,Date needed,Single,No,https://soundcloud.com/flawlessvyfe/destroy-lonely-me-prod-jeff-gordon-x-juicee
Tundra Boy Lonely,thot,A song made around the 2014 to 2016 range when Destroy Lonely first started making songs.,4:02,Date needed,Single,No,https://pillows.su/f/2f0bb45f14e984c8582efd0061a5fe7c
Tundra Boy Lonely,"glory boi interlude
(prod. Cth)",The song was uploaded on SoundCloud but since been taken down.,3:11,"Sep 3, 2016",Single,No,https://pillows.su/f/15c2cf2faa2b5bd568bee9229c9d5afb
Tundra Boy Lonely,"No Face No Case
(prod. oxyxan5)",The song was uploaded on SoundCloud but since been taken down.,2:09,"Oct 9, 2016",Single,No,https://pillows.su/f/285fb1b10fc943636ca64ba4b5e95286
Tundra Boy Lonely,"No Smoke
(prod. K’Shaun Beats)",The song was uploaded on SoundCloud but since been taken down.,3:14,Date needed,Single,No,https://pillows.su/f/96170618389f48e6149d3187ce26b473
Tundra Boy Lonely,"MY BRO
(prod. DJ YoungKash)",The song was uploaded on SoundCloud but since been taken down.,2:14,2016,Single,No,https://pillows.su/f/beb03a2e772c7e311b9997fabb3fd409
Tundra Boy Lonely,"#gloryboi300
(prod. Hella Sketchy & Callari)",The song was uploaded on SoundCloud but since been taken down.,2:40,Oct 2016,Single,No,https://pillows.su/f/073036ec5d4ada2c17283ed562ff207d
Tundra Boy Lonely,Then I'm Off [Music Video],"Music video for 'Them I'm Off'. Was released but taken down, and since Lone was pretty much a nobody at this time, it is more then likely lost forever.
Was mentioned here",N/A,Sep 2016,Music Video,Lost,N/A
Tundra Boy Lonely,"No Face, No Case [Music Video]
(dir. acjpproductions)","Music video for 'No Face, No Case'.",2:09,Oct 2017,Music Video,No,https://www.youtube.com/watch?v=buNdyiTRBMk
"0 Album Track(s)
5 Single(s)
0 Feature(s))
0 Mixtape Track
7 EP Track","Destroy
(Destroy Lonely)","(2014-2016) (Destroy Lonely started working on music at the age of 14)
(Aug 19, 2017) (Destroy officially releases)",,,,"Destroy is a project released in mid-2017, following his two 2016 EP's, ""Lonely’s Flexed Up Slow Jams"" & ""GLORY BOI""",
Destroy,"Whenever
(feat. Deda Catero)",The song was uploaded on SoundCloud but since been taken down.,4:20,Date needed,Single,No,https://pillows.su/f/0acf9d81e64b9717363c4e5127ee426d
Destroy,"Watch My Back
(prod. Jeff Gordan & Rob $urreal)",The song was uploaded on SoundCloud but since been taken down.,2:48,Date needed,Single,No,https://pillows.su/f/049c1e5b7e70638e1a14981ec29dd9fc
Destroy,"Xan
(prod. Jeff Gordan & KapeThaGoat)",The song was uploaded on SoundCloud but since been taken down.,2:58,Date needed,Single,No,https://pillows.su/f/c2ed8ae1e9d45430a7df7c6ed3eaa73b
Destroy,"Brazy/Crazy
(prod. CTH)",The song was uploaded on SoundCloud but since been taken down.,2:24,Date needed,Single,No,https://pillows.su/f/92684f09464790cad8b8c8ef76ed47e4
Destroy,"Gotham
(prod. Juggman Rico)","A single released by Destroy Lonely as a SoundCloud exclusive. The song was previously lost until it resurfaced on Sep 16, 2023 in OG quality. The OG filename is unknown because SoundCloud renamed the file to be random characters. The song is still streamable on SoundCloud with the private link that was discovered on Aug 28, 2025.",3:11,"May 19, 2017",Single,SoundCloud,"https://soundcloud.com/destroylonely/g-1/s-q4Cw9
https://pillows.su/f/9205945f158ca48196235d897420d965"
Destroy,"Lifestyle (2017)
(prod. Slick)",Track 1 on Destroy.,2:40,"Aug 19, 2017",EP Track,No,https://pillows.su/f/340a3608e957160b248ce37434178565
Destroy,"ForNothin' 
(prod. Rob $urreal)",Track 2 on Destroy.,2:37,"Aug 19, 2017",EP Track,No,https://pillows.su/f/524435d94495dbd45fd4da1106ab12b0
Destroy,"🗑️ FoF (Freestyle)
(prod. Learic Spellman)",Track 3 on Destroy.,3:51,"Aug 19, 2017",EP Track,No,https://pillows.su/f/2fc7376debe3df9b954ab6807706a775
Destroy,"Destroy
(prod. Areyoudeaf)",Track 4 on Destroy.,1:52,"Aug 19, 2017",EP Track,No,https://pillows.su/f/bcd8e356a53c4467eb4305fe504f6d26
Destroy,"Gotham, Pt. 2
(prod. Xanboy & Callari)",Track 5 on Destroy.,1:58,"Aug 19, 2017",EP Track,No,https://pillows.su/f/3239754417b9ba17816c9b1c28dbbd98
Destroy,"🗑️ HiTech
(prod. Slick)",Track 6 on Destroy.,2:09,"Aug 19, 2017",EP Track,No,https://pillows.su/f/22d5efeb0d7c70b973873b24d272fbb1
Destroy,"Lies
(prod. Ravi)",Track 7 on Destroy.,2:17,"Aug 19, 2017",EP Track,No,https://pillows.su/f/28dc4e425cddae0a7fd416ea3903f515
"7 Album Track(s)
5 Single(s)
1 Feature(s))
0 Mixtape Track
0 EP Track","NezzusDestroyed
(Collaboration with Nezzus)","(Aug 19, 2017) (Destroy officially releases)
(Feb 4, 2018) (NezzusDestroyed officially releases)",,,,"Destroy Lonely met two of his best friends, Texaco and Nezzus, who would produce many of his early works and continue to work with him on later projects at school. Immediately upon meeting Nezzus, they began recording their first project, ""NezzusDestroyed.""",
NezzusDestroyed,maverick,A song uploaded around the time during the NezzusDestroyed era.,4:40,"Oct 25, 2017",Single,No,https://soundcloud.com/solacemagazine/lonely-maverick-prod-dj?in=somewareoffk/sets/pluglone
NezzusDestroyed,"Bag Full Of Boof
(feat. Nezzus) (prod. Desi)","A song uploaded around the time during the NezzusDestroyed era, serving as the lead single for NezzusDestroyed.",2:24,"Feb 4, 2018",Single,Yes,https://open.spotify.com/track/7drlmATNl5eeeE9KfLKYez?si=97c053fc5ad34b4f
NezzusDestroyed,"Count It Up
(prod. Tash)",Released by Destroy Lonely in Feburary 2018.,2:37,"Feb 4, 2018",Single,Yes,https://open.spotify.com/track/0q8fQ0wfWAD2YetWcAbEv2?si=11d0d7f105d5427d
NezzusDestroyed,"Nezzus - I Remember
(feat. Destroy Lonely)",A song uploaded around the time during the NezzusDestroyed era.,3:06,Date needed,Single,No,https://soundcloud.com/trendsetterslime/i-remember-ft-lonely-prod-tntxd?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
NezzusDestroyed,"SEKITO - MEMPHIS 98'
(feat. Nezzus, SwauveBrim, SouthSideSmoke & Destroy Lonely) (prod. Fate)",A song off the Nezzus X Ash EP.,3:28,Date needed,Feature,No,https://soundcloud.com/ashsekito/memphis-98-ft-nezzus-swauvebrim-southsidesmoke-destroylonely-prodfate
NezzusDestroyed,"NO KAP!
(feat. Nezzus)",A song uploaded around the time during the NezzusDestroyed era.,2:05,Date needed,Single,No,https://pillows.su/f/a7e6057dfd5170f09ea32f5819b104a2
NezzusDestroyed,"🗑️ Intro
(with Nezzus)",Track 1 on NezzusDestroyed.,2:11,"Feb 4, 2018",Album Track,Yes,https://open.spotify.com/track/2eTwBADKUS1LJTaALGL63d?si=b9bc8fbeecda48c0
NezzusDestroyed,"Global
(with Nezzus)",Track 2 on NezzusDestroyed.,2:21,"Feb 4, 2018",Album Track,Yes,https://open.spotify.com/track/2VaZPiHcwaCscBoVUqBDXP?si=e146fea8c8864734
NezzusDestroyed,"⭐ Smash Bros
(with Nezzus & Lil Candy Paint) (prod. SenseiATL)",Track 3 on NezzusDestroyed.,2:09,"Feb 4, 2018",Album Track,Yes,https://open.spotify.com/track/10mV2It8aCHMplssCgnxsX?si=12146379ecaa439f
NezzusDestroyed,"✨ No Hook
(with Nezzus) (prod. Desi)",Track 4 on NezzusDestroyed.,3:09,"Feb 4, 2018",Album Track,Yes,https://open.spotify.com/track/00nDu3e3y79HNuW2BE5otJ?si=c5fb41bf54e34cc7
NezzusDestroyed,"Addy
(with Nezzus)",Track 5 on NezzusDestroyed.,2:20,"Feb 4, 2018",Album Track,Yes,https://open.spotify.com/track/0poRXgBiNU2mZwJZg89o32?si=d1f319291f3b4289
NezzusDestroyed,"Add It Up
(with Nezzus) (prod. SenseiATL)",Track 6 on NezzusDestroyed.,2:49,"Feb 4, 2018",Album Track,Yes,https://open.spotify.com/track/0DPpQRtTpBfnh2CKY02VL3?si=d72b2a99630e4b74
NezzusDestroyed,"✨ Wild
(with Nezzus)",Track 7 on NezzusDestroyed.,3:03,"Feb 4, 2018",Album Track,Yes,https://open.spotify.com/track/2bEobQdjmP3wtBlBTVtOlh?si=614a3e4da62a4981
NezzusDestroyed,"Bag Full Of Boof [Music Video]
(dir. ShaneTheShredder)",Music video for Bag Full Of Boof with Nezzus,2:22,"Dec 14, 2017",Music Video,No,https://www.youtube.com/watch?v=AgHNwduFCq4
NezzusDestroyed,No Hook [Music Video],Music video for No Hook with Nezzus,3:20,N/A,Music Video,No,https://www.youtube.com/watch?v=s1dK7dTxqqg
"0 Album Track(s)
6 Single(s)
0 Feature(s))
0 Mixtape Track
0 EP Track","NezzusDestroyed 2
(Collaboration with Nezzus (again))","(Feb 4, 2018) (NezzusDestroyed officially releases)
(Mid-Late 2018) (3 singles for the album release)
(Late 2018/Early 2019) (NezzusDestroyed 2 is scrapped)",,,,"Not much is really known about this project. Fenderbender was the lead single for it, and a few songs were uploaded that were likely meant for the tape, but other then that most of the info about it is unknown. It's unknown exactly when the idea was scrapped, but it was likely scrapped in around late 2018 or very early 2019.",
NezzusDestroyed 2,"🗑️ FenderBender
(feat. Nezzus)",Released by Destroy Lonely in September 2018. Description of the MV states that this was the 'first single for the upcoming tape NezzusDestroyed 2'.,1:30,"Sep 3, 2018",Single,Yes,https://open.spotify.com/track/3g7PTGS9aCvxMzkTEAgG9i?si=d6726ddf1c054e89
NezzusDestroyed 2,"NDR
(feat. Nezzus & Roman Reloaded) (prod. Desi)","A song uploaded around the time after the NezzusDestroyed era, supposedly being ""NezzusDestroyed 2"".",2:53,Date needed,Single,No,https://pillows.su/f/acf7b08f328bab641f3655cea4c46f11
NezzusDestroyed 2,"GS!
(with Nezzus & Slimesito) (prod. Zjakkies)","A song uploaded around the time after the NezzusDestroyed era, supposedly being ""NezzusDestroyed 2"".",2:21,Date needed,Single,No,https://pillows.su/f/16471f7edcfcf0f13f59671eeb5b9b0d
NezzusDestroyed 2,"No Hook IV
(feat. Nezzus) (prod. XanBoy & Jay$wish)",A song uploaded around the time during the NezzusDestroyed 2 era.,2:12,Date needed,Single,No,https://soundcloud.com/xanboy1k/nohookiv?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
NezzusDestroyed 2,"No Hook 2
(feat. Nezzus) (prod. KapeThaGoat)","The second installment for the song ""No Hook.""",2:02,Date needed,Single,No,https://soundcloud.com/trendsetterslime/nezzus-x-lone-no-hook-2-prodkapethagoat?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
NezzusDestroyed 2,"Nezzus - Revenge
(with Destroy Lonely) (prod. Levi Thomas)","A song uploaded around the time after the NezzusDestroyed era, supposedly being ""NezzusDestroyed 2"".",2:21,Date needed,Single,No,https://soundcloud.com/trendsetterslime/klips-nezzus-x-lone-prod-levi-thomas?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
NezzusDestroyed 2,"FenderBender [Music Video]
(dir. openlensmatt)",Music video for FenderBender.,1:30,"Aug 10, 2018",Music Video,No,https://www.youtube.com/watch?v=LCHsVSzHQ6Q
NezzusDestroyed 2,No Hook 2 [Music Video],Music video for No Hook 2,3:16,N/A,Music Video,No,Link Needed
"0 Album Track(s)
18 Single(s)
6 Feature(s))
7 Mixtape Track
0 EP Track",Darkhorse,"(Feb 4, 2018) (NezzusDestroyed officially releases)
(Mar 12, 2019) (Darkhorse officially releases)",,,,"""Darkhorse"" is the first mixtape released by Destroy Lonely in 2019 after his collab project with Nezzus.",
Darkhorse,"Nezzus - Beat It Intro
(with Destroy Lonely) (prod. Marshiee)",Track 1 on Nezzus 3.,1:19,"May 25, 2018",Feature,No,https://soundcloud.com/trendsetterslime/beat-it-intro-nezzus-x-lone-prod-s?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Darkhorse,"Nezzus - OneMan Army
(with Destroy Lonely)",Track 4 on Nezzus 3.,2:13,Date needed,Feature,No,https://soundcloud.com/trendsetterslime/oneman-army-feat-lone-prod-s?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Darkhorse,"Hezelaflare - Bands 2
(with Destroy Lonely & Nezzus) (prod. Marshie)",A song uploaded around the time during the Darkhorse era.,3:06,Date needed,Feature,No,https://soundcloud.com/hezelaflare/heze-lone-southsidenezzus-bandz-2-prod-marsh?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Darkhorse,"slatt
(feat. Hezelaflare) (prod. Wakeupnas)",A song uploaded around the time during the Darkhorse era.,2:22,Apr 2018,Single,No,https://soundcloud.com/foreverempty/lone-heze-racks?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Darkhorse,"green
(feat. Hezelaflare) (prod. Wakeupnas)",A song uploaded around the time during the Darkhorse era.,2:22,"Jun 27, 2018",Single,No,https://soundcloud.com/destroylonely/lone-heze-green-prodwakeupnas?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Darkhorse,"ya dig
(feat. Hezelaflare) (prod. Wakeupnas)",A song uploaded around the time during the Darkhorse era.,2:56,Date needed,Single,No,https://pillows.su/f/2fd675322331b93937df600e4fc9f065
Darkhorse,"end
(feat. Hezelaflare)",The song was uploaded on SoundCloud via Hitechstef but since been taken down.,1:57,Date needed,Single,No,https://pillows.su/f/6d14c406cb6343007978f24398f9195d
Darkhorse,"Ceilings 3
(feat. Hezelaflare) (prod. SadBalmain)",A song uploaded around the time during the Darkhorse era.,2:11,Date needed,Single,No,https://pillows.su/f/81ad8f43041f213d712e24449ae09209
Darkhorse,"more
(feat. Hezelaflare) (prod. ​​pearlblade)",The song was uploaded on SoundCloud via Hitechstef but since been taken down.,2:05,Date needed,Single,No,https://pillows.su/f/278e6b4fab96d9735ca3a9d983e2b531
Darkhorse,"percs
(prod. Dabful & King LeeBoy)",A song uploaded around the time during the Darkhorse era.,1:28,"Apr 12, 2018",Single,No,https://pillows.su/f/ab3044481082f5484a0d1e7536e11a50
Darkhorse,"✨ Geekin
(prod. Marsh Beats)",A song uploaded around the time during the Darkhorse era.,2:13,"May 7, 2018",Single,No,https://pillows.su/f/10a9245f0a6ba69e948b7c5f34963085
Darkhorse,"🗑️ UP
(prod. Levi Thomas)",A song uploaded around the time during the Darkhorse era.,2:33,Date needed,Single,No,https://soundcloud.com/benhoncho/destroy-lonely-up-prod-levi-thomas?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Darkhorse,"Wat It Is
(prod. Callari & Cody Kimb)",A song uploaded around the time during the Darkhorse era.,2:18,"Jul 30, 2018",Single,No,https://soundcloud.com/destroylonely/wat-it-is-prod-callari-cody-kimb?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Darkhorse,"🗑️ Starry Carson - Fear
(feat. Destroy Lonely) (prod. Callari)",A feature uploaded around the time during the Darkhorse era.,2:10,"Aug 14, 2018",Feature,No,https://soundcloud.com/carsontheangel/fear-feat-lonely-prod-callari?in=carsontheangel/sets/six-stars-in-the-sky
Darkhorse,"BASED SAVAGE - Goonery
(feat. Destroy Lonely) (prod. JVLES)",A feature uploaded around the time during the Darkhorse era.,1:58,"Aug 14, 2018",Feature,No,https://soundcloud.com/basedsavage3600/based-savage-destroy-lonely-goonery-prodjvles?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Darkhorse,"10KDunkin - CHANCES [TrapMoneyMelo]
(feat. JWitDaBeam & Destroy Lonely)",A feature uploaded around the time during the Darkhorse era.,3:02,Date needed,Feature,No,https://soundcloud.com/10kdunk/chances-trapmoneymelo-10kdunkin-x-jwitdabeam-x-destroy-lonely?in=somewareoffk/sets/pluglone
Darkhorse,"ggi 
(prod. Overxted)",A song uploaded around the time during the Darkhorse era. Flow & vocal inflections are very similar to the one used on older songs such as 'ON GO',3:19,Date needed,Single,No,https://pillows.su/f/cb3dd9bb290f8d3015d559e98ec1d182
Darkhorse,"✨ Ari's Interlude
(prod. Kimpie)",A song uploaded around the time during the Darkhorse era.,1:43,Date needed,Single,No,https://pillows.su/f/fe8904702ef758314ae9142c6b74901d
Darkhorse,"freestyle.
(with TAN.)",A song uploaded around the time during the Darkhorse era.,2:40,Date needed,Single,No,https://pillows.su/f/8414011b0957681609bba5914fa55148
Darkhorse,"B Note (Free Smoke)
(prod. 13hoee)",A song uploaded around the time during the Darkhorse era.,1:10,"Oct 14, 2018",Single,No,https://pillows.su/f/bc8c8c2b625d5d45ca7d50e29953e2b7
Darkhorse,"4seasons
(prod. zJakkies)","The lead single for Darkhorse, later track 4 on Darkhorse.",3:25,"Jan 11, 2019",Single,Yes,https://open.spotify.com/track/1jmKb8GFVDzCKytywIMfpG?si=611a1ba99dce4f13
Darkhorse,"Murder
(prod. 4ME)",A song uploaded around the time during the Darkhorse era.,2:25,"Jan 28, 2019",Single,No,https://pillows.su/f/e6b2b1b6c7b3fdce8ad57e53e0c75a51
Darkhorse,In Me,A song uploaded around the time during the Darkhorse era.,2:50,Date needed,Single,No,https://pillows.su/f/de76021ef855df40a5a4778e751268cb
Darkhorse,"plea
(prod. Theory)",A song uploaded around the time during the Darkhorse era.,3:13,"Mar 7, 2019",Single,Yes,https://open.spotify.com/track/01vZzkVgsLedQr21GcQkkO?si=973d83a3a26248ab
Darkhorse,"eazy
(prod. zJakkies)",Track 1 on Darkhorse.,2:54,"Mar 12, 2019",Mixtape Track,Yes,https://open.spotify.com/track/3a5noMiwGooGQIN9OJRsju?si=18fb2039041a49fb
Darkhorse,place,Track 2 on Darkhorse.,2:03,"Mar 12, 2019",Mixtape Track,Yes,https://open.spotify.com/track/2NO6WGB2XO4g5xdqNKPNph?si=e4ac1aeb73774ae8
Darkhorse,"different drugz
(prod. Marsh Beats)",Track 3 on Darkhorse.,3:35,"Mar 12, 2019",Mixtape Track,Yes,https://open.spotify.com/track/3rZi5mbpqujmrlBt40tZ4T?si=bd91346f8069449c
Darkhorse,⭐ guap glock nd sticks,Track 5 on Darkhorse.,2:37,"Mar 12, 2019",Mixtape Track,Yes,https://open.spotify.com/track/18zq8Mhmli8wwlfTey9oMv?si=bcf428230a774860
Darkhorse,"✨ trapped on marz
(feat. Nezzus) (prod. JBand$ & Xanboy)",Track 6 on Darkhorse.,3:06,"Mar 12, 2019",Mixtape Track,Yes,https://open.spotify.com/track/5Ah5TnEZO19f8kzjFY19MG?si=072093e01ef74c62
Darkhorse,"⭐ vvs valentine
(prod. DevlaFuego & Cincoo London)",Track 7 on Darkhorse.,2:23,"Mar 12, 2019",Mixtape Track,Yes,https://open.spotify.com/track/3OmY3tRZb6XPpeRyh6xORr?si=b936e3606d5842e1
Darkhorse,"frank lucas
(prod. Marsh Beats)",Track 8 on Darkhorse.,1:58,"Mar 12, 2019",Mixtape Track,Yes,https://open.spotify.com/track/5mwzX4KHeDQwEipSzLScrw?si=10b56d263c494a9e
Darkhorse,"Green [Music Video]
(dir. Darko)",Official MV for Green,2:13,"Jul 14, 2018",Music Video,No,https://www.youtube.com/watch?v=iUYhqGL4NcQ&list=PLW_aRjT4jxQtRkz6bX8cvTW-TQhiifnyz&index=6
Darkhorse,"VVS Valentine [Music Video]
(dir. Byvdot)",Official MV for track 7 on Darkhorse,2:21,Date Needed,Music Video,No,https://www.youtube.com/watch?v=lZBGHYRqc5Y
Darkhorse,"Plea [Music Video]
(dir. SKELETON)",Official MV for Plea,3:21,"May 23, 2019",Music Video,No,https://www.youtube.com/watch?v=JHyI7WX6Srk
"0 Album Track(s)
1 Single(s)
0 Feature(s))
0 Mixtape Track
4 EP Track",Sometimes U Lose..,"(Mar 12, 2019) (Darkhorse officially releases)
(Apr 26, 2019) (Sometimes U Lose.. officially releases)",,,,"""Sometimes U Lose.."" is the first extended-play released by Destroy Lonely in 2019.",
Sometimes U Lose..,"Out The Way
(prod. Marsh Beats)","OG Filename: lone otw
Released by Destroy Lonely in April 2019.",2:05,"Apr 5, 2019",Single,Yes,https://open.spotify.com/track/4Dua6q78ACw8EbQ61i4dSX?si=3623b2b091724772
Sometimes U Lose..,"ya dig freestyle
(prod. Marsh Beats)","OG Filename: lonely ya dig freestyle
Track 1 on Sometimes U Lose..",2:14,"Apr 26, 2019",EP Track,No,https://pillows.su/f/f52f7bc9085ea1de65ddbfcdd144cf21
Sometimes U Lose..,"M.I.S
(prod. Theory)","OG Filename: lone moments in space
Track 2 on Sometimes U Lose..",2:35,"Apr 26, 2019",EP Track,No,https://pillows.su/f/6cb3f16e9c574d2b23c62163362e7b34
Sometimes U Lose..,"molly mileage (interlude)
(prod. Flexiko)","OG Filename: lone molly milage
Track 3 on Sometimes U Lose..",1:30,"Apr 26, 2019",EP Track,No,https://pillows.su/f/39b3ffa50a84238cd383eb1c297aca1f
Sometimes U Lose..,"✨ alone
(prod. Marsh Beats)","OG Filename: lone alone 2
Track 4 on Sometimes U Lose..",3:05,"Apr 26, 2019",EP Track,No,https://pillows.su/f/fe37e87ad2486cc5241fd5290f8972aa
Sometimes U Lose..,"M.I.S [Music Video]
(dir. Byvdot)",Official MV for track 2 on Sometimes U Lose..,2:!1,"Aug 9, 2019",Music Video,No,https://www.youtube.com/watch?v=If59UqHhVXE
"0 Album Track(s)
4 Single(s)
0 Feature(s))
0 Mixtape Track
6 EP Track","Forever, ILY
(Forever, I Love You.)","(Apr 26, 2019) (Sometimes U Lose.. officially releases)
(Aug 23, 2019) (Forever, ILY officially releases)",,,,"After releasing his EP ""Sometimes U Lose..,"" Destroy Lonely goes on to release his best EP during his early music career, ""Forever, ILY.""",
"Forever, ILY","🗑️ Bag
(prod. Cortdot & Popstar Benny)","OG Filename: LANDR-lonely bag (FDO) ppstar benny 2-High-Balanced
Uploaded by the producer of the song.",2:39,Date needed,Single,No,https://soundcloud.com/crtdot/lone-bag-prod-cortdot-popstar-benny?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
