Era,Name,Track Number / Info,Track Length,Release Date,Type,Streaming,Link(s)
The Massacre,"Eminem - Hail Mary
(feat. 50 Cent & Busta Rhymes) (prod. Hurt-M-Badd)","Track #6 on ""Invasion Part II: Conspiracy Theory"".",3:46,"Apr 15, 2003",Feature,No,https://mega.nz/folder/0lJFHagJ#3tKui_P2n1BtLwLw_cKXQQ/file/UwhzmCxR
The Massacre,"Eminem - Never Enough
(feat. 50 Cent & Nate Dogg) (prod. Dr. Dre & Mike Elizondo)","Track #3 on ""Encore"". Recorded sometime in October 2003.",2:39,"Nov 12, 2004",Feature,Yes,https://open.spotify.com/album/7tsXPtLqhab1zWeubbf6JH
The Massacre,"Eminem - Spend Some Time
(feat. Obie Trice, Stat Quo & 50 Cent) (prod. Eminem, Luis Resto & Steve King)","Track #15 on ""Encore"". Recorded May 2002, Stat Quo was likely added sometime later.",5:10,"Nov 12, 2004",Feature,Yes,https://open.spotify.com/album/7tsXPtLqhab1zWeubbf6JH
The Massacre,"Lil' Kim - Magic Stick
(feat. 50 Cent) (prod. Sha Money XL & Phantom Of The Beat)","Track #12 on ""La Bella Mafia"". Later released as a single. Originally meant for Get Rich or Die Tryin'.",6:00,"Mar 4, 2003",Feature / Single,Yes,https://open.spotify.com/track/0aULRU35N9kTj6O1xMULRR?si=565100566a3940f6
The Massacre,"Lloyd Banks - Warrior Part 2
(feat. Eminem, 50 Cent & Nate Dogg) (prod. Eminem)","Track #9 on ""The Hunger For More"".",3:37,"Jun 29, 2004",Feature,Yes,https://open.spotify.com/track/1kSSWsWZuCcrlgVpb5yKYn?si=674c3cae04ff41f8
The Massacre,"Lloyd Banks - On Fire
(feat. 50 Cent) (prod. K1 Mil, Eminem & Luis Resto)","Track #4 on ""The Hunger For More"".",3:07,"Jun 29, 2004",Feature / Single,Yes,https://open.spotify.com/track/0B2ZuTLZnWQ6gz8RlNwBu1?si=79c946e51efe4bfb
The Massacre,"Obie Trice - We All Die One Day
(feat. 50 Cent, Eminem & Lloyd Banks) (add. Tony Yayo) (prod. Eminem)","Track #10 on ""Cheers"".",5:29,"Sep 23, 2003",Feature,Yes,https://open.spotify.com/track/5rurZZeggozpAZIHbI55cm?si=895fc91036de4300
The Massacre,"Young Buck - DPG-Unit
(feat. Snoop Dogg, Daz Dillinger, Soopafly, 50 Cent & Lloyd Banks) (prod. Black Jeruz & Sha Money XL)",Track #15 on Straight Outta Cashville (UK/Special Edition). Later released on Grand Theft Auto: G-Unit City by DJ Whoo Kid with only Buck & Snoop. The only released DPG-Unit song to date.,4:06,"Aug 24, 2004",Feature / Bonus Track,No,https://pillows.su/f/03b80b98f241c0108ea63d6e6a7c65b4
The Massacre,"Young Buck - I'm A Soldier
(feat. 50 Cent) (prod. Dre & Vidal & Felony)","Track #1 on ""Straight Outta Cashville"".",3:34,"Aug 24, 2004",Feature / Single,Yes,https://open.spotify.com/track/7IBCS9rG4NxCWvLgc5ZShq?si=024d8676693b4ecc
The Massacre,"Young Buck - Let Me In
(feat. 50 Cent) (prod. Needlz)",Track #3 on Straight Outta Cashville. Released as the lead single. 50 is often uncredited.,3:44,"Jul 2, 2004",Feature,Yes,https://open.spotify.com/track/6qkZ6D3ogNyW2YDWsz7e3z?si=1185e8dd99ee4c49
The Massacre,"Young Buck - Bonafide Hustler
(feat. 50 Cent & Tony Yayo) (prod. Diverse)",Track #7 on Straight Outta Cashville.,4:16,"Aug 24, 2004",Feature,Yes,https://open.spotify.com/track/5ahQr1nolVS0BpdshGFcl3?si=ece8b116bbe547a9
,Non-Album Tracks,,,,,,
The Massacre,"Unconditionally
(with G-Unit) (feat. Olivia) (prod. Megahertz)","Track #7 on the soundtrack ""Barbershop 2: Back In Bussiness"". Originally a leftover from Beg For Mercy.",3:39,"Feb 3, 2004",OST Track,Yes,https://open.spotify.com/track/2ndVbpjBFHlqPWDGCeQItz?si=8fafc5d1100044bd
"19 Total
4 Single / OST Track(s)
14 OST Track(s)
1 Bonus Track(s)","Get Rich Or Die Tryin' Soundtrack
(Collaboration with Various Artists)","(04/11/2005) (Filming of Get Rich Or Die Tryin' begins)
(09/08/2005) (Get Rich Or Die Tryin' Soundtrack is released.)",,,"Get Rich or Die Tryin': Music from and Inspired by the Motion Picture is the soundtrack to the 2005 film of the same name, released on November 8, 2005, on Interscope Records and 50 Cent's G-Unit Records. It features artists on the G-Unit label such as 50 Cent (who also executive produced the album), Lloyd Banks, Young Buck, Tony Yayo, Olivia, and Mobb Deep.",,
,Album Tracks,,,,,,
Get Rich Or Die Tryin' OST,"Hustler's Ambition
(with 50 Cent) (prod. B-Money)",Track #1 on the Get Rich Or Die Tryin' Soundtrack. Lead single to OST.,3:57,"Oct 11, 2005",Single / OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"What If
(with 50 Cent) (prod. Nick Speed)",Track #2 on the Get Rich Or Die Tryin' Soundtrack.,3:05,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"Things Change
(with Spider Loc, 50 Cent & Lloyd Banks) (prod. Black Jerz & Sha Money XL)",Track #3 on the Get Rich Or Die Tryin' Soundtrack.,3:59,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"You Already Know
(with 50 Cent, Lloyd Banks & Young Buck) (prod. The Outfit)",Track #4 on the Get Rich Or Die Tryin' Soundtrack.,4:15,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"When Death Becomes You
(with M.O.P. & 50 Cent) (prod. The Kickdrums)",Track #5 on the Get Rich Or Die Tryin' Soundtrack.,3:05,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"Have A Party
(with Mobb Deep, 50 Cent & Nate Dogg) (prod. FredWreck)","Track #6 on the Get Rich Or Die Tryin' Soundtrack, later re-released on March 2, 2006, as the first single to Mobb Deep's ""Blood Money"" album and 4th single of the GRODT Sountrack.",3:55,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"We Both Think Alike
(with 50 Cent & Olivia) (prod. DJ Khalil)",Track #7 on the Get Rich Or Die Tryin' Soundtrack.,3:05,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"Don't Need No Help
(with Young Buck) (prod. Hi-Tek & J.R.)",Track #8 on the Get Rich Or Die Tryin' Soundtrack.,2:50,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"Get Low
(perf. Lloyd Banks) (prod. The Big Beat Maker)","Track #9 on the"" Get Rich Or Die Tryin' Soundtrack"". Originally meant for ""The Big Withdraw"" before it leaked.",3:56,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"Fake Love
(perf. Tony Yayo) (prod. K.O.)",Track #10 on the Get Rich Or Die Tryin' Soundtrack.,3:20,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"Window Shopper
(perf. 50 Cent) (prod. Sire & C. Styles)",Track #11 on the Get Rich Or Die Tryin' Soundtrack. Second single.,3:10,"Nov 6, 2005",Single / OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"Born Alive, Die Alone
(perf. Lloyd Banks) (prod. Havoc)","Track #12 on the Get Rich Or Die Tryin' Soundtrack. Originally meant for ""The Big Withdraw"" under ""It's Ok"" before it leaked.",3:00,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"You A Shooter
(perf. Mobb Deep & 50 Cent) (prod. Sha Money XL)",Track #13 on the Get Rich Or Die Tryin' Soundtrack.,3:05,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"I Don't Know Officer
(with 50 Cent, Lloyd Banks, Prodigy, Spider Loc & Ma$e) (prod. Jake One)","Track #14 on the Get Rich Or Die Tryin' Soundtrack, posse cut themed around the Stop Snitching campaign.",4:32,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"Talk About Me
(with 50 Cent) (prod. Dr. Dre & Mike Elizondo)",Track #15 on the Get Rich Or Die Tryin' Soundtrack.,3:41,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"When It Rains It Pours
(with 50 Cent) (prod. Dr. Dre, Che Pope & Mike Elizondo)",Track #16 on the Get Rich Or Die Tryin' Soundtrack.,4:02,"Nov 8, 2005",OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"Cloud 9
(with 50 Cent & Olivia) (prod. DJ Khalil)",Track #17 on some versions of the Get Rich Or Die Tryin' Soundtrack.,4:40,"Nov 8, 2005",Bonus Track,No,
Get Rich Or Die Tryin' OST,"Best Friend
(with 50 Cent) (prod. Hi-Tek)",Track #17/18 on some versions of the Get Rich Or Die Tryin' Soundtrack.,4:11,"Nov 8, 2005",Single / OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
Get Rich Or Die Tryin' OST,"I'll Whip Ya Head Boy
(with 50 Cent & Young Buck) (prod. Ron Browz)","Track #18/19 on some versions of the Get Rich Or Die Tryin' Soundtrack. Later released as a single on May 24, 2006. Also released as a B-Side to Window Shopper by 50 Cent.",3:56,"Nov 8, 2005",Single / OST Track,Yes,https://open.spotify.com/album/5D2CHiTlb8MXWJsZWXjkZf?si=SQRt7cRrS4K2I3VwuuemEA
"24 Total
1 Intro(s)
10 Album Track(s)
6 Single / Album Track(s)
1 Feature / Single(s)
3 Feature(s)
3 Compilation Track(s)","Curtis
(Curtis S.S.K., Before I Self Destruct)","(03/03/2005) (The Massacre officially releases)
(09/11/2007) (Curtis officially releases)",,,,,
,Album Tracks,,,,,,
Curtis,"Intro (Curtis)
(prod. 50 Cent & Eminem)",Track #1 on Curtis.,0:50,"Sep 11, 2007",Intro,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"My Gun Go Off
(prod. Adam Deitch & Eric Krasno)",Track #2 on Curtis.,3:12,"Sep 11, 2007",Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"Man Down (Censored)
(prod. Detroit Red & DJ Don Cannon)",Track #3 on Curtis.,2:49,"Sep 11, 2007",Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"I'll Still Kill
(feat. Akon) (prod. DJ Khalil)
(Still Will, Down)","Track #4 on Curtis, later released as the 5th single. Originally a Bishop Lamont track, ""Down"", featuring Kobe.",3:43,"Sep 11, 2007",Single / Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"I Get Money
(prod. Apex)
(Straight To The Bank Pt. 2)","Third single from Curtis, track #5 on the album. Also known as ""Straight To The Bank pt. 2"" cause it was was originally supposed to be a remix to ""Straight to the Bank"", but due to major publicity the song became a single and song by itself.",3:43,"Jun 30, 2007",Single / Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"Come & Go
(feat. Dr. Dre) (prod. Dr. Dre)","Track 6 on Curtis. Includes keys by Mark Batson and Dawaun Parker. Samples ""Just Be Good"" to Me by The S.O.S. Band.",3:28,"Sep 11, 2007",Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"Ayo Technology 
(feat. Justin Timberlake & Timbaland) (prod. Danja & Timbaland)
(Ayo Pornography, She Wants It)","Fourth single from Curtis, track #7 on the album.",4:08,"Jul 24, 2007",Single / Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"Follow My Lead
(feat. Robin Thicke) (prod. Tha Bizness)","Track #8 on Curtis. (MV released earlier iirc, around august, have to research)",3:17,"Sep 11, 2007",Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"Movin' On Up
(prod. Jake One)",Track #9 on Curtis.,3:24,"Sep 11, 2007",Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"Straight To The Bank
(prod. Ty Fyffe & Dr. Dre)","Second single from Curtis, Track #10 on the album.",3:10,"Jun 29, 2007",Single / Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"Amusement Park
(prod. Dangerous LLC)","Lead single from Curtis, track #11 on the album. The beat was originally used by Jim Jones on ""Your Majesty"". From February 2006.",3:09,"May 8, 2007",Single / Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"Fully Loaded Clip
(prod. Havoc)","B-Side of the Amusement Park single, track #12 on Curtis.",3:13,"May 8, 2007",Single / Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"Peep Show
(feat. Eminem) (prod. Eminem)",Track #13 on Curtis.,3:52,"Sep 11, 2007",Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"Fire
(feat. Young Buck & Nicole Scherzinger) (prod. Dr. Dre)",Track #14 on Curtis.,2:49,"Sep 11, 2007",Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"All of Me
(feat. Mary J. Blige) (prod. Jake One)",Track #15 on Curtis.,3:51,"Sep 11, 2007",Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"Curtis 187
(prod. Havoc)","Track #16 on Curtis, originally recorded back in 2003 after playing ""God Gave Me Style"" to his grandmother.",3:57,"Sep 11, 2007",Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"Touch The Sky 
(feat. Tony Yayo) (prod. Keyon Harrold)",Track #17 on Curtis.,3:09,"Sep 11, 2007",Album Track,Yes,https://open.spotify.com/album/5VfBwkAoSsQwtZjPU0Gr7h?si=dAXF9OdATc6_2ORBM0Jeow
Curtis,"Smile, I'm Leaving",Track #18 on Curtis.,,,,No,
,Features,,,,,,
Curtis,"Lloyd Banks - Hands Up 
(feat. 50 Cent) (prod. Eminem, C-Styles & Luis Resto)","Track #6 on ""Rotten Apple"".",4:00,"Jul 25, 2006",Feature / Single,Yes,https://open.spotify.com/track/2GlhJyZRWP3MnSXOvnovIa?si=ad24ee68d1d1436f
Curtis,"Lloyd Banks - Rotten Apple
(feat. 50 Cent & Prodigy) (prod. Havoc & Sha Money XL)","Track #1 on ""Rotten Apple"".",4:27,"Oct 10, 2006",Feature,Yes,https://open.spotify.com/track/4LWOizonzWdvRPhEgmbih4?si=80dcbf5e480e4fab
Curtis,"Obie Trice - Everywhere I Go
(feat. 50 Cent) (add. Eminem) (prod. Eminem & Luis Resto)",Track #17 from Second Round's On Me. Em has a layer on the hook.,3:41,"Aug 15, 2006",Feature,Yes,https://open.spotify.com/track/2BQKLUSwXMAiVIQBRwrltT?si=9c1b79b528764124
Curtis,"Proof - Forgive Me
(feat. 50 Cent) (prod. Sicknotes)","Track #5 on ""Searching For Jerry Garcia"". Interpolates the hook from ""Ghetto Qu'ran (Forgive Me)"".",4:12,"Aug 9, 2005",Feature,Yes,https://open.spotify.com/track/5hhUIEf5uoiztopZxKsqlA?si=032e1abd5f544ca8
,Non-Album Tracks,,,,,,
Curtis,"The Re-Up
(with Eminem & 50 Cent) (prod. Eminem & Luis Resto)",Track #6 on The Re-Up.,2:57,"Dec 5, 2006",Compilation Track,Yes,https://open.spotify.com/album/6NeJONAsrs5xp24Jnkr4K0
Curtis,"You Don't Know
(with 50 Cent, Eminem, Ca$his & Lloyd Banks) (add. Tony Yayo) (prod. Eminem & Luis Resto)",Track #7 on The Re-Up. Tony Yayo does uncredited vocals throughout the track.,4:17,"Nov 5, 2006",Compilation Track,Yes,https://open.spotify.com/album/6NeJONAsrs5xp24Jnkr4K0
Curtis,"Jimmy Crack Corn
(with Eminem & 50 Cent) (prod. Eminem & Luis Resto)",Track #8 on The Re-Up.,3:54,"Dec 5, 2006",Compilation Track,Yes,https://open.spotify.com/album/6NeJONAsrs5xp24Jnkr4K0
"17 Total
13 Album Track(s)
3 Single / Album Track(s)
1 Bonus Track(s)","T.O.S. (Terminate On Sight)
(Collaboration with Lloyd Banks, Tony Yayo & Young Buck as G-Unit)
(Shoot To Kill, Lock & Load)","(??/??/2007) (The album begins production)
(6/24/2008) (Original release date)
(07/01/2008) (T.O.S. (Terminate On Sight) officially releases)",,,"T.O.S. (Terminate on Sight) is the second and final studio album by rap group G-Unit. It was the group's first album in five years since their previous album, Beg for Mercy. The title of the album was originally announced to be Shoot to Kill and then Lock & Load, with the eventual name being Terminate on Sight. The album was originally scheduled to be released on June 24, 2008, but was rescheduled to July 1.",,
,Album Tracks,,,,,,
Terminate On Sight,"Straight Outta Southside
(prod. Ron Browz)",Track #1 on Terminate On Sight.,2:36,"Jul 1, 2008",Album Track,Yes,
Terminate On Sight,"Piano Man
(feat. Young Buck) (prod. The Bizness)",Track #2 on Terminate On Sight.,3:21,"Jul 1, 2008",Album Track,Yes,
Terminate On Sight,"Close To Me
(prod. C-Styles)",Track #3 on Terminate On Sight.,4:18,"Jul 1, 2008",Single / Album Track,Yes,
Terminate On Sight,"Rider Pt. 2
(feat. Young Buck) (prod. Rick Rock)",Track #4 on Terminate On Sight.,2:48,"Jul 1, 2008",Single / Album Track,Yes,
Terminate On Sight,"Casualties of War
(prod. Ky Miller)",Track #5 on Terminate On Sight.,3:19,"Jul 1, 2008",Album Track,Yes,
Terminate On Sight,"You So Tough
(prod. Ky Miller)",Track #6 on Terminate On Sight.,3:46,"Jul 1, 2008",Album Track,Yes,
Terminate On Sight,"No Days Off
(prod. Dual Output)",Track #7 on Terminate On Sight.,3:54,"Jul 1, 2008",Album Track,Yes,
Terminate On Sight,"T.O.S.
(prod. Ty Fyffe)",Track #8 on Terminate On Sight.,4:11,"Jul 1, 2008",Album Track,Yes,
Terminate On Sight,"I Like The Way She Do It
(feat. Young Buck) (prod. Street Radio)",Track #9 on Terminate On Sight.,3:52,"Jul 1, 2008",Single / Album Track,Yes,
Terminate On Sight,"Kitty Kat
(prod. Hit-Boy)",Track #10 on Terminate On Sight.,3:48,"Jul 1, 2008",Album Track,Yes,
Terminate On Sight,"Party Ain't Over
(feat. Young Buck) (prod. Damien Taylor)",Track #11 on Terminate On Sight.,3:30,"Jul 1, 2008",Album Track,Yes,
Terminate On Sight,"Let It Go
(feat. Mavado) (prod. Don Cannon)",Track #12 on Terminate On Sight.,3:06,"Jul 1, 2008",Album Track,Yes,
Terminate On Sight,"Get Down
(prod. Swizz Beatz)",Track #13 on Terminate On Sight.,3:47,"Jul 1, 2008",Album Track,Yes,
Terminate On Sight,"I Don't Wanna Talk About It
(prod. Jake One)",Track #14 on Terminate On Sight.,4:34,"Jul 1, 2008",Album Track,Yes,
Terminate On Sight,"Ready Or Not
(prod. Jake One)",Track #15 on Terminate On Sight.,3:38,"Jul 1, 2008",Album Track,Yes,
Terminate On Sight,"Money Make The World Go Round
(prod. Ron Browz)",Track #16 on Terminate On Sight.,4:14,"Jul 1, 2008",Album Track,Yes,
Terminate On Sight,"Chase Da Cat
(prod. The Chase & Kadis)",Track #17 on the iTunes version of Terminate On Sight.,3:43,"Jul 1, 2008",Bonus Track,No,https://www.youtube.com/watch?v=WmXiHbX7ptY&list=RDWmXiHbX7ptY&start_radio=1
"24 Total
13 Album Track(s)
2 Single / Album Track(s)
3 Bonus Track(s)
3 Single(s)
2 Feature(s)
1 Remix(s)",Before I Self Destruct,"(09/11/2007) (Curtis officially releases)
(11/09/2009) (Before I Self Destruct officially releases)",,,,,
,Album Tracks,,,,,,
Before I Self Destruct,"The Invitation
(prod. Ty Fyffe & Manny Perez)",Track #1 on Before I Self-Destruct.,2:54,"Nov 9, 2009",Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Then Days Went By
(prod. Lab Ox & Vikaden)",Track #2 on Before I Self-Destruct.,3:44,"Nov 9, 2009",Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Death To My Enemies
(prod. Dr. Dre & Mark Batson)",Track #3 on Before I Self-Destruct.,3:46,"Nov 9, 2009",Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"So Disrespectful
(prod. Tha Bizness)",Track #4 on Before I Self-Destruct. Disstrack on Game & Young Buck.,3:39,"Nov 9, 2009",Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Psycho
(feat. Eminem) (prod. Dr. Dre)",Track #5 on Before I Self-Destruct.,4:45,"Nov 9, 2009",Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Hold Me Down
(prod. J-Keys & Team Ready)",Track #6 on Before I Self-Destruct.,3:19,"Nov 9, 2009",Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Crime Wave
(prod. Team Demo)",Track #7 on Before I Self-Destruct.,3:44,"Nov 9, 2009",Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Stretch
(prod. Rick Rock)",Track #8 on Before I Self-Destruct.,4:07,"Nov 9, 2009",Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Strong Enough
(prod. Nascent & QB Da Problem)",Track #9 on Before I Self-Destruct.,3:02,"Nov 9, 2009",Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Get It Hot
(prod. Black Key)",Track #10 on Before I Self-Destruct.,2:59,"Nov 9, 2009",Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Gangsta's Delight
(prod. Havoc)",Track #11 on Before I Self-Destruct.,3:14,"Nov 9, 2009",Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"I Got Swag
(prod. Dual Output)",Track #12 on Before I Self-Destruct.,3:34,"Nov 9, 2009",Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Baby By Me
(feat. Ne-Yo) (prod. Polow da Don)","Lead single of ""Before I Self Destruct"", track #13 on the album.",3:33,"Nov 9, 2009",Single / Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Do You Think About Me
(feat. Governor) (prod. Rockwilder)",Track #14 on Before I Self-Destruct.,3:26,"Nov 9, 2009",Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Ok, You're Right
(prod. Dr. Dre & Mark Batson)
(OK, Alright)","Released as the first promotional single to ""Before I Self Destruct"", track #15 on the album, track #3 on ""War Angel LP"" and for some reason track #4 on Tony Yayo's mixtape ""Swine Flu"".",3:04,"Nov 9, 2009",Single / Album Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Could've Been You
(feat. R. Kelly) (prod. DJ Khalil)","Track #16 on Before I Self-Destruct, listed as a bonus track on all versions.",4:20,"Nov 9, 2009",Bonus Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Flight 187
(prod. Phonix Beats)",Track #17 on Before I Self-Destruct. Japan/iTunes bonus track.,4:12,"Nov 9, 2009",Bonus Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
Before I Self Destruct,"Man's World
(prod. Ky Miller)",Track #18 on Before I Self-Destruct. Removed from clean version of the album.,2:52,"Nov 9, 2009",Bonus Track,Yes,https://open.spotify.com/album/4kaCrosmqvvrPUEAwcnC3s?si=Bz1o3fMRQHS-2YSEKCKeYg
,Features,,,,,,
Before I Self Destruct,"Eminem - Crack A Bottle [V1]
(feat. Dr. Dre & 50 Cent) (prod. Dr. Dre)","Recorded on December 12, 2008. Lacks the Steve Berman transition. Later released on ""Curtain Call 2"".",4:57,"Feb 2, 2009",Single,Yes,https://open.spotify.com/track/0ltIb83VBPvnGDKg7axXej?si=e45883c8bb1442f5
