Era,Name,Notes,Image / Length,Date Made,Type,Available Length,Quality,Link(s)
LANA [V1],Unused Album Covers,"SZA shared six unique, possible album covers for her then-upcoming project Lana, which was still considered her third studio album at the time. These would be discarded as the album was reworked, in favor of a new cover which was more in-line with the overall concept.

SZA via Instagram posts (12/10/2023):
""LANA""",N/A,"Dec 9, 2023",Cover Art,Confirmed,High-Res,"https://www.instagram.com/sza/p/C0sfcTWrr1B/
https://www.instagram.com/sza/p/C0sfe1BL0zu/
https://www.instagram.com/sza/p/C0sfvjrrr87/
https://www.instagram.com/sza/p/C0sf0Vur1Zg/
https://www.instagram.com/sza/p/C0sf3nfLWES/
https://www.instagram.com/sza/p/C0sf8MPrv7Y/"
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable","LANA [V2]
(SOS Deluxe: LANA, Lana: SOS Deluxe)","(12/09/2024) (SOS Deluxe: LANA is officially announced)
(12/20/2024) (SOS Deluxe: LANA is officially released)",,,"Lana (fully titled SOS Deluxe: Lana) is the reissue of SOS, the second studio album by American singer-songwriter SZA. It was released on December 20, 2024, through Top Dawg Entertainment and RCA Records. It features a single guest appearance from Kendrick Lamar. The album was supported by the singles ""Saturn"", released on February 22, and ""Drive"", released concurrently with the album itself.",,,
,Music Videos,,,,,,,
LANA [V2],Asparagus [Music Video],"Since it is suspected there will be single releases for Lana: SOS Deluxe, many are speculating that there may be a music video for ""Asparagus"". It is starred on the track list whiteboard alongside ""Brace Yourself"" which has already been confirmed to have a music video in 2019.",N/A,,Music Video,Rumored,Not Available,N/A
LANA [V2],Diamond Boy (DTM) [Music Video],"The second version of the ""Diamond Boy"" music video which was re-recorded and edited in April 2024, where SZA initially teased it on Instagram on 4/7/2024. On 12/13/2024, SZA uploaded two separate snippets of the new music video with an updated mix song. She posted a new snippet of the video on 3/18/2025, which she described as the ""nsfw version"" of it, indicating there could be two videos which exist.",?:??,Apr 2024,Music Video,Snippet,High Quality,https://pixeldrain.com/u/Xy5aJQ7X
LANA [V2],Diamond Boy (DTM) [Music Video],"OG Filename: Diamond Boy - SZA V1
Filename shown in an iMessages screenshot on 8/20/2025, which contains a hidden Vimeo link and thumbnail revealing a frame from the video. It was described as the ""first cut."" May be the NSFW version she was referring to in the notes above as she states there is ""too much nudity"" in the video.

SZA via Instagram post (8/20/2025):
""The true tea is this video has a matching lip gloss (so fucking sparkly)  and too much nudity .. ionno what to do w it but .. lol it’s so damn pretty ion wanna dumb it down for the kids""",?:??,Aug 2025,Music Video,Confirmed,Not Available,https://www.instagram.com/notmusicatalliswear/p/DNlt_EGSZIK/
LANA [V2],Diamond Boy (DTM) [Music Video],"NSFW version of the ""Diamond Boy"" music video. The snippet provided features SZA mostly naked on top of a man in a chair. SZA herself stated that the snippet she showed was cropped, likely to hide anything that Instagram would delete the post for.",?:??,,,Snippet,High Quality,Link Needed
LANA [V2],Scorsese Baby Daddy [Music Video],"It is confirmed that there is an upcoming music video for ""Scorsese Baby Daddy"" as SZA had retweeted a post claiming there to be one in existence. It is unknown where said user got this information from initially. SZA posted a snippet of the video on July 9, 2026, stating that it was still unfinished. She added that she asked the director if she could finish it.",N/A,,Music Video,Confirmed,Not Available,https://imgur.gg/f/bYzxsIz
LANA [V2],Take You Down [Music Video],"Earlier versions of the ""Take You Down"" music video confirmed to exist based on the filename of a later version which leaked.",?:??,,Music Video,Confirmed,Not Available,N/A
LANA [V2],"Take You Down [Music Video]
(dir. Cassidy Meyers)","OG Filename: takeyoudown_v6
SZA posted snippets of the visuals for ""Take You Down"" on her Instagram and Twitter page on 3/12/2024 and 3/13/2024. She stated she recorded the video in her garage a day before she posted it. Some portions of the video were recorded using a night vision camera. The original file for the music video leaked on 12/22/2024.

SZA via Instagram post (3/12/2024):
""Never fight over community D.""",2:38,"Mar 11, 2024",Music Video,OG File,CD Quality,https://pillows.su/f/5d25d7a990a112654c14b762e47f0e30
LANA [V2],Doechii - NISSAN ALTIMA [Music Video],"According to an Instagram comment by SZA, she was originally intended to be featured in the music video of ""NISSAN ALTIMA"" by Doechii before it was finalized and released on 7/27/2024. This version of the video was ultimately not recorded due to SZA being at work, according to her.

SZA via Instagram comment (7/27/2024):
""IM SO MAD I WAS AT WORK !!! GAAAAHHHHHH😩😩😩 YOU THE ONE!!!!""",N/A,,Music Video,Never  Recorded,Not Available,N/A
,Videos,,,,,,,
LANA [V2],Behind the Scenes [Footage],"An upcoming documentary, likely part of the Where The Hell Have You Been series, will be released to show the progress leading up to the release of SOS Deluxe: LANA. A snippet was teased in SZA's Instagram Stories on 12/21/2024, a day after LANA released, where she could be seen listening to the playback of ""Crybaby"" in the studio while smoking.

SZA via Instagram Stories (12/21/2024):
""@notmrblue .. bts footage otw 🫀""",N/A,,Film,Snippet,High Quality,https://pixeldrain.com/u/vXeFkYA5
LANA [V2],"Crybaby [Teaser]
(dir. Bradley J. Calder)","On 6/29/2024, SZA posted a teaser for ""Crybaby"" to her Instagram page. The caption originally was ""Storytime. 🦗"" before she edited it. The video shows SZA in a dark field while wearing an alien-like costume. An extended length of this teaser was shown in the ""Drive"" music video, where the audio was replaced with a later mix of the song and began from the intro of the song instead of the outro.

SZA via Instagram post (6/29/2024):
""🦗 I know you told stories about me. most of them awful . All of them true . Here's some for u""",0:44,"Jun 29, 2024",Promo,Full,High Quality,https://www.instagram.com/reel/C80J4HuvCfM/
LANA [V2],SOS Deluxe: LANA [Teaser #1],"On 12/9/2024, the second-year anniversary for the release of SZA's second studio album SOS, the artist, RCA, and Punch posted a snippet of ""Kitchen"" to their respective accounts on social media. SZA stated the ""clock starts now,"" signifying the imminent release of the long-awaited SOS deluxe edition. The song in the background samples ""Voyage To Atlantis"" by The Isley Brothers.

SZA via Instagram post (12/9/2024):
""Clock starts now . Happy anniversary 🪲""",0:46,"Dec 9, 2024",Promo,Full,High Quality,https://pixeldrain.com/u/8R2n2o5b
LANA [V2],"SOS Deluxe: LANA [Teaser #2]
(dir. Cass Meyers)","Directed by photographer Cass Meyers, the second teaser for LANA which was posted to Instagram by SZA on 1/6/2025 to promote the imminent reissue of the deluxe which includes 4 new tracks: ""Joni"" featuring Don Toliver, ""Take You Down,"" ""Open Arms (just SZA),"" and ""PSA."" The background music featured is an extended snippet of an SOS throwaway commonly referred to as ""Off the Record,"" though SZA stated the song would not be released with the other tracks.

SZA via Instagram post (1/6/2025):
""Drove by ur funeral just to piss In the ditch . I'm not remiss .""",1:20,"Jan 6, 2025",Promo,Full,High Quality,https://pixeldrain.com/u/XMmjZFgv
LANA [V2],LIVE at Glastonbury 2024 [Live Performance],SZA's televised live performance at the Glastonbury Festival which took place on 6/30/2024.,1:23:28,"Jun 30, 2024",Live Performance,Full,High Quality,https://mega.nz/file/OdwW1R4Z#MMWB2r28AsxR0QzK4ZmQY-HzlyuF8J_sjhRKCT8mbY0
,Other,,,,,,,
LANA [V2],Duplicated Grass Cover,"The original version of the official cover for LANA which was used for promotion on Instagram by SZA. A patch of grass on the left side of the image was duplicated. The mistake was corrected, and the version posted to Instagram by Cass Meyers was used for the main cover.

SZA via Instagram post (12/18/2024):
""Presave link is live.""",N/A,,Cover Art,Full,High-Res,https://pixeldrain.com/u/6vraUjcV
LANA [V2],Sesame Street Episode,"An upcoming episode of Sesame Street, featuring SZA as a guest, is set to appear in the next season of the television program. An excerpt from the episode was shared on Instagram by the official Cookie Monster account on 3/9/2024. SZA has a song for this episode respectively, and it's unknown what the title is.

@cookiemonster via Instagram post (3/9/2024):
""Me loved having you on our Street, @SZA! Let me know which type of cookies are your favorite for next time. 🍪""",?:??,,Other,Partial,High Quality,https://www.instagram.com/cookiemonster/reel/C4TYUVquBl4/
LANA [V2],Terrapin Sample Loop (Remake),"A nearly-identical lossless remake of the main loop which samples ""Terrapin"" by Clairo in an untitled freestyle SZA teased on 11/16/2024. Recreated using Ableton Live on 4/16/2025.",3:03,"Apr 16, 2025",Other,Full,Lossless,https://pillows.su/f/e18731db25922c88fe8230311d2ec0d5
LANA [V2],Tour Merchandise,"After the SOS Tour was renamed to the SZA Tour during the final show dates, SZA had new merchandise created which featured her alien costume look which was used for the ""Cry Baby"" teaser. There were also bug designs which suits the style of Lana.",N/A,,Merch,Confirmed,Not Available,N/A
LANA [V2],Whiteboard Tracklist,"A whiteboard containing a list of track names possibly appearing on Lana: SOS Deluxe was posted to SZA's Instagram Story on 12/6/2024 with no caption. The titles were marked out by SZA but most were deciphered by fans on Twitter. Songs such as ""Work It,"" ""DTM,"" and ""Take You Down"" are expected to make apperances. ""Brace Yourself"" and ""Asparagus"" are starred tracks, likely meaning they will be released as singles since ""Brace Yourself"" already has a recorded music video.",N/A,"Dec 6, 2024",Tracklist,Full,High-Res,"https://pixeldrain.com/u/AemrN8yK
https://pixeldrain.com/u/s6kjx6yJ
https://pixeldrain.com/u/Wv2QMSc1"
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Unavailable",LP3 / LP4,"(12/20/2024) (SZA announces the reissue of LANA)
(01/04/2025) (SZA states she wants to potentially create children's music to fulfill her final 2 contractual album releases)
(02/06/2025) (The expansion is announced to release on 02/09/2025)
(02/09/2025) (The bonus tracks are released)",,,"The upcoming third studio album by American singer-songwriter SZA (colloquially known as SZA3) is expected to be the next released project released by the artist. It will succeed her second studio album, SOS, and be released through Top Dawg Entertainment and RCA Records. The title and other directly-associated information are yet to be disclosed. Her third studio album was originally intended to be Lana which was officially released on December 20, 2024 and now serves as the deluxe edition for her second studio album, SOS.",,,
,Videos,,,,,,,
LP3,Jimmy Kimmel Live Interview,"An interview between SZA and Jimmy Kimmel on his show Jimmy Kimmel Live which took place on 3/12/2025. She discusses touring with Kendrick Lamar, her newly-released movie One of Them Days (and the possibility of a sequel), and her fascination with bugs and nature.",9:05,"Mar 12, 2025",Interview,Full,High Quality,https://youtu.be/Jk-E81Kd_ls
LP3,The Jennifer Hudson Show Interview,"An extended version of the Jennifer Hudson Show interview with SZA was published to YouTube on 3/24/2025. She discusses performing at the Super Bowl Halftime Show with Kendrick Lamar, touring with him, her first action role, and collaborating with Ben Stiller.",22:25,"Mar 24, 2025",Interview,Full,High Quality,https://youtu.be/KBdZpR_o3TE
,Other,,,,,,,
LP3,Interview Magazine 2025 Outtakes,"In an Instagram post made on 6/19/2025, SZA included six outtake photos from her cover shoot with Interview Magazine. In the caption, she included a reference to both the story Little Red Riding Hood (the theme of the photoshoot) and Brace Yourself (""Big eyes, better to see you wit'"").",N/A,"Jun 19, 2025",Photoshoot,Full,High-Res,https://www.instagram.com/p/DLFnM7txFCV
LP3,@notmusicatalliswear,"A new Instagram dump account created by SZA which shares the same name as an alternate account operated by Michael Uzowuru (""yellowcalipersssssss""). The same day the account was launched, she shared two new songs from her upcoming third studio album. It is automatically speculated that any new music content posted on this account is produced by Uzowuru by default.",N/A,"Aug 16, 2025",Other,Confirmed,Not Available,https://www.instagram.com/notmusicatalliswear
