Era,Name,Notes,Length,Release Date,Shoot Date,Type,Availability,Status,Link(s)
MUSIC [V3],"🥉 NUMB [Music Video]
(feat. DJ Swamp Izzo & Sunday Service Choir) (prod. Ssor.t, Kp Beatz, and OjiVolta)
(DRUGS GOT ME NUMB, LOVE GOT ME NUMB)",MV teased on carti's IG.,N/A,"Dec 12, 2024",N/A,Music Video,Snippet,Unreleased,https://imgur.gg/f/lSs9mtN
MUSIC [V3],OVERLY [Music Video],Posted on Instagram by Carti but got deleted very quickly.,N/A,"Mar 14, 2025",Dec 2023,Music Video,Snippet,Deleted,http://music.froste.lol/video/a7a55519d53d8f1fe3765c4a0244511a/play
MUSIC [V3],"🥉 SKINNY JEANS* [Music Video]
(prod. KP Beatz)",A music video previewed by Carti alongside the audio on his IG Story in mulitple snippets,N/A,"Jun 17, 2024",2024,Music Video,Snippet,Unreleased,"https://i.imgur.gg/xuMkghQ-carti1.mp4 
https://i.imgur.gg/ZtThGqB-carti2.mp4"
MUSIC [V3],"Spicy* [Music Video]
(dir. Joy Divizn)","On November 8, 2024, a snippet of Playboi Carti's possible upcoming track ""Spicy*"" surfaced on TikTok. The MV is featuring visuals directed by Joy Divizn (couldnt find the og file, dm any tracker editor on dc if u have it)",N/A,"Nov 8, 2024",2024,Music Video,Snippet,Unreleased,https://imgur.gg/f/4FYDVu2
MUSIC [V3],WALK [Music Video],"Music video snippet posted via Complex to promote the NBA x Mitchel & Ness x Playboi Carti YVL jersey collection. Shot sometime in August 2024 by Gunner Stahl. Few frames of the music video were reused for ""ALIVE"".",N/A,"Nov 7, 2025",Aug 2024,Music Video,Snippet,Unreleased,https://imgur.gg/f/s58TVr2
MUSIC [V3],"??? [Music Video]
(dir. Joy Divizn)
(Chainsaw MV)","A music video previewed by Carti alongside indiana420bitch and sexisdeath in a strip club, the music video is finished now. Potentially for ""M.I.A."" but no confirmation as of yet. Also not confirmed to be an MV as the club was playing released Carti songs.",N/A,"Jan 4, 2024","Dec 13, 2023",Music Video,Snippet,Unreleased,https://mega.nz/folder/wlAiGaQA#ZvsGjt0T6t4WnDSBYojQzQ
MUSIC [V3],"Future & Metro Boomin - Type Shit [Music Video] [V1]
(feat. Playboi Carti & Travis Scott)","Unused footage for the MV posted by @Tybarch on IG, likely from a previous version.",N/A,"May 18, 2024","Feb 5, 2025",Music Video,Snippet,Unreleased,https://imgur.gg/archive/JgV9hCP
MUSIC [V3],"¥$ - Carnival [Promotional Video]
(feat. Playboi Carti & Rich The Kid)",A MV for Carnival. Posted by Ye on his TikTok account for a VULTURES 1 promotional video,N/A,"Feb 14, 2024",N/A,Music Video,Snippet,Officially Released,https://imgur.gg/f/5ZOc44K
MUSIC [V3],"🥉 ¥$ - FUK SUMN [Music Video]
(feat. Playboi Carti & Travis Scott)",A MV for Fuck Sumn version featuring ye. It has been recorded in two settings with one being on the street and one in a club,N/A,"Jan 15, 2024","Jan 15, 2024",Music Video,Snippet,Unreleased,https://www.youtube.com/watch?v=zdA8XQ-Wu8s
MUSIC [V3],🥉 ALL RED [Music Video],"Shot Sep 6, 2024. Carti and Hitta J3 confirmed it's existence, and hinted heavily for it's release, a couple days after the song dropped. There's clips and pictures of the recording sets.",N/A,N/A,"Sep 6, 2024 
-
Sep 15, 2024",Music Video,N/A,Unreleased,"https://x.com/Hittaj3tml/status/1845571197721100760
https://imgur.gg/f/XNTfHYT"
BABY BOI,"ALIVE [Music Video]
(with YoungBoy Never Broke Again) (dir. Yung Tacc)","Posted on Carti's opium_00pium account, on May 21st in response to Ye's track ""ALIVE"" posted just hours prior.",3:28,"May 21, 2025",2025,Music Video,Full,Officially Released,https://imgur.gg/f/wfouagR
BABY BOI,"SOME MORE [Music Video]
(dir. Yung Tacc)
(DIS SHIT EASY, ONCE MORE)",Music video for SOME MORE released through Playboi Carti's instagram.,1:56,"May 21, 2025",2025,Music Video,Full,Officially Released,https://imgur.gg/f/DfZgYOP
BABY BOI,"CRUSH [Music Video] 
(with Travis Scott) (dir. Frankie)","Music video for 'CRUSH' surprise released by Playboi Carti on his opium_00pium Instagram account just before 4:30 PM PST on March 14th, 2026. Filmed on May 31st, 2025, right after Playboi Carti brought out Travis Scott for the second Chicago show of Carti and Weeknd's 'After Hours Til Dawn' Tour.",2:52,"Mar 14, 2026","May 31, 2025",Music Video,Full,Officially Released,https://imgur.gg/f/kPLajDq
BABY BOI,"Lil Baby - Let's Do It [Music Video] [V2]
(with Playboi Carti & Skooly) (dir. Frankie)
(RATCHET, WASSUP, ATL, LEHH DO IT)","Music Video for Lil Baby's ""Let's Do It"", different than the snippet posted by Lil Baby on his finsta. Released on December 3, 2025 at 3 PM PT. Possibly shot on October 31st, 2025.",3:23,"Dec 3, 2025",2025,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=Av4AsFPeQ9E
BABY BOI,"Veeze - One of Them Ones [Music Video]
(feat. Rylo Rodriguez & Lil Baby)","Music Video for ""One of Them ones"" by Veeze. Carti appears multiple times throughout the video.",3:02,"Jan 16, 2026",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=WFPAm519lfI
BABY BOI,"Lil Baby - Let's Do It [Music Video] [V1]
(with Playboi Carti & Skooly) (dir. ?)
(RATCHET, WASSUP, ATL, LEHH DO IT)",Originally posted by Lil Baby on his Finsta with no audio. The audio would come back to the post after the song officially released. Shot sometime in September 2025.,N/A,"Oct 9, 2025",2025,Music Video,Partial,Unofficially Released,https://www.instagram.com/p/DPmZJLeEaFq/
BABY BOI,"DRAMA LIKE THE DJ [Music Video]
(with YoungBoy Never Broke Again) (dir. ?)
(BRIBEZ, DOUBLE CROSS)","Originally hinted at by Playboi Carti on July 2nd, 2025 via an Instagram post captioned ""I AINT REALLY TRYING SEE HER SHE AINT GOT NO VVS"" (lyrics of the song), however, after the delay of YoungBoy's ""MASA"" for July 25th, the song ended up getting swapped with ""Fire Your Manager"" and the music video would never release. The screenshot of the music video posted by Playboi Carti is all we have for now.",N/A,"Jul 2, 2025",2025,Music Video,Screenshot,Unreleased,https://www.instagram.com/p/DLoaxxQOsUE/
