Era,Name,Track Number / Info,Track Length,Release Date,Type,Streaming,Link(s)
The Chronic II,"Tha Dogg Pound - I Don't Like To Dream About Gettin' Paid
(feat. Nate Dogg) (add. Rochelle Wright & Stacey Smallie) (prod. Daz Dillinger)",Track 10 on Dogg Food. Mixed by Dr. Dre.,5:15,"Oct 31, 1995",Mixing,Yes,
The Chronic II,"Tha Dogg Pound - Do What I Feel
(feat. The Lady of Rage) (prod. Daz Dillinger)",Track 11 on Dogg Food. Mixed by Dr. Dre.,3:31,"Oct 31, 1995",Mixing,Yes,
The Chronic II,"Tha Dogg Pound - If We All Fuc
(feat. Snoop Dogg) (prod. Daz Dillinger)",Track 12 on Dogg Food. Mixed by Dr. Dre.,3:13,"Oct 31, 1995",Mixing,Yes,
The Chronic II,"Tha Dogg Pound - Some Bomb Azz Pussy
(feat. Snoop Dogg) (prod. Daz Dillinger)",Track 13 on Dogg Food. Mixed by Dr. Dre.,4:29,"Oct 31, 1995",Mixing,Yes,
The Chronic II,"Tha Dogg Pound - A Doggz Day Afternoon
(feat. Snoop Dogg & Nate Dogg) (prod. Daz Dillinger)",Track 14 on Dogg Food. Mixed by Dr. Dre.,2:45,"Oct 31, 1995",Mixing,Yes,
The Chronic II,"Tha Dogg Pound - Reality
(feat. Tray Deee) (prod. Daz Dillinger & Emanuel Dean)",Track 15 on Dogg Food. Mixed by Dr. Dre.,6:16,"Oct 31, 1995",Mixing,Yes,
The Chronic II,"Tha Dogg Pound - On By One
(prod. Daz Dillinger)",Track 16 on Dogg Food. Mixed by Dr. Dre.,5:09,"Oct 31, 1995",Mixing,Yes,
The Chronic II,"Tha Dogg Pound - Sooo Much Style
(prod. Daz Dillinger)",Track 17 on Dogg Food. Mixed by Dr. Dre.,5:44,"Oct 31, 1995",Mixing,Yes,
,Other,,,,,,
The Chronic II,"187um
(feat. Snoop Dogg) (prod. Dr. Dre)","Another Deep Cover remix, this time with a beat more closer to the original and a different hook. Released as track 9 on the One Million Strong compilation.",4:07,"Nov 7, 1995",Remix,No,
The Chronic II,"Fuck Wit Dre Day (And Everybody's Celebratin') (Extended Club Mix)
(feat. Snoop Dogg) (prod. Dr. Dre)",Released on the Fuck Wit Dre Day single.,9:55,"May 8, 1993",Remix,No,https://pillows.su/f/ab76d373274108a97beb58cf3ca244be
The Chronic II,It's Entertainment,"Track 8 on ""The Show: The Soundtrack"".",0:20,"Aug 15, 1995",Other,Yes,
The Chronic II,"Let Me Ride (Extended Club Mix)
(feat. Snoop Dogg, Daz Dillinger, George Clinton & Jewell) (prod. Dr. Dre)",Released on the Let Me Ride single. Later appeared on the Death Row: The Singles Collection.,11:01,"Aug 28, 1993",Remix,No,https://pillows.su/f/bd16784bbd2d1a84c428afc4da70575a
The Chronic II,"Natural Born Killaz [Video Edit]
(with Ice Cube) (prod. Dr. Dre & Sam Sneed)",Released on the Natural Born Killaz single.,6:35,"Dec 10, 1994",Other,No,https://pillows.su/f/1302490290964fb412fa9735f0bcf745
The Chronic II,"Nuthin' But A G Thang (Club Mix)
(feat. Snoop Dogg) (prod. Dr. Dre)",Released on the B-side of the Nuthin' But A G Thang single. Uses the Bitches Ain't Shit beat and has a new vocal take.,4:38,"Jan 19, 1993",Remix,No,https://pillows.su/f/eca31cf58991c9a16bd5f045e72d0270
The Chronic II,"One Eight Seven
(feat. Snoop Dogg) (prod. Dr. Dre & Colin Wolfe)",A remix of Deep Cover with different verses and a completely remixed beat was released on the B-side of the Fuck Wit Dre Day single.,4:29,"May 8, 1993",Remix,Yes,https://pillows.su/f/6116dcaab7d0bf27745b3757e9ca1549
The Chronic II,"2Pac - California Love (Short Radio Edit)
(feat. Dr. Dre & Roger Troutman) (prod. Dr. Dre & Chris ""The Glove"" Taylor)","Shortened single version of the original version. Included on various releases of the original single, as well as track 14 on disc 2 of the UK edition of ""All Eyez On Me"".",4:00,"Dec 3, 1995",Feature,No,
The Chronic II,"2Pac - California Love (Long Remix Edit)
(feat. Dr. Dre & Roger Troutman) (prod. Dr. Dre & Laylaw)",Single version of the remix that matches the original version's length. Included on various releases of the original single.,4:46,"Dec 3, 1995",Feature,No,
The Chronic II,"2Pac - California Love (Short Remix Edit)
(feat. Dr. Dre & Roger Troutman) (prod. Dr. Dre & Laylaw)",Shortened single version of the remix. Included on various releases of the original single.,4:03,"Dec 3, 1995",Feature,No,
The Chronic II,"Sam Sneed - U Better Recognize (Remix)
(feat. Dr. Dre) (prod. Sam Sneed)",Appeared on single releases of the song.,4:01,1995,Feature,Yes,
The Chronic II,"Sam Sneed - U Better Recognize (Extended Remix)
(feat. Dr. Dre) (prod. Sam Sneed)","Extended remix of U Better Recognize, appeared on promo single releases of the song. Later seen on ""Death Row: The Singles Collection"".",6:18,1994,Feature,No,
The Chronic II,"Snoop Dogg - What's My Name? (Who Am I?) (Club Mix)
(prod. Dr. Dre)",Released on the single.,8:12,"Nov 11, 1993",Production,No,https://pillows.su/f/671ecd56968766439ee1ca24d8d1e08a
The Chronic II,"Snoop Dogg - What's My Name? (Who Am I?) (Clean Club Mix)
(prod. Dr. Dre)",Released on the single.,5:04,"Nov 11, 1993",Production,No,https://pillows.su/f/cb38e9f31ffbcf15cab6d000f29f40f9
The Chronic II,"The Lady of Rage - Afro Puffs (Remix)
(feat. Snoop Dogg) (add. Dr. Dre) (prod. Dr. Dre & Daz Dillinger)",Released on one of the Afro Puffs promo singles.,8:01,"Jul 26, 1994",Production,No,
"19 Total
15 Album Track
1 Single / Album Track
1 Single
1 Other
1 Remix","Dr. Dre Presents... The Aftermath
(Collaboration with Aftermath)","(03/22/1996) (Dr. Dre leaves Death Row Records)
(11/26/1996) (Dr. Dre Presents... The Aftermath officially releases)",,,,Dr. Dre Presents... The Aftermath was a compilation album by Dr. Dre and was the first release on Aftermath Entertainment. The album was primarily produced by the Soul Kitchen production team.,
,Album Tracks,,,,,,
The Aftermath,"Aftermath (The Intro)
(perf. RC, Sharief & Sid McCoy) (add. Dr. Dre) (prod. Dr. Dre & Mel-Man)","Track 1 on ""Dr. Dre Presents... The Aftermath"". Includes scratches by DJ T, keys by Stu-B-Doo, and percussion by Carl “Butch” Small.",2:51,"Nov 26, 1996",Album Track,Yes,https://open.spotify.com/track/4hwD6B5aSzv7OTiOwaSkck?si=35e665e5c7604c5f
The Aftermath,"East Coast/West Coast Killas 
(perf. Group Therapy) (prod. Dr. Dre & Stu-B-Doo)","Track 2 on ""Dr. Dre Presents... The Aftermath"". Includes scratches by DJ T and keys by Stu-B-Doo.",4:54,"Nov 26, 1996",Album Track,Yes,https://open.spotify.com/track/5HTHpyz3V1c0l4yWAjlu6O?si=bf943c59f3414912
The Aftermath,"Shittin' on the World
(perf. Mel-Man) (add. Hands-On & D-Ruff) (prod. Dr. Dre & Mel-Man)","Track 3 on ""Dr. Dre Presents... The Aftermath"". Includes keys by Camara Kambon and percussion by Carl “Butch” Small.",4:58,"Nov 26, 1996",Album Track,Yes,https://open.spotify.com/track/2r9BiND6Hjaio6y7swpnZm?si=914c6a10c453411d
The Aftermath,"Blunt Time
(perf. RBX) (add. Roger Troutman) (prod. Dr. Dre & Stu-B-Doo)","Track 4 on ""Dr. Dre Presents... The Aftermath"". Includes keys by Stu-B-Doo and Camara Kambon, and percussion by Carl ""Butch"" Small.",4:22,"Nov 26, 1996",Album Track,Yes,https://open.spotify.com/track/6RDyoWdUCHh6LQ7oKPhTdd?si=886ca64d81714515
The Aftermath,"Been There, Done That
(perf. Dr. Dre) (prod. Bud'da, Dr. Dre & Stu-B-Doo)","Track 5 on ""Dr. Dre Presents... The Aftermath"" and the second single released for the album. Includes keys by Camara Kambon and percussion by Carl “Butch” Small.",5:13,"Sep 1, 1996",Single / Album Track,Yes,https://open.spotify.com/track/7i1nzuzVU0y6XzGdVMJDoI?si=755d0af548b247fc
The Aftermath,"Choices
(perf. Kim Summerson) (prod. Ewart A. Wilson Jr., Floyd Howard & Glen Mosley)","Track 6 on ""Dr. Dre Presents... The Aftermath"".",4:45,"Nov 26, 1996",Album Track,Yes,
The Aftermath,"As The World Keeps Turning
(perf. Cassandra McCowan, Mike Lynn, Flossy P & Stu-B-Doo) (prod. Flossy P & The Glove)","Track 7 on ""Dr. Dre Presents... The Aftermath"".",4:45,"Nov 26, 1996",Album Track,Yes,
The Aftermath,"Got Me Open
(perf. Hands-On & Dr. Dre) (prod. Bud'da)","Track 8 on ""Dr. Dre Presents... The Aftermath"". Mixed by Dr. Dre.",4:21,"Nov 26, 1996",Album Track,Yes,
The Aftermath,"Str8 Gone
(perf. King T) (prod. Bud'da)","Track 9 on ""Dr. Dre Presents... The Aftermath"".",4:33,"Nov 26, 1996",Album Track,Yes,
The Aftermath,"Please
(perf. Maurice Wilcher and Nicole Johnson) (prod. Maurice Wilcher)","Track 10 on ""Dr. Dre Presents... The Aftermath"".",4:22,"Nov 26, 1996",Album Track,Yes,
The Aftermath,"Do 4 Love
(perf. Jheryl Lockhart) (prod. Bud'da)","Track 11 on ""Dr. Dre Presents... The Aftermath"".",3:23,"Nov 26, 1996",Album Track,Yes,
The Aftermath,"Sexy Dance
(perf. RC) (add. Cassandra McCowan & Jheryl Lockhart) (prod. Bud'da & Dr. Dre)","Track 12 on ""Dr. Dre Presents... The Aftermath"". Includes keys by Stu-B-Doo and Camara Kambon, percussion by Carl “Butch” Small and guitar by Victor Johnson.",4:55,"Nov 26, 1996",Album Track,Yes,https://open.spotify.com/track/0uQW7N39luAl6kfFZSEQFJ?si=c726070305da480d
The Aftermath,"No Second Chance
(perf. Who'z Who) (prod. Rodney Duke & Rose Griffin)","Track 13 on ""Dr. Dre Presents... The Aftermath"".",4:49,"Nov 26, 1996",Album Track,Yes,
The Aftermath,"L.A.W. (Lyrical Assault Weapon)
(perf. Sharief) (prod. Stu-B-Doo)","Track 14 on ""Dr. Dre Presents... The Aftermath"".",4:24,"Nov 26, 1996",Album Track,Yes,
The Aftermath,"Nationowl
(perf. Christian Nowlin) (prod. Bud'da)","Track 15 on ""Dr. Dre Presents... The Aftermath"".",4:06,"Nov 26, 1996",Album Track,Yes,
The Aftermath,"Fame
(perf. RC & King T) (add. Dr. Dre & Jheryl Lockhart) (prod. Dr. Dre & The Glove)","Track 16 on ""Dr. Dre Presents... The Aftermath"". Includes keys by Chris “The Glove” Taylor and Camara Kambon and guitar by Victor Johnson. Samples ""Fame"" by David Bowie.",4:30,"Nov 26, 1996",Album Track,Yes,https://open.spotify.com/track/4OdCncD6zVr8Fu7qcOLe0e?si=7682bc23662d4492
,Non Album Tracks,,,,,,
The Aftermath,"Group Therapy - East Coast/West Coast Killas [Single Version]
(prod. Dr. Dre & Stu-B-Doo)","Version of ""East Coast/West Coast Killas"" released as the lead single for ""Dr. Dre Presents... The Aftermath"". Although listed as the ""LP Version"", the single a bit longer than the final album version.",5:02,"Aug 13, 1996",Single,No,
,Other,,,,,,
The Aftermath,"Been There, Done That (Radio Edit)
(prod. Bud'da & Dr. Dre)","Radio edit version of ""Been There Done That"" included on some CD single releases, about a minute shorter than the album version. ",4:06,"Sep 1, 1996",Other,No,
The Aftermath,"Group Therapy - East Coast/West Coast Killas (Club Mix)
(prod. Bud'da, Dr. Dre & Stu-B-Doo)","Club mix of ""East Coast/West Coast Killas"" included on its single release. Remixed by Bud'da.",5:11,"Aug 13, 1996",Remix,No,
"54 Total
1 Intro
16 Album Track
3 Single / Album Track
2 Skit
1 Outro
1 OST Track
2 Single
10 Feature
2 Feature / Single
11 Production
1 Mixing
3 Remix
1 Other","2001
(Chronic 2001, Chronic 2000, The Chronic II)","(03/22/1996) (Dr. Dre leaves Death Row Records)
(??/??/1998) (2001 sessions begin)
(11/16/1999) (2001 officially releases)",,,,2001 (otherwise known as Chronic 2001 or simply The Chronic 2) is the sophomore studio album of Compton rapper/producer Dr. Dre.,
,Album Tracks,,,,,,
2001,"Lolo - Intro
(feat. Xzibit & Tray Dee) (add. Kurupt) (prod. Dr. Dre & Mel-Man)",Track 1 on 2001.,0:41,"Nov 16, 1999",Intro,Yes,https://open.spotify.com/track/0GQQzmMNA7JE4tOdcSFh1C?si=2dbb4ca186434e22
2001,"The Watcher
(feat. Eminem & Knoc-Turn'Al) (prod. Dr. Dre & Mel-Man)","Track 2 on 2001. Includes bass guitar by Mike Elizondo, percussion by Taku Hirano and keys by Scott Storch and Camara Kambon.",3:27,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/1iQ5E4z6CJ38dIzvMI9Wdo?si=7b4bd9b6bb1241ba
2001,"Fuck You
(feat. Devin The Dude & Snoop Dogg) (prod. Dr. Dre & Mel-Man)","Track 3 on 2001. Includes guitar by Sean Cruse, bass guitar by Mike Elizondo, percussion by Taku Hirano and keys by Scott Storch and Camara Kambon. Samples ""That Girl is a Slut"" by Just-Ice (Rap).",3:25,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/4FI0rdztOAYJZMupujL5Gp?si=676f7799931846c3
2001,"Still D.R.E.
(feat. Snoop Dogg) (prod. Dr. Dre, Mel-Man & Scott Storch)",Track 4 on 2001 and the lead single released for the album. Includes keys by Scott Storch and Camara Kambon.,4:34,"Nov 2, 1999",Single / Album Track,Yes,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep?si=db6a48654b634298
2001,"Big Ego's
(feat. Hittman) (prod. Dr. Dre, Mel-Man & Scott Storch)","Track 5 on 2001. Includes keys by Scott Storch. Samples ""Theme from The Persuaders!"" by John Barry and ""Love Don't Live Here Anymore"" by Rose Royce.",3:58,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/2BMRUAA1oTc7e9JPlr6xbZ?si=e4caff40c5014248
2001,"Xxplosive
(feat. Hittman, Six-Two, Nate Dogg & Kurupt) (prod. Chris ""The Glove"" Taylor, Dr. Dre & Mel-Man)","Track 6 on 2001. Dr. Dre does not appear on the song. Includes keys from Camara Kambon, percussion by Taku Hirano, guitar by Sean Cruse and bass guitar by Colin Wolfe. Also contains uncredited production by Chris ""The Glove"" Taylor. Samples ""Bumpy's Lament"" by Soul Mann & the Brothers.",3:35,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/0Ed7MeXx64f6OcIuoTRCg1?si=4c971a3503ef4d2e
2001,"What's The Difference
(feat. Eminem & Xzibit) (add. Phish) (prod. Dr. Dre & Mel-Man)","Track 7 on 2001. Includes keys by Camara Kambon. Samples ""Parce Que Tu Crois"" by Charles Aznavour.",4:04,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/1SWVDBtw6h3tm9OehOkDhv?si=e8dca327a4834d4f
2001,"Bar One
(feat. Traci Nelson, Ms. Roq & Eddie Griffin) (prod. Dr. Dre & Mel-Man)","Track 8 on 2001. Samples ""Poundin'"" by Cannonball Adderley.",0:51,"Nov 16, 1999",Skit,Yes,https://open.spotify.com/track/0WWem437MQdylQuXxzE80H?si=bc41eb84b1c242ea
2001,"Light Speed
(feat. Hittman) (add. Ms. Roq & Knoc-Turn'al) (prod. Dr. Dre & Mel-Man)","Track 9 on 2001. Includes guitar by Sean Cruse, bass guitar by Mike Elizondo and keys by Camara Kambon. Samples ""I'm Still #1"" by Boogie Down Productions.",2:41,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/1WvuZsXHaH2qNAtvrQY6SX?si=6e7e01c825b941d2
2001,"Forgot About Dre
(feat. Eminem) (prod. Dr. Dre & Mel-Man)","Track 10 on 2001. Includes guitar by Sean Cruse, bass guitar by Mike Elizondo and keys by Camara Kambon. Samples ""My Name Is"" by Eminem and ""Compton’s N The House (Remix)"" by N.W.A.",3:42,"Nov 16, 1999",Single / Album Track,Yes,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa?si=3a5d947c5c824876
2001,"The Next Episode
(feat. Snoop Dogg) (add. Kurupt & Nate Dogg) (prod. Dr. Dre & Mel-Man)","Track 11 on 2001. Includes electric guitar by Sean Curse, electric bass guitar by Preston Crump and keys by Camara Kambon. Samples ""The Edge"" by David McCallum.",2:42,"Nov 16, 1999",Single / Album Track,Yes,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC?si=d5bb1139db934e93
2001,"Let's Get High
(feat. Hittman, Ms. Roq & Kurupt) (add. Phish, Mel-Man & Scruncho) (prod. Dr. Dre & Mel-Man)","Track 12 on 2001. Includes keys by Scott Storch and Camara Kambon, guitar by Sean Cruse and bass guitar by Mike Elizondo. Samples ""Backstrokin'"" by The Fatback Band and ""High"" by Skyy.",3:27,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/0EZMXJMWf0tLKRWwCiA6Sx?si=53f90a3bb1014f1d
2001,"Bitch Niggaz
(feat. Hittman, Six-Two & Snoop Dogg) (prod. Dr. Dre & Mel-Man)","Track 13 on 2001. Includes keys by Scott Storch and Camara Kambron, percussion by Taku Hirano and guitar by Sean Cruse. Samples ""Top Billin'"" by Audio Two.",4:14,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/5XkeTGKcCkGF8l6fA9YpsS?si=cc73c32ff1d14029
2001,"The Car Bomb
(feat. Mel-Man & Charis Henry) (prod. Dr. Dre & Mel-Man)","Track 14 on 2001. Samples ""Time Is Passing"" by Sun.",1:01,"Nov 16, 1999",Skit,Yes,https://open.spotify.com/track/4PX9Ga99IMqlbgKucTxupc?si=e5647fc1d4fd43a0
2001,"Murder Ink
(feat. Hittman & Ms. Roq) (add. Traci Nelson) (prod. Dr. Dre & Mel-Man)","Track 15 on 2001. Dr. Dre does not appear on the song. Includes keys by Scott Storch and Camara Kambon and bass guitar by Mike Elizondo. Samples ""Halloween Theme"" by John Carpenter and ""Here Comes the Hotstepper"" by Ini Kamoze.",2:28,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/0zkE78jc1kjLXrTYd9ZxpO?si=c31fa0339dc940bf
2001,"Ed-Ucation
(feat. Hittman, Ms. Roq & Eddie Griffin) (prod. Dr. Dre & Mel-Man)","Track 16 on 2001. Samples ""Diamonds Are Forever"" by Franck Pourcel.",1:32,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/0J2u6TAolef5gZEVy1HErU?si=b49a3a42837a480b
2001,"Some L.A. Niggaz
(feat. Hittman, Ms. Roq, Knock-Turn'Al, The Time Bomb, Koka Kambon, DEFARI, Xzibit & MC Ren) (prod. Dr. Dre & Mel-Man)","Track 17 on 2001. Dr. Dre does not appear on the song. Includes keys by Camara Kambon, guitar by Sean Cruse and bass guitar by Mike Elizondo. Samples ""6 'N the Mornin'"" by Ice-T and ""Passin' Me By"" by The Pharcyde.",4:25,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/4VZPYvMTByQytb6F3MKP4w?si=a8e99c396cae45bc
2001,"Pause 4 Porno
(feat. Jake Steed) (prod. Dr. Dre & Mel-Man)",Track 18 on 2001.,1:33,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/6ALtdfVnklY8xp9bUBKVEP?si=eb6db1b62ad945fa
2001,"Housewife
(feat. Hittman & Kurupt) (prod. Dr. Dre & Mel-Man)","Track 19 on 2001. Also included as track 14 on Kurupt's second album ""Tha Streetz Iz a Mutha"" under the name ""Ho's a Housewife"". Includes Guitar by Sean Cruse, bass guitar by Mike Elizondo and keys by Camara Kambon. Samples ""Rapper's Delight"" by Sugarhill Gang and ""Bitches Ain't Shit"" by Dr. Dre.",4:03,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/0Wik64zBKFTNoNjTpG70OH?si=1df0a4df9960440e
2001,"Ackrite
(feat. Hittman) (prod. Dr. Dre & Mel-Man)","Track 20 on 2001. Dr. Dre doesn't appear on the song. Includes skit vocals from Snoop Dogg and The D.O.C., and keys by Camara Kambon. ",3:40,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/4NGS3j6JmOx6VUaXt6VQbj?si=4c32b59f06444dd6
2001,"Bang Bang
(feat. Hittman & Knoc-Turn'Al) (add. T.Y. Nichols & Eminem) (prod. Dr. Dre & Mel-Man)","Track 21 on 2001. Includes keys by Camara Kambon and Carl Breeding and guitar by Sean Cruse. Samples ""Bang Bang"" by Soundclash and ""Worldwide"" by Equipto and Mistah F.A.B.",3:42,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/2sXaZphe2LlqAyZVKvHbU1?si=054762c4a40f46bc
2001,"The Message
(feat. Mary J. Blige & Rell) (prod. Lord Finesse)","Track 22 on 2001. This is the only song on the album not produced by Dr. Dre and Mel-Man, instead by Lord Finesse. Includes keys by Camara Kambon.",5:04,"Nov 16, 1999",Album Track,Yes,https://open.spotify.com/track/6WgxXdBZrtdQFGBcxQxpiv?si=7fa417832c114020
2001,Thomas Chong - Outro,"Track 23 on streaming versions of 2001, splitting Tommy Chong's outro skit from ""The Message"" into its own track.",0:25,"Nov 16, 1999",Outro,Yes,https://open.spotify.com/track/4rmK0BSBLMiwNJ6iwWXJm1?si=684dee305ecd41bf
,Non-Album Tracks,,,,,,
2001,"Bad Guys Always Die
(with Eminem) (prod. Mel-Man & Dr. Dre)","Track 7 on the ""Wild, Wild West"" soundtrack, later released as track 24 on ""The Slim Shady LP (Expanded Edition)"".",4:39,"Jun 15, 1999",OST Track,Yes,https://open.spotify.com/track/4KVVy0GeXO03ni8Cv4SWk8?si=c66ec008da1d4bf1
2001,"Chin Check
(with N.W.A) (feat. Snoop Dogg) (prod. Dr. Dre)","Released as a single for the ""Next Friday"" soundtrack, and was included on ""The Best of N.W.A"". To date ""Chin Check"" is the only proper N.W.A reunion song ever released.",4:23,"Aug 23, 1999",Single,Yes,https://open.spotify.com/track/2wMC9z6zA191MTY0CcNcWh?si=576c89eaf82a47b4
2001,"Zoom [V2]
(with LL COOL J) (prod. The Glove & Dr. Dre)
(6 N'na Moe'nin)","Interpolates ""Got My Mind Made Up"" by 2Pac. Also track 1 on ""Bulworth The Soundtrack"". ",4:15,"Apr 24, 1998",Single,Yes,https://open.spotify.com/track/1DNhFbxrA8cmA3YkgVm7Hm?si=f277b2ebfc004b86
,Features,,,,,,
2001,"Blackstreet - No Diggity
(feat. Dr. Dre & Queen Pen) (prod. Teddy Riley & Skylz)","Track 3 on ""Another Level"" and the first single released for the album. Samples ""Grandma's Hands"" by Bill Withers.",5:03,"Jul 29, 1996",Feature,Yes,
2001,"Eminem - Guilty Conscience [V1]
(feat. Dr. Dre) (prod. Dr. Dre & Eminem)","Track 3 from ""The Slim Shady LP"". Later released as the third single on June 8th, 1999.",3:19,"Feb 23, 1999",Feature,Yes,
2001,"Eminem - Guilty Conscience [V2]
(feat. Dr. Dre) (prod. Dr. Dre & Eminem)",Released on a single. Includes the hook from the clean version.,3:21,"Jun 8, 1999",Feature,No,https://pillows.su/f/23bb31aabcc9e6f8db81ed7e5d2174b7
2001,"Kurupt - Ask Yourself A Question
(feat. Dr. Dre) (prod. Dr. Dre)","Track 12 on disc 1 of ""Kuruption!"". Samples ""Timebomb"" by Public Enemy.",4:47,"Oct 6, 1998",Feature,Yes,
2001,"Kurupt - Ho's A Housewife 
(feat. Dr. Dre & Hittman) (prod. Dr. Dre, Mel-Man & Scott Storch)","Track 14 on ""Tha Streetz Iz a Mutha"". Released the same day as ""2001"", Kurupt's version of ""Housewife"" includes a new intro, different mix, and some small production differences.",4:44,"Nov 16, 1999",Feature,Yes,
2001,"Nas - Nas Is Coming
(feat. Dr. Dre) (prod. Dr. Dre)","Track 7 on ""It Was Written"". Samples ""Synopsis Two: Mother's Day"" by The 24-Carat Black.",5:41,"Jul 2, 1996",Feature,Yes,
2001,"Scarface - Game Over
(feat. Dr. Dre, Ice Cube & Too $hort) (prod. Dr. Dre)","Track 13 on ""The Untouchable"". Samples ""The Human Fly"" by Lalo Schifrin & ""I Will Survive"" by Gloria Gaynor.",4:51,"Mar 11, 1997",Feature,Yes,
2001,"Ras Kass - Ghetto Fabulous
(feat. Dr. Dre & Mack 10) (prod. Stu-B-Doo)","Track 3 on ""Rasassination"" and the lead single for the album. Samples ""Kiev Evening"" by JF Kuhn.",4:33,"Feb 27, 1998",Feature / Single,Yes,https://open.spotify.com/track/7eRQVK7VtetceBAaBMWXXr?si=8694cc5cbe2149bd
2001,"Snoop Dogg - Just Dippin'
(feat. Dr. Dre & Jewell) (prod. Dr. Dre)","Track 18 on ""No Limit Top Dogg"". Originally meant for 2001.",4:03,"May 11, 1999",Feature,Yes,
2001,"Soul Assassins - Puppet Master
(feat. Dr. Dre & B-Real) (prod. DJ Muggs)","Track 2 on The Soul Assassins, Chapter I. Also released as a single before the album released.",5:00,"Feb 18, 1997",Feature / Single,Yes,https://open.spotify.com/track/1W18uInCbi25TXyv3jXnoW
2001,"The Firm - Phone Tap
(perf. AZ, Nas & Nature) (feat. Dr. Dre) (prod. Dr. Dre & The Glove)","Track 4 on ""The Album"". Includes guitar by Sean Cruse, bass by Mike Elizondo and keys by Camara Kambon.",3:46,"Oct 21, 1997",Feature,Yes,
2001,"The Firm - Firm Family
(perf. Nature) (feat. Dr. Dre) (prod. Dr. Dre & The Glove)","Track 6 on ""The Album"". Features two verses from Dr. Dre and a hook from Traci Neslon. Includes guitar by Sean Cruse, bass by Mike Elizondo, flute by Jerry Moore and keys by Camara Kambon.",3:59,"Oct 21, 1997",Feature,Yes,
,Production,,,,,,
2001,"Eminem - My Name Is
(prod. Dr. Dre)","Track 2 on ""The Slim Shady LP"" and the lead single released for the album. Features ad-libs by Dr. Dre. Samples ""I Got The..."" by Labi Siffre.",4:28,"Jan 25, 1999",Production,Yes,
2001,"Eminem - Role Model
(prod. Dr. Dre & Mel-Man)","Track 9 from ""The Slim Shady LP"". Later released as the second single on May 26th, 1999.",3:25,"Feb 23, 1999",Production,Yes,
2001,"Nate Dogg - Leave It Alone
(prod. Dr. Dre)",Released as a single.,3:34,"Sep 1, 1999",Production,Yes,
2001,"Nine Inch Nails - Even Deeper
(add. Barbara Wilson, Di Coleman, Elquine L. Rice, Gary L. Neal, Leslie Wilson, Rodney Sulton, Stefani Taylor, Terry L. Rice, Traci Nelson & Tracy Hardin) (prod. Trent Reznor, Alan Moulder & Dr. Dre)","Track 8 on ""The Fragile"". Includes additional synthesizer by Danny Lohner. Mixed by Dr. Dre.",5:47,"Sep 21, 1999",Production,Yes,
2001,"Snoop Dogg - Buck 'Em
(feat. Sticky Fingaz) (prod. Dr. Dre)","Track 2 on ""No Limit Top Dogg"". Features a hook by Sticky Fingaz.",3:55,"Apr 29, 1999",Production,Yes,
2001,"Snoop Dogg - Bitch Please
(feat. Xzibit & Nate Dogg) (prod. Dr. Dre)","Track 12 on ""No Limit Top Dogg"" and the second single released for the album. Includes additional production by Mel-Man. Samples ""Smooth Operator"" by Sade.",2:44,"May 11, 1999",Production,Yes,
2001,"The Firm - Firm Fiasco
(perf. AZ, Foxy Brown & Nas) (prod. The Glove & Dr. Dre)","Track 2 on ""The Album"". Includes guitar by Sean Cruse and keys by Camara Kambon. Mixed by Dr. Dre.",4:28,"Oct 21, 1997",Production,Yes,
2001,"The Firm - Fuck Somebody Else
(perf. Foxy Brown) (add. Traci Nelson, Barbara Wilson, Danette Wilson & Dorothy Coleman) (prod. Dr. Dre & The Glove)","Track 9 on ""The Album"". Solo Foxy Brown song. Includes bass guitar by Mike Elizondo. Samples ""You Gonna Make Me Love Somebody Else"" by The Jones Girls.",4:17,"Oct 21, 1997",Production,Yes,
2001,"The Firm - Untouchable
(feat. Wizard) (prod. Dr. Dre & Mel-Man)","Track 11 on ""The Album"". Solo interlude by Wizard.",1:10,"Oct 21, 1997",Production,Yes,
2001,"The Firm - Five Minutes To Flush
(perf. Nature) (add. Roger Troutman) (prod. Dr. Dre & The Glove)","Track 13 on ""The Album"". Solo Nature song, includes bass by Mike Elizondo and keys by Camara Kambon. Samples ""Five Minutes of Funk"" by Whodini.",4:42,"Oct 21, 1997",Production,Yes,
