Era,Name,Notes,Date,Type,Portion,Quality,Link(s)
,Detox [V6],"(??/??/2016) (Compton Deluxe is scrapped)
(03/19/2020) (California is placed under lockdown due to COVID-19, ushering in a new era of Detox)",,"Following the release of Compton, Dr. Dre enters a semi-retirement from solo music, mainly focusing on supporting new Aftermath signees and only sparatically working on music himself. However, Detox was still being made (being brought back after Compton released), but wasn't the main focus. In 2018, ESPN reporter Chris Haynes asked Dr. Dre is Detox would be coming out, and Dre's response to him was ""I'm working on a couple songs right now. We'll see"", meaning the title was still likely in use.",,,
,Music Videos,,,,,,
Detox [V6],"Anderson .Paak - Tints
(feat. Kendrick Lamar) (dir. Colin Tilley)",Official music video for Tints. Dr. Dre appears in the Music Video and thumbnail.,"Oct 28, 2018",Music Video,Full,1080p,https://www.youtube.com/watch?v=u749Hi0gDVM
Detox [V6],"Jon Connor - Where I'm From [Music Video]
(feat. Anderson .Paak & Candice Pillay) (dir. Mike Mihail)","Jon Connor's lead single, Where I'm From, for his debut Aftermath album, Vehicle City, was going to have a music video with appearances from Flint natives Terry Crews and Olympic champion Claressa Shields. Dr. Dre and Xzibit were also said to make guest spots in the music video. Reportedly, the concept for music video was to ""portray how several notable figures within the city could rise above all the negative obstacles to walk in their successful path"". A behind the scenes interview about the music video is all we have.",March 2017,Music Video,Confirmed,Not Available,https://www.mlive.com/news/flint/2017/03/jon_connor_hits_flint_streets.html
,Other,,,,,,
Detox [V6],"Vital Signs [TV Show]
(dir. Dr. Dre & Paul Hunter)","While filming the Talking To My Diary music video it reportedly turned into something bigger. This something was a 6 episode show Dr. Dre was going to direct, write and star in called ""Vital Signs"". It was completed in 2017 and was going to be released through Apple TV however On September 24th, 2018 it was reported that the show was rejected by Apple TV as they disapproved of it. According to an article it was going to be a was going to be a dark semi-autobiographical drama with multiple orgy scenes and drug use. Some named cast members were Sam Rockwell, Michael K. Williams, and Ian McShane with them playing different aspects of Dre's personality. Sadly after Apple TV decided to not host the show it was never shopped around to anywhere else and has never leaked.",,Other,Confirmed,Not Available,https://lostmediawiki.com/Vital_Signs_(lost_shelved_Dr._Dre_Apple_Music_series;_2017)
,"JESUS IS KING: The Dr. Dre Version
(Collaboration with Kanye West)
(JESUS IS KING II, JESUS IS LORD)","(10/25/2019) (JESUS IS KING officially releases)
(09/24/2020) (Dem Jointz reveals that Kanye is no longer focused on the project)",,"The release of JESUS IS KING was met with mixed reviews from fans and critics. Kanye then took to Twitter to announce that he was working on a new album with Dr. Dre. Initially conceived as a remix album, it eventually grew to incorporate mainly unreleased material. During the #WESTDAYEVER campaign, Kanye did on Twitter in 2020, it was supposed to release officially, but never did. It ended up being scrapped sometime in 2020, as stated by producer Dem Jointz. Kanye posted the cover in 2022, which is assumed to be for the album.",,,
,Other,,,,,,
JESUS IS KING: The Dr. Dre Version,JESUS IS KING II,JESUS IS KING: The Dr. Dre Version was named JESUS IS KING II in it's early development.,,Other,Confirmed,N/A,https://www.complex.com/music/a/edwin-ortiz/kanye-west-dr-dre-jesus-is-king-part-2-announcement
JESUS IS KING: The Dr. Dre Version,JESUS IS LORD,Found as an alternate name for JESUS IS KING: The Dr. Dre Version. Present on an early cover posted to Kanye's Twitter,,Other,Confirmed,N/A,https://ibb.co/CmxXyYr
,Detox [V7],"(??/??/2020) (A new incarnation of Detox begins production)
(01/06/2021) (Dre suffers a brain aneursym)
(Q3-Q4 2022) (Dre shifts from ""Detox"" name)",,"The seventh iteration of the ever delayed Detox, this era starts a new phase where Dre might be at some of his busiest. While working on Detox he was also juggling Casablanco, Missionary, Hot Water, JESUS IS KING: The Dr. Dre Version, working with Eminem and whatever other secret things he has his hands on.",,,
,Music Videos,,,,,,
Detox [V7],"Eminem - Godzilla [Music Video]
(dir. Cole Bennett)","Official music video for ""Godzilla"". Dre makes an appearance.","Mar 9, 2020",Music Video,Full,1080p,https://www.youtube.com/watch?v=r_0JjYUe5jo
,Live Performances,,,,,,
Detox [V7],"Super Bowl Performance
(feat. Dr. Dre, Snoop Dogg, Eminem, Mary J. Blige, & 50 Cent)","Studio Super Bowl audio performance of February 13th, 2022 that was forceleaked on October 11th, 2023. Kendrick extended part from the live performance is mumble.","Feb 13, 2022",Live Performance,Full,CD Quality,https://pillows.su/f/3940ad4f9ecba4819ffe114c31b19bee
,"Missionary
(Collaboration with Snoop Dogg)","(??/??/2020) (Missionary starts development, likely during COVID-19 lockdown)
(??/??/2022) (Work on Missionary picks up)
(12/13/2024) (Missionary officially releases)",,Missionary is a collaborative album by Compton rappers Snoop Dogg and Dr. Dre. ,,,
,Music Videos,,,,,,
Missionary,"Fire [Music Video]
(dir. Dah Dah)",Official music video for Fire.,"Dec 19, 2024",Music Video,Full,1080p,https://www.youtube.com/watch?v=d-pxXyslz4I
Missionary,"Last Dance With Mary Jane [Music Video]
(dir. Dave Meyers)",Official music video for Last Dance With Mary Jane. Significantly longer than the song due to it taking strange creative liberties. Dave Meyers was on fucking crack making this. What the fuck is this bullshit. Never cook again.,"Apr 20, 2025",Music Video,Full,1080p,https://www.youtube.com/watch?v=rseqmSGH7xk
,Other,,,,,,
Missionary,Missionary - A Short Film,Short film made for the release of Missionary.,"Dec 13, 2024",Other,Full,1080p,https://www.youtube.com/watch?v=Ho5iOnGcWas
,LP4,"(Q3-Q4 2022) (Dre shifts from ""Detox"" name)
(Ongoing)",,"It's unknown what solo project Dre has been working on since 2022, however we know that the ""Detox"" name likely isn't being used anymore. Nothing much is known.",,,
,Music Videos,,,,,,
LP4,"Eminem - Houdini [Music Video]
(dir. Rich Lee)","Official music video for ""Houdini"". Dre makes an appearance.","May 13, 2024",Music Video,Full,1080p,https://www.youtube.com/watch?v=22tVWwmTie8
,Live Performances,,,,,,
LP4,Gin & Juice Launch Concert,"1. Dr. Dre - Forgot About Dre (feat. Eminem)
2. Houdini","Jul 21, 2024",Live Performance,Full,High Quality,"Eminem & Dr. Dre - ""Forgot About Dre"" [Live Performance] - YouTube
Eminem - Houdini [Live Performance]"
