Era,Name,Notes,Available Length,Leak Date,Type,Availability,Quality,Link(s)
Eternal Atake [V1],"Don't Wanna Wait
(prod. Harper)
(Reborn, KSG Song)",Instrumental for the leaked song 'Don't Wanna Wait'. Harper apparently lost the original beat so he remade it himself to this.,3:20,"Jan 11, 2026",Alt Instrumental,Full,CD Quality,LINK NEEDED
Eternal Atake [V1],"Everybody Fall
(prod. Bugz Ronin)
(Don't Want To, Let Go)","Instrumental for the leaked song 'Everybody Fall'. Provided by Bugz via a beat pack on Aug 6, 2024.",3:36,"Aug 6, 2024",Instrumental,Full,CD Quality,https://pillows.su/f/31667e3a08adc4f89afddb9180c86135
Eternal Atake [V1],"Friends*
(prod. Ike Beats & Jahdiddat)
(Fr1ends, 16 Zone, Matt Hoffman)","Instrumental for the unleaked song ""16 Zone"". The beat is titled 'Friends' which is where that nickname for the song came from.",2:59,"Apr 30, 2025",Instrumental,Full,Lossless,https://pillows.su/f/3e54ffa59498bbafa89578eaf0d8c6da
Eternal Atake [V1],"Gang
(prod. Bugz Ronin)
(Keys)","Instrumental for the leaked song 'Gang'. Provided by Bugz via a beat pack on Aug 6, 2024.",2:17,"Aug 6, 2024",Instrumental,Full,CD Quality,https://pillows.su/f/23d64bf393c258dc25170de57b86bf40
Eternal Atake [V1],"Get It
(prod. Forza)
(Zombie Man, Gucci Linen, Meds)","Instrumental for the leaked song 'Get It'. Provided by Bugz via a beat pack on Aug 6, 2024.",1:58,"Aug 6, 2024",Instrumental,Full,CD Quality,https://pillows.su/f/1b922af3375c6edb3194cd2a1d4c8cc2
Eternal Atake [V1],"Get What I Want
(prod. Oogie Mane & Brandon Finessin)
(alone)",Instrumental for the leaked song 'Get What I Want'.,3:00,"Nov 14, 2025",Instrumental,Full,Lossless,https://pillows.su/f/0122954b5ca116f48a429e17e50576b7
Eternal Atake [V1],"Gettin' Guap*
(prod. Brandon Finessin & Oogie Mane)
(no no, Getting Guap)",Instrumental for the leaked song 'Gettin' Guap'.,1:53,"May 1, 2025",Instrumental,Full,Lossless,https://pillows.su/f/e9d694055eeb0df4e0b8594510a4d25b
Eternal Atake [V1],"Gucci Socks*
(prod. Forza & Oogie Mane)
(BBL, Okay Sure, Lobster)",Instrumental for the leaked song 'Gucci Socks'.,1:52,"Jun 21, 2025",Instrumental,Full,Lossless,https://pillows.su/f/0cdbfd8ad5bf9176d339702571d80f88
Eternal Atake [V1],"How Bout' Now
(prod. Brandon Finessin & JMoney)
(arizz)","Instrumental for the leaked song 'How Bout' Now"".",2:45,"Nov 14, 2025",Instrumental,Full,Lossless,https://pillows.su/f/39ab0c70b29e218a9164e2d1da3583e3
Eternal Atake [V1]," I've Been Up*
(prod. Brandon Finessin & DJ Bangout)
(March Madness, I Been Up)",Instrumental for the leaked song 'I've Been Up'.,2:32,"May 1, 2025",Instrumental,Full,Lossless,https://pillows.su/f/bcfc060bf80f58c66dd0cddcdd220e20
Eternal Atake [V1],"I Did Everything
(prod. Bugz Ronin)
(Hunter, Worst Way)",Instrumental for the leaked song 'I Did Everything'.,2:00,"Apr 21, 2025",Instrumental,Full,CD Quality,LINK NEEDED
Eternal Atake [V1],"I Don't Even*
(prod. Supah Mario)
(ONLY ONE, I Don't)",Instrumental for the leaked song 'I Don't Even'.,4:55,"Nov 8, 2025",Instrumental,Full,Lossless,https://pillows.su/f/0fc57e2654e2148dd5cb10c04ae78568
Eternal Atake [V1],"I Don't Lack Much
(prod. Bugz Ronin)",Instrumental for the leaked song 'I Don't Lack Much'.,2:35,"Apr 21, 2025",Instrumental,Full,CD Quality,LINK NEEDED
Eternal Atake [V1],"It's Going Down
(prod. Bugz Ronin)","Instrumental for the leaked song 'It's Going Down'. Provided by Bugz via a beat pack on Aug 6, 2024.",4:18,"Aug 6, 2024",Instrumental,Full,CD Quality,https://pillows.su/f/e8ca4b39f325f57ec3a6ee870f8b69e0
Eternal Atake [V1],"Jack and Gin*
(prod. Bugz Ronin)
(Jack and Jen, Jack and Jill)","Instrumental for the unleaked song 'Jack and Gin'. Provided by Bugz via a beat pack on Aug 6, 2024.",1:40,"Aug 6, 2024",Instrumental,Full,CD Quality,https://pillows.su/f/3f2a686141f5d7d0abad903f9608f9e8
Eternal Atake [V1],"Like The Way I'm Drippin'
(prod. Oogie Mane)",Instrumental for the leaked song 'Like The Way I'm Drippin'.,1:14,,Instrumental,Full,High Quality,LINK NEEDED
Eternal Atake [V1],"London
(prod. Oogie Mane, Brandon Finessin & Forza)",Instrumental for the leaked song 'London'.,2:42,"Dec 1, 2024",Instrumental,Full,CD Quality,https://pillows.su/f/6e29af85cefea72bc348b0c9dc417fdb
Eternal Atake [V1],"Losing It*
(prod. Bugz Ronin)
(So Fake)","Instrumental for the leaked song 'So Fake'. Provided by Bugz via a beat pack on Aug 6, 2024.",1:44,"Aug 6, 2024",Instrumental,Full,CD Quality,https://pillows.su/f/a4a12ddffd40d5d485ecc8ac074da371
Eternal Atake [V1],"Long Life*
(prod. ???)
(Long Life)",Instrumental for the leaked song 'Long Life'.,3:14,"Nov 14, 2025",Instrumental,Full,Lossless,https://pillows.su/f/7e86cb22746cf38c6e3718c0b88c0fca
Eternal Atake [V1],"Lost You*
(prod. Bugz Ronin & Oogie Mane)
(flamingo, Walk Through, On My Waist)",Instrumental for the leaked song 'Lost You'.,3:20,"Nov 5, 2025",Instrumental,Full,Lossless,https://pillows.su/f/66de9a5fef9375fb1d913ea2431885cc
Eternal Atake [V1],"Main And My Side
(prod. Harper & KBeaZy)
(Vanish)",Instrumental for the leaked song 'Main And My Side'. Posted by Harper on Soundcloud. Official beat provided later on.,3:43,"Apr 30, 2024",Instrumental,Full,CD Quality,LINK NEEDED
Eternal Atake [V1],"More Bands
(prod. Harper)
(VVV)",Instrumental for the leaked song 'More Bands'.,3:15,"Jan 14, 2026",Instrumental,Full,CD Quality,LINK NEEDED
Eternal Atake [V1],"Mr. Hit, No Miss*
(prod. Oogie Mane)
(Let's Go, True Story, Whole Lotta Cases)",Instrumental for the leaked song 'Mr Hit No Miss*'.,3:20,"Oct 30, 2025",Instrumental,Full,Lossless,https://pillows.su/f/b24ace1321cde04d2e655bbed438b7ea
Eternal Atake [V1],"Never Met A Real One
(prod. Bugz Ronin)",Instrumental for the leaked song 'Never Met A Real One'.,3:31,"Apr 21, 2025",Instrumental,Full,CD Quality,LINK NEEDED
Eternal Atake [V1],"Not Mine*
(prod. ???)
(Not Mine)",Instrumental for the leaked song 'Not Mine'.,3:07,"Nov 14, 2025",Instrumental,Full,Lossless,https://pillows.su/f/531911beb92fc3c97794e9c2adbeb37b
Eternal Atake [V1],"Put That Money Up
(prod. Don Cannon)
(Blue Hunnids, No Matter The Cost)",Instrumental for the leaked song 'Put That Money Up'.,,,Instrumental,Partial,Recording,LINK NEEDED
Eternal Atake [V1],"Sauced*
(prod. Oogie Mane)
(lamb, Stay Swaggin', Whole Lotta Pot)",Instrumental for the leaked song 'Sauced'.,2:59,"Nov 8, 2025",Instrumental,Full,Lossless,https://pillows.su/f/a5bd46b3599608842bc074bc89388195
Eternal Atake [V1],"Shoulda Never
(prod. Pharrell Williams & Kteck)",Instrumental for the leaked song 'Shoulda Never'.,,,Instrumental,Full,Lossless,https://pillows.su/f/8363906f14d055c516d31bc1ebdb6273
Eternal Atake [V1],"Shrooms*
(prod. Brandon Finessin, F1lthy & Loosie Man)
(Mushrooms, Shroomsies)",Instrumental for the leaked song 'Shrooms'.,2:25,"May 1, 2025",Instrumental,Full,Lossless,https://pillows.su/f/84cc293bbea309e14bec6defc97cb238
Eternal Atake [V1],"That's A Rack
(prod. Oogie Mane, DJ Bangout, Nick Mira, Taz Taylor & Brandon Finessin)
(Hood Babby, Racks)",Instrumental for the released song 'That's A Rack'.,3:12,"Nov 1, 2022",Instrumental,Full,Lossless,https://pillows.su/f/9c7b5f1c105aa5fdd21b4d031aa6ee68
Eternal Atake [V1],"That's My Rollie*
(prod. JahDidDat)",Instrumental for the leaked song 'That's My Rollie'.,3:00,"Apr 30, 2025",Instrumental,Full,Lossless,https://pillows.su/f/3effc8cc6d4fa0f8fe9b1101d88b275d
Eternal Atake [V1],"Watch This
(prod. Forza)","Instrumental for the leaked song ""Watch This"".",1:49,"Dec 3, 2022",Instrumental,Full,Low Quality,https://pillows.su/f/d3e731ea38a6c7904125e7483165288b
Eternal Atake [V1],"Yes Yes
(prod. Pi'erre Bourne)
(Patek Swag)",Instrumental for the leaked song 'Yes Yes'.,0:59,"Nov 18, 2024",Instrumental,Full,Lossless,https://pillows.su/f/c138898dcc960cb0fdac4e90d1ea6d03
Eternal Atake [V1],"You're The One
(prod. Bugz Ronin)
(Scarecrow, Got It All)","Instrumental for the leaked song 'You're The One'. Provided by Bugz via a beat pack on Aug 6, 2024.",1:59,"Aug 6, 2024",Instrumental,Full,CD Quality,https://pillows.su/f/21629ad23dedbd5ac97239bca0a5ed25
Eternal Atake [V1],"03 Greedo - Never Bend (Remix)
(feat. Lil Uzi Vert) (prod. 03 Greedo, TheyCallMeParker)","Official instrumental for the ""Never Bend (Remix)"".",,"Nov 1, 2022",Instrumental,Full,CD Quality,LINK NEEDED
,Beat Loops,,,,,,,
Eternal Atake [V1],"Cayy Benji
(prod. Jordan Ivey)
(CayyBenji, Kayy Benji, Kay Benji)",Beat loop for 'Cayy Benji'.,0:13,,Beat Loop,Full,Lossless,https://pillows.su/f/fbac7c2bc9286c7828d23b334a55a894
Eternal Atake [V1],"Crazy Girl
(prod. Ineza Beats)",Beat loop for 'Crazy Girl'. ,1:01,"Aug 26, 2023",Beat Loop,Full,Lossless,https://pillows.su/f/673ddb29a5f662a3fdef3593f6dd03f3
Eternal Atake [V1],"Blue Tips
(prod. Forza)
(Relationship)",Beat loop for 'Blue Tips'.,0:13,"Apr 10, 2024",Beat Loop,Full,Lossless,https://pillows.su/f/5b3bf408a0985d539c09a20132a555f7
Eternal Atake [V1],"Fast Money
(prod. Forza)
(New Bentley, Tokyo Ghoul)",Beat loop for 'Fast Money'.,0:07,"Sep 10, 2018",Beat Loop,Full,Lossless,https://pillows.su/f/9559193b4a3f8c475def39a76637f7b7
Eternal Atake [V1],"I Can Show You
(prod. shadow412)",Beat loop for 'I Can Show You',0:13,,Beat Loop,Full,Lossless,https://pillows.su/f/3849e891472d4df2083d583b56b09d4c
Eternal Atake [V1],"Kappa
(prod. LexoBeatss)
(Nicki Minaj, Diamonds)",Beat loop for 'Kappa'.,0:12,,Beat Loop,Full,Lossless,https://pillows.su/f/0b38dec4663f87a853cd2fe10c44cce3
Eternal Atake [V1],"Of Course
(prod. Kado)
(Of Course (Intro), Drippin' & Swaggin', Best Friend)",Beat loop for 'Of Course',0:27,,Beat Loop,Full,CD Quality,https://pillows.su/f/d6e0915097c33ba14ef0ebd4ea4adbca
Eternal Atake [V1],"That's A Rack
(prod. Oogie Mane, DJ Bangout, Nick Mira, Taz Taylor & Brandon Finessin)
(Hood Babby, Racks)",Beat loop for 'That's A Rack'.,0:27,,Beat Loop,Full,Lossless,https://pillows.su/f/8797ad73cd7fc3a6d5dc587198a05a3a
Eternal Atake [V1],"Watch This
(prod. Forza & Kado)
(Benjamin)",Beat loop for 'Watch This',0:11,,Beat Loop,Full,Lossless,https://pillows.su/f/2308b6d17f4115ae8caaaaa6880086f9
,Sessions,,,,,,,
Eternal Atake [V1],"Oct 1, 2018 Session
(How Bout' Now, Alone, Get What I Want [V2])","Full session for the leaked songs 'How Bout' Now', 'Alone' and 'Get What I Want [V2]'"".",N/A,"Nov 14, 2025",Session,Full,Lossless,https://mega.nz/folder/5HEH2CAa#-C0QFZfjyGnpw4f-LMd2Qg
Eternal Atake [V1],"Oct 2, 2018 Session
(That's A Rack, Bite My Swag)","Full session for released song ""That's A Rack"" and the unreleased song ""Bite My Swag""",N/A,"Nov 10, 2025",Session,Full,Lossless,https://mega.nz/folder/8DUVEB4C#DJdMVT0bfnAXmIZTebXYGA
Eternal Atake [V1],"Oct 8-10, 2018 Session
(Friends/16-Zone, That's My Rollie, Gettin' Guap, I've Been Up)","Full session for the songs 'Friends', 'That's My Rollie', 'Gettin' Guap'' and 'I've Been Up'. All songs were put into one giant session file.",N/A,"May 1, 2025",Session,Full,Lossless,https://mega.nz/folder/pCczTIqY#Dpj6ht-I0a7r76dzIpuTow
Eternal Atake [V1],"Get What I Want* [V1]
(prod. Oogie Mane & Brandon Finessin)
(alone)
[Unfinished]","Full session for the song ""Get What I Want"" [V1].",N/A,"Nov 14, 2025",Session,Full,Lossless,https://mega.nz/folder/gG0zjChR#g7pJLId0ERJlFkjwWEgLug
Eternal Atake [V1],"Gucci Socks*
(prod. Forza & Oogie Mane)
(BBL, Okay Sure, Lobster)",Full session for the leaked song 'Gucci Socks'.,N/A,"Jun 21, 2025",Session,Full,Lossless,https://mega.nz/folder/tHUWQBoR#Iegq_Qn_CBO22cXqMhq8AQ
Eternal Atake [V1],"I Don't Even*
(prod. Supah Mario)
(ONLY ONE, I Don't)","Full session for the song ""I Don't Even"".",N/A,"Nov 8, 2025",Session,Full,Lossless,https://mega.nz/folder/hfV3hIQS#UnmEWcY8RU9MwqrLtv7bwA
Eternal Atake [V1],"Long Life*
(prod. ???)
(Long Life)",Full session for the leaked song 'Long Life'.,N/A,"Nov 14, 2025",Session,Full,Lossless,https://mega.nz/folder/QDcFCbKa#bPoV-YC3t8vDIurtWBhkLg
Eternal Atake [V1],"Mr. Hit, No Miss*
(prod. Oogie Mane)
(Let's Go, Mr Hit No Miss, True Story, Whole Lotta Cases)","Full session for the song ""Mr Hit No Miss"".",N/A,"Oct 30, 2025",Session,Full,Lossless,https://mega.nz/folder/tKEFiCxR#hHiqR3wmMx52a_fk3KCABw
Eternal Atake [V1],"Shrooms*
(prod. Brandon Finessin, F1lthy & Loosie Man)
(Mushrooms, Shroomsies)","Full session for the leaked song 'Shrooms'.
Mega link was taken down by someone so they don't want this available for whatever reason",N/A,"Nov 5, 2025",Session,Full,Lossless,LINK NEEDED
Eternal Atake [V1],"Sauced*
(prod. Oogie Mane)
(lamb, Stay Swaggin', Whole Lotta Pot)","Full session for the song ""Sauced"".",N/A,"Nov 8, 2025",Session,Full,Lossless,https://mega.nz/folder/hekHyBRQ#qmftecyR0w0fe11h-02i8w
Eternal Atake [V1],"Not Mine*
(prod. ???)
(Not Mine)",Full session for the leaked song 'Not Mine'.,N/A,"Nov 14, 2025",Session,Full,Lossless,https://mega.nz/folder/tGtWBKrK#L4S_jDUo_30poQ6mI_eVSg
Eternal Atake [V1],"Walk Through*
(prod. Bugz Ronin)
(flamingo, On My Waist)",Full session for the leaked song 'Walk Through'.,N/A,"Nov 5, 2025",Session,Full,Lossless,https://mega.nz/folder/EX111LhI#m-tRdDqpLGhP05toeATVGg
Eternal Atake [V1],"G Herbo - 100M's
(feat. Lil Uzi Vert) (prod. DJ Victoriouz & Chase Davis)
(Like This, 100 Million)",Full session for the song 'Like This'.,N/A,"Feb 13, 2025",Instrumental,Full,Lossless,https://mega.nz/file/0GtF0K5b#9Yxb6XMvxvYqvE9TMwSsiteX51l-B6TF-LcDhswuwPs
,Eternal Atake [V2],,,,,,,
,Instrumentals,,,,,,,
Eternal Atake [V2],"Celebration Station
(prod. Brandon Finessin & Outtatown)",Instrumental for the released song 'Celebration Station'.,2:16,"Nov 1, 2022",Instrumental,Full,High Quality,https://pillows.su/f/b42f8107d6d61a3bfeed7c56c9383786
Eternal Atake [V2],"History*
(prod. Cellulins & Wright)",Instrumental for the unleaked song 'History'.,2:56,,Instrumental,Full,High Quality,LINK NEEDED
Eternal Atake [V2],"I'm Sorry
(prod. Brandon Finessin & StarBoy)","Instrumental for the released song 'I'm Sorry"".",2:15,"Nov 1, 2022",Instrumental,Full,High Quality,https://pillows.su/f/d898103bd62b70cc95111600502754ba
Eternal Atake [V2],"Rose Gold
(prod. Dolan Beatz)
(Money Reload)",Instrumental for the leaked song 'Rose Gold'. Beat was originally made in 2015. Features an intro unused on the song.,3:15,"Dec 9, 2024",Instrumental,Full,High Quality,https://pillows.su/f/eb39d3889eb009fba17014ff147c3e48
Eternal Atake [V2],"The Funny Way
(prod. Oogie Mane & Forza)
(Pack That)",Instrumental for the leaked song 'The Funny Way'. Forza played the full beat on his twitch livestream. The prod tags are muted while he recorded it.,~1:25,"Jan 22, 2023",Instrumental,Full,CD Quality,LINK NEEDED
Eternal Atake [V2],"Vivid
(prod. Dolan Beats)
(Shells 2, Capri Sun, One of the Greats, Leo)",Instrumental for the unleaked song 'Vivid'. Missing some additional production added when it was used by Uzi in 2019.,1:49,,Alt Instrumental,Full,High Quality,https://pillows.su/f/c93421d513234b65cdbd162224fcb093
Eternal Atake [V2],"Tyler, The Creator - IGOR'S THEME
(feat. Lil Uzi Vert & Solange) (prod. Tyler, The Creator)
(Intro, IGOR's (Intro))","Instrumental to ""IGOR'S THEME.""",3:26,"Feb 22, 2024",Instrumental,Full,CD Quality,LINK NEEDED
,Beat Loops,,,,,,,
Eternal Atake [V2],"Leo
(prod. Prince Chrishan)",Beat loop for 'Leo',0:10,,Beat Loop,Full,Lossless,LINK NEEDED
Eternal Atake [V2],"Wed And Thurs
(prod. Kado)
(Wednesday And Thursday, Take It To Heart, Lames)",Beat loop for 'Wed And Thurs',0:49,,Beat Loop,Full,CD Quality,https://pillows.su/f/72aef611dc5953f74b477797ffff20da
,Eternal Atake [V3],,,,,,,
,Instrumentals,,,,,,,
Eternal Atake [V3],"Audi
(prod. Oogie Mane, FaxOnlyBeats & Clibbbo)",Instrumental for the leaked song 'Audi'. Beat previewed on Oogie Manes' IG live.,,,Instrumental,Snippet,Recording,LINK NEEDED
Eternal Atake [V3],"Moon Relate
(prod. Kid808 & Danny Wolf)
(Related, Me And The Moon Relate)",2020 album version of the instrumental for 'Moon Relate'. Has some sfx in the intro that aren't on the song.,,"Apr 9, 2024",Instrumental,Full,CD Quality,https://pillows.su/f/d83217fa45441167d383dccb849a78b2
,"Pluto x Baby Pluto
(Collaboration with Future)",,,,,,,
,Instrumentals,,,,,,,
Pluto x Baby Pluto,"Patek
(w/ Future) (prod. Brandon Finessin & StarBoy)","Instrumental for the released song ""Patek"".",2:56,"Jul 28, 2022",Instrumental,Full,Lossless,https://pillows.su/f/a583dfebe7bcf63f68043d4b1a03c6bf
,Sessions,,,,,,,
Pluto x Baby Pluto,"Patek
(w/ Future) (prod. Brandon Finessin & StarBoy)","Session for 'Patek'. Leaked in full on March 19th, 2024. Leaked following a successful groupbuy, along with Patek OG.",N/A,"Mar 19, 2024",Session,Full,Lossless,LINK NEEDED
,"Forever Young
(Luv Is Rage 3, Soundcloud Tape, Pink Tape V1)",,,,,,,
,Instrumentals,,,,,,,
Forever Young,"3D Wrist [V2]
(prod. DP Beats)
(CD Wrist, 3D My Wrist)",Updated instrumental of '3D Wrist' from DP Beats that was used for the updated version.,2:53,"Apr 14, 2021",Instrumental,Full,Lossless,https://pillows.su/f/17503fc023b733fa66c2b821877957e5
Forever Young,"AB
(prod. Bertbeatz & LostKidSamy)
(Audemars Benz, Rockin' Diors)",Original instrumental for 'AB' before the beat was bought by Brandon and updated.,3:42,"Oct 10, 2025",Alt Instrumental,Full,High Quality,LINK NEEDED
Forever Young,"Beefing With Jesus*
(prod. Bloody Osiris, Brandon Finessin & Swvsh)
(Hurtin')",Instrumental for the unleaked song 'Beefing With Jesus*'.,2:52,,Instrumental,Full,High Quality,https://pillows.su/f/bbf44213f060c20c6443aec109847a8e
Forever Young,"Carlton
(prod. Harper & Lossados)
(Can't Stop, By The Morning)",Instrumental for the leaked song 'Carlton'.,3:20,"Dec 8, 2025",Instrumental,Full,CD Quality,LINK NEEDED
Forever Young,"Finessin Hearts Pt.2
(prod. DP Beats & PJ Pipe It Up)
(Part 2, Finessin Hearts 2, FH2)","Instrumental for the leaked song 'Finessin Hearts Pt.2'.
Original beat has slightly faster bpm",4:15,"Apr 14, 2021",Instrumental,Full,Lossless,LINK NEEDED
Forever Young,"Goose Chase
(prod. DP Beats)
(Sleep With A Bag, Johnny Cage)","Official instrumental for ""Sleep With A Bag"". Was intended to release on ""DP Vs The World 2"".",3:22,"Apr 14, 2021",Alt Instrumental,Full,Lossless,https://pillows.su/f/363e538ff35f3531b0cd5d2ef9347630
Forever Young,"McLaren
(feat. NoLimit Wet) (prod. DP Beats)
(Newz)",Official instrumental for McLaren. Posted by DP Beats on Soundcloud 2/18/23.,3:00,"Feb 18, 2023",Instrumental,Full,High Quality,https://pillows.su/f/5ef62ac0cfa508e3e5a9d120d28339ed
Forever Young,"Need You
(prod. Lyle Leduff, Lukrative & ???)",Alt instrumental for the leaked song 'Need You'.,2:06,"Apr 3, 2025",Alt Instrumental,Full,Lossless,https://pillows.su/f/2d340524ec76e501aac6477e61974157
Forever Young,"Not My Fault
(prod. Harper & Cooper Vengrove)
(Gucci Sneaks, Gucci Sneakers, Know Me)",Instrumental for the leaked song 'Not My Fault'.,3:09,"Dec 8, 2025",Instrumental,Full,CD Quality,LINK NEEDED
Forever Young,"Porsche*
(prod. Brandon Finessin & ShaunGoBrazy)
(Of Course 2)",Instrumental for the unleaked song 'Porsche'. Previewed by Brandon,,,Instrumental,Snippet,Recording,https://pillows.su/f/47765f8211878c127caeac7aa62b0360
Forever Young,"Slides
(prod. NAV, Pro Logic & Lilac)
(Say Some, Headroom, Head Room, Slide)",Alt instrumental for the leaked song 'Slides'. Slightly alternate production from actual song beat.,2:45,,Alt Instrumental,Full,High Quality,https://pillows.su/f/a30dd97bc4eff1ea1ddd21f19f7ff72b
Forever Young,"Swap
(prod. DP Beats & Ty Luminosity)
(I'll Swap That)","Instrumental for the leaked song 'Swap'.
Audio was screen recorded from a video so bad quality bugs",3:13,,Instrumental,Full,High Quality,https://pillows.su/f/fb453d887642b0037cd9e5cb3de513b3
Forever Young,"Young Stoner Life - Proud of You
(feat. Lil Uzi Vert & Yung Kayo) (prod. Bugz Ronin)",Instrumental for the released version of 'Proud of You'.,3:31,"Jun 28, 2022",Instrumental,Full,CD Quality,https://pillows.su/f/9e43ae95e461100a5e02fa960edf7ed5
,Beat Loops,,,,,,,
Forever Young,"Homies
(prod. TM88, Akachi, Radiate & DJ Moon)
(Show Me, On Me)",Beat loop for 'Homies'.,0:12,,Beat Loop,Full,Lossless,https://pillows.su/f/9b8385e234ddc593070eb473eed82b53
,Samples,,,,,,,
Forever Young,"Line
(prod. Mike WiLL Made-It)
(Halleiujah, Take My Time)","Sample from the leaked song 'Line"". Sampled song is Thank God For The Blood Part I by the Florida Mass Chior from the late 1980s. Sampled part is at 3:40.",15:04,"Nov 18, 2017",Sample,Full,CD Quality,https://www.youtube.com/watch?v=wev3nlORtUI
,Pink Tape [V1],,,,,,,
,Instrumentals,,,,,,,
Pink Tape [V1],"Emeralds
(prod. Brandon Finessin & Swvsh)
(Crush It)","Instrumental for the leaked song ""Emeralds"". Brandon previewed on IG",,,Instrumental,Partial,Recording,LINK NEEDED
Pink Tape [V1],"Lean
(prod. Maaly Raw)",Instrumental for the leaked song 'Lean'. Maaly Raw played it on his Twitch livestream.,,"Jan 26, 2025",Instrumental,Partial,High Quality,LINK NEEDED
Pink Tape [V1],"Red Wraith
(prod. Brandon Finessin, Only1Shredder & ​demarcxx)
(Aimless)",Instrumental for the leaked song 'Red Wraith'.,1:12,"Oct 10, 2025",Instrumental,Full,High Quality,LINK NEEDED
Pink Tape [V1],"Remember My Name
(prod. Brandon Finessin & Lukrative)
(No Brain)",Instrumental for the leaked song 'Remember My Name'.,,,Instrumental,Partial,Recording,LINK NEEDED
Pink Tape [V1],"NGeeYL - OFF-WHITE
(feat. Lil Uzi Vert)","Official instrumental for ""OFF-WHITE"".",,"Feb 28, 2022",Instrumental,Full,CD Quality,LINK NEEDED
,Sessions,,,,,,,
Pink Tape [V1],"Nigo - Heavy
(feat. Lil Uzi Vert) (prod. AXL, Brandon Finessin & CuBeatz)","Session for ""Heavy"". Was for sale by Wire on leaked.",N/A,,Session,Snippet,CD Quality,LINK NEEDED
,"Pink Tape [V2]
(RED & WHITE, Post Rehab Era, Jersey Club Tape, R&B Mix)",,,,,,,
,Instrumentals,,,,,,,
Pink Tape [V2],"Chopper
(prod. JRODthePROD & luvbayley)
(Whopper)",Instrumental for the unleaked song 'Chopper'.,3:12,"Aug 8, 2023",Instrumental,Full,High Quality,https://pillows.su/f/4d34f34b2df09f82e80d2a2dfddf4711
Pink Tape [V2],"Forty*
(prod. Akachi, BHeavy, Mackey & TTrendy)
(Missouri, Plus A .40)",Instrumental for 'Forty'. Previewed by Akachi in the Uzi hub stage.,,"Jul 12, 2025",Instrumental,Partial,High Quality,https://pillows.su/f/1683dac53656ccdad4ef67db2a53310a
Pink Tape [V2],"Guap
(prod. Akachi, iWeirdo & Sonickaboom)",Instrumental for the unleaked song 'Guap'. Previewed by Akachi in the Uzi hub stage.,,"Jul 12, 2025",Instrumental,Partial,High Quality,https://pillows.su/f/731cdcc8c8c11192444a07d2de5444e8
Pink Tape [V2],"How You Do That?*
(prod. Akachi, DP Beats & Kirk)
(Pokémon, Pokemon, Pokimon, Catch Her)",Instrumental for the leaked song 'How You Do That*'. Previewed by Akachi in the Uzi hub stage. DP Beats later played the whole beat on an IG post after the song leaked.,,"Jan 23, 2026",Instrumental,Full,High Quality,LINK NEEDED
Pink Tape [V2],"Just Wanna Rock
(prod. Mcvertt & Synthetic)
(Higher Power)",Instrumental for the released song 'Just Wanna Rock'.,1:00,"Aug 28, 2023",Instrumental,Full,Lossless,https://pillows.su/f/e9805dd57c40620aa24cebe21fc35007
Pink Tape [V2],"Muller
(prod. Akachi, Hendrix Smoke & Sonickaboom)
(Mueller, Get In There)",Instrumental for 'Muller'. Previewed by Akachi on IG live and later in the Uzi hub stage.,,"Jul 12, 2025",Instrumental,Partial,High Quality,"https://pillows.su/f/8bb3c390fba03a2b0a0644c04b09e6ac
https://pillows.su/f/aff95e0ecd9d7be923c2ffed50ab62c9"
Pink Tape [V2],"My Own Wave
(prod. Akachi, Hendrix Smoke & Spill)",Instrumental for the unleaked song 'My Own Way'. Previewed by Akachi in the Uzi hub stage.,,"Jul 12, 2025",Instrumental,Partial,High Quality,https://pillows.su/f/423b0db266b2846c58ab96e8e9c6757e
Pink Tape [V2],"Payroll
(prod. Brandon Finessin, Only1Shredder, & Spill)
(Diamonds, You Get It)",Instrumental for the unleaked song 'Payroll'. Previewed by Brandon on IG.,~3:11,"Oct 21, 2022",Instrumental,Full,Recording,https://pillows.su/f/dd103f337e14a3b1161361c3e8fd4679
Pink Tape [V2],"Ronda Rousey*
(prod. Akachi, Brent Rambo & gyro)
(Mileage, Jewels On Jewels)",Instrumental for Ronda Rousey. Previewed by Akachi in the Uzi hub stage.,,"Jul 12, 2025",Instrumental,Partial,High Quality,https://pillows.su/f/603ea8f99922963d8402d929855c707b
Pink Tape [V2],"Yeah
(prod. Akachi & Sonickaboom)
(E-Pill, E Pill, EPill)",Instrumental for 'Yeah'.,,"Jan 26, 2025",Instrumental,Snippet,High Quality,https://pillows.su/f/71fa70e93b2a221bf66c9115b2111325
,Pink Tape [V3],,,,,,,
,Instrumentals,,,,,,,
Pink Tape [V3],"666
(prod. Akachi & BHeavy)",Instrumental for the leaked song '666'. Previewed by Akachi in the Uzi hub stage.,,"Jul 12, 2025",Instrumental,Partial,High Quality,https://pillows.su/f/b821edec3757ef51f882ba7cdba516f7
Pink Tape [V3],"Bacardi [V1]
(prod. Brandon Finessin & Evan Picker)
(Not Eternal Atake)",Instrumental for the unleaked song 'Bacardi'. This is the original beat before Brandon even made his vocals.,,"Nov 10, 2025",Instrumental,Snippet,High Quality,https://pillows.su/f/0c9db43ee7270f7c503bfc81195e71ae
